,adjusted R-squared
PC 1,0.14593885256718409
PC 1-2,0.25849093582457505
PC 1-3,0.2560651334022247
PC 1-4,0.25128548730284495
PC 1-5,0.2464115241726328
PC 1-6,0.24567958492885134
PC 1-7,0.24478585216703674
