,adjusted R-squared
PC 1,0.1486923576391943
PC 1-2,0.14446636507144273
PC 1-3,0.14007124707935203
PC 1-4,0.13973309614218032
PC 1-5,0.14316304140860325
PC 1-6,0.13928297716150972
