,betw cen e-plv beta,clust coef e-icoh theta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli theta,node str e-icoh theta,node str e-plv beta,node str e-plv delta,node str e-plv theta,node str e-wpli theta,explained variance
1,0.144742414019945,0.3819839851597563,0.2440673145840771,0.18027117108572527,0.35510116603514563,0.3822045254582257,0.37192334354606044,0.23237960307113914,0.1872190287643675,0.32872587127348263,0.3653152960361998,0.4415024218040061
2,0.05757655345872636,0.28420310162879464,-0.23036427496909345,-0.4512294118446564,-0.24828221688280402,0.28546854300788815,0.2990645913827651,-0.1866662114791112,-0.4493762168650202,-0.3012169255948609,0.3148761392639153,0.28228059239605174
3,-0.014030767992512702,0.05825162865112659,-0.6056222615678796,0.24326877253533497,0.19299779976216877,0.09049559222211773,0.020465572198132404,-0.6530270152473197,0.25074646719760163,0.181014555707197,0.05011068258115712,0.12828632832411466
4,0.9663227432944446,-0.06575122272735844,-0.028577801789099275,0.10219070118923784,-0.1356118206053629,-0.06392666527431434,-0.030652836106188724,-0.0179444531546158,0.08785117569720073,-0.13585741840680193,-0.026900761108276442,0.08447645846200469
5,-0.20290264837125854,0.11362268939720974,0.015037307113887276,0.4500856184676623,-0.49266023262913033,0.028246154742990123,0.22187398009874434,0.06945059598807729,0.424461828231754,-0.49637499873473034,0.13783262961564333,0.04404126312768039
6,-0.018408425432996926,-0.5094105853918046,-0.039482498656445306,-0.17557874245847133,-0.11262329176167622,0.3301696152109299,-0.3989838500135074,0.07707198516140282,0.23043254980360428,0.05821284116186192,0.6037078298740095,0.005893871958553042
7,-0.0060323581589847,-0.07385474804037251,0.6326421680884093,0.2342305146004241,0.16116719045005143,0.1636976187482271,-0.145364526241113,-0.58934350563853,-0.2228833583555939,-0.25047677256545514,0.07592791461418526,0.0051879015338677755
8,0.0014238191939947512,-0.19677086971634491,0.282157884615328,-0.3562381823515506,-0.19546897900781834,-0.44897770175290946,0.4734522664325624,-0.3148205526154973,0.29383278918572503,0.2750642446378089,0.17234938094020522,0.0037697699261094912
9,0.014137414950398549,0.39603062566660757,0.17887349441947076,-0.45034477834871417,-0.1404227037202524,0.3168887825780711,-0.3100946868618201,-0.14389240346059887,0.492316942620182,0.00195491418770625,-0.35884977654022665,0.0033211060465660326
10,-0.0033602963795784442,-0.1246605169801736,-0.07763623645210113,-0.2761605198616961,0.6445516160224987,-0.13289957619420278,0.14010394719192976,0.0796942564839273,0.2841667205499125,-0.60095813363755,0.03414189384659112,0.0009510186136216404
11,0.0003713147545019196,0.5259632083935475,0.010542632124828933,0.004701090856790938,0.043289362765407347,-0.5512556901562168,-0.44875723968003883,-0.011477676996828268,-0.003167171421218617,-0.025570122878317076,0.463997687432598,0.00028926780742450633
