,adjusted R-squared
PC 1,0.14436377307980075
PC 1-2,0.13810188628489295
PC 1-3,0.14610520036547237
PC 1-4,0.17656140815380705
PC 1-5,0.18169644998355794
PC 1-6,0.19738915216701158
PC 1-7,0.1935388105932606
PC 1-8,0.19178243215861546
PC 1-9,0.18550230287102232
