,adjusted R-squared
PC 1,0.08951077387004158
PC 1-2,0.08521910275628442
PC 1-3,0.10688806704940679
PC 1-4,0.139672816710404
PC 1-5,0.1392944068539239
PC 1-6,0.13344094380485716
PC 1-7,0.1585037321624312
PC 1-8,0.15205198708870582
PC 1-9,0.1591637403434477
PC 1-10,0.1656217402052389
PC 1-11,0.1598153298140692
PC 1-12,0.15397691631689192
PC 1-13,0.1581850721268081
PC 1-14,0.16125487569474284
PC 1-15,0.1575652054309279
PC 1-16,0.15464949350738333
PC 1-17,0.16211234432142319
PC 1-18,0.16360327121572293
PC 1-19,0.15659105915754956
