,adjusted R-squared
PC 1,0.20240728147800657
PC 1-2,0.21193131124536468
PC 1-3,0.20912371882779446
PC 1-4,0.2557391675562084
PC 1-5,0.2514071874050924
PC 1-6,0.2519985539814632
PC 1-7,0.24705320997729163
PC 1-8,0.2516889084556153
PC 1-9,0.25527321543387027
PC 1-10,0.2516612723285565
PC 1-11,0.24628096115017117
PC 1-12,0.25038837525802127
PC 1-13,0.24599449511796134
PC 1-14,0.26432127755699497
