,adjusted R-squared
PC 1,0.21636888922803255
PC 1-2,0.22504959001333447
PC 1-3,0.22105833692588162
PC 1-4,0.24875355864053583
PC 1-5,0.2509333071384563
PC 1-6,0.24547052692142313
PC 1-7,0.24238565617894203
PC 1-8,0.24281823598659635
PC 1-9,0.237716773860693
PC 1-10,0.23416384491459497
PC 1-11,0.2298598905619409
