,betw cen e-wpli gamma,clust coef s-lcoh alpha,kurtosis ampl beta,life time beta,life time gamma,microstate C,mod index alpha-beta,mod index alpha-gamma,mod index delta-alpha,mod index theta-alpha,mod index theta-beta,node str s-lcoh alpha,node str s-lcoh beta,range coef var beta,skewness ampl alpha,source ampl theta,waiting time beta,waiting time gamma,explained variance
1,-0.06389559165608243,-0.23905492269100315,0.2593280603886268,0.3358448233217948,0.3207402169348519,-0.0974253832357864,0.19628876458626668,0.06036879469270823,0.30466690010288205,0.3348668470982929,0.2611538012852354,-0.2350445658450665,0.07214732849934756,0.25644043765539,0.19535516145495693,0.11138797853514365,0.258062997318159,0.2960545537940727,0.3066948718462946
2,0.09517577813372463,-0.460243595578676,-0.3398475675114432,-0.09626390415539815,-0.0478928986127764,-0.0782981248392019,-0.1683462130308215,-0.0775330191688467,0.03587564011162315,0.10619683116591393,-0.04774764969443179,-0.4592273730494735,-0.09391234481692697,-0.2818664689848133,0.32863965984412513,0.2955228654333212,-0.31464111405624545,-0.056909144909756286,0.13190485044587982
3,-0.11303687708825574,-0.059298618816383486,-0.09459336447202918,0.22693983189681768,-0.034111171099209546,-0.0010655373481856653,-0.3673063291323631,0.14355073876167243,0.15909517013940971,-0.09833065724767454,-0.4786229936329856,-0.07601790441542756,0.6031103127992423,0.08398958135104993,-0.044128764353387605,0.13554291348794384,0.2771018118873373,-0.16979828981384715,0.0827325417139568
4,-0.1928241671839738,-0.17359195345598455,-0.07283296081605399,-0.06168640508267667,0.09287047791355504,-0.6723511927291272,0.07834380183865242,-0.31837937564097424,-0.015713545684295605,-0.0661038467017023,-0.2033915930438264,-0.1730172028966295,-0.03545452880850031,-0.03566761674669621,-0.2538685934593448,-0.4464058512397951,0.08654137078859833,0.07566245127066511,0.07352572581563949
5,0.5753234896544995,0.18858519076518832,0.023211261862685864,0.07408962117015566,0.19039611679212232,-0.08990766982318091,-0.15181866291547788,-0.6244857860120162,0.1385029603753666,0.0032364108827663348,-0.021003871647592025,0.2309471015233845,0.18551228537726788,-0.09554174827905217,0.08507830046219558,0.14151124251695343,-0.015247540237415742,0.16135197195687223,0.0658002262810899
6,-0.61132427157607,0.13106473412563632,0.07727056078729683,-0.19527213646855754,0.06491212232611782,-0.010490719006182791,0.17776001175397477,-0.32050559667655865,-0.23407194905366085,-0.07308868967145818,0.03840884048569922,0.11665062445492479,0.3531302927131228,-0.04313178816267878,0.34627384610534534,0.246754151494414,-0.15076292918163225,0.14511506137169186,0.05183150900466255
7,0.33984256247735906,0.014770514167142555,0.06816749129100684,-0.16256061169381586,0.0197590360824839,-0.25885368861088925,0.5620801796545921,0.37988672730512646,0.10084442327455637,-0.18669209274320878,0.012505735401248542,0.010084778837846649,0.41082263305368155,-0.2639800696242216,0.13952389091106074,-0.033086830344240425,-0.09528300536355627,-0.1104062941256105,0.045332870148824436
8,-0.06379375979963213,-0.0025974745703114593,-0.23056589038312733,-0.057661387202479604,0.41769844247792803,0.40208133810587443,-0.0641134004277125,0.14411435371539896,0.15224321030911236,-0.016077841329889212,-0.16163306826311805,0.00039378061389767606,0.1188156349714094,-0.21425474568278416,-0.004410115018280048,-0.4417664072723452,-0.22615430379747017,0.47171003138470446,0.04113713434449319
9,0.13909546786086058,-0.20480814136887404,0.14011684776423788,-0.19122379631675426,0.218672283125434,0.15980199152890237,0.20284263717834058,-0.07124781540879806,-0.08593191660231737,-0.42221068325289,-0.2595585882847221,-0.20927708709691142,-0.060127113761984055,0.47664617954571536,-0.30198072426169165,0.30405781756142125,-0.18535040965806687,0.13157628970096208,0.03634995155575079
10,-0.002706172963641644,-0.1598639975339044,-0.20981498971918164,0.2732617174094369,-0.31345524728807267,0.44633163087642247,0.4768727250966009,-0.4189141400301055,0.06994858916003789,-0.030758668651174468,0.008151101465474408,-0.1549001855095563,0.12373548987575267,0.0005503870690710608,-0.03384530057147638,-0.23641421325519674,0.12357385135454059,-0.1945796723932693,0.029859123610610393
11,-0.17206925229951503,0.11680340628741358,-0.3489896635401531,-0.02541090739590551,-0.24880157819063026,-0.10118532984545871,0.15239349248734083,0.035047796126400695,0.4395466124544989,0.028056066004230707,0.09483654654599843,0.12107439089938457,-0.029674434977726146,-0.1588231106057572,-0.4580433673689944,0.4152201506884198,0.00542694215087905,0.33425913021595327,0.029116736919537377
12,0.1872805119239285,-0.03628098640385693,-0.3920709672444769,0.2015237131640613,-0.0048264122594136386,-0.06581936275390722,0.0556207822815749,0.1316698882321942,-0.7020391948396537,0.002752995686112432,0.12101005387666657,-0.020601840473295996,0.11698509391829,0.0074910410918725915,-0.056573178872060426,0.0988804102682613,0.2865553721886614,0.3573852088761116,0.024294294879502926
13,0.018089418832264347,0.15009608816511896,-0.15808413046508948,0.19471074012012984,-0.29061934818493007,-0.14485327345371307,0.06078456298506487,0.0829733085746648,0.18218811388363312,-0.36190762226677115,-0.2743691557475407,0.09919375132893664,-0.30339416308083944,0.2528790998819732,0.5505770254547118,-0.07840782087196452,0.0333758953556487,0.28729695146753215,0.023879661661625414
14,0.04884284284575094,0.08515709482317099,-0.4049769522919725,-0.027411063202807357,-0.018615374155266765,-0.1466420189418469,-0.022203079130136926,0.03810115387693396,0.04819762931989267,0.2717973485014687,0.19770509111458984,0.10584553007029113,0.25363148171704814,0.6074480464742095,0.0029803008440735094,-0.1530808146819835,-0.44288990747993273,-0.1496874204662044,0.020574162987277152
15,0.017780583449857713,-0.1854769682140769,0.2446323818361186,0.07362400177640777,-0.35386651066677904,-0.014135542876470793,-0.3312181257606362,-0.009537137174337948,0.045998960625018306,-0.43369756609687093,0.513397209493465,-0.13087675789214562,0.2643223957528874,-0.004628215314627335,-0.07369765456602956,-0.17948842009932392,-0.1653869867987815,0.24289087852154428,0.013814881215999978
16,0.14129965040333603,-0.06985747963251092,0.32592807357391934,-0.2540379717915164,-0.5015569358911549,0.04964471953123253,0.03004065574328569,0.004031805199218863,-0.1031790259031229,0.49647857220242037,-0.3504768923245923,-0.03821144213646304,0.1277234031160193,0.06646609645418218,-0.022654349602494895,-0.08023390141721853,-0.08056099675751874,0.36584758265239703,0.011701651523734521
17,0.06942772591530816,-0.04926032516222705,-0.2104328696003394,-0.698669961215481,-0.005541798877408053,0.10478970445070707,-0.08652664133320898,-0.05105214499597359,0.16225935501692992,-0.04860704170291931,0.19519577547817113,-0.06258445015633139,0.048911859520023825,0.17322455277906507,0.1602892406215531,-0.08141753569007475,0.5511042444469098,0.009017892896827464,0.010678257331045774
18,-0.02778210991133893,-0.7003282751749323,-0.012711668267960833,-0.0028604924329936267,0.010090441281823185,-0.0012044128215172713,0.01528827661774389,0.02005926130002304,0.008348664300010248,-0.016796588746146063,-0.030336791568776795,0.7104097882772218,-0.022961271685889375,0.004935685677382129,0.026119045092330356,0.007189848914037834,0.018711619342857366,-0.016416501640885303,0.0007715487140747084
