,betw cen e-plv alpha,betw cen e-plv beta,betw cen e-plv theta,clust coef e-icoh alpha,clust coef e-wpli alpha,dfa exponent delta,kurtosis ampl gamma,life time theta,microstate B,microstate C,node str e-wpli alpha,explained variance
1,-0.06517153957911938,0.04748913026094423,-0.14059578376287218,0.507995811350867,0.5121773948020777,-0.022171490009847035,0.15546283366307734,-0.11923387483097678,-0.3352083911419859,0.17622102681090762,0.5206240007130593,0.27806879809947854
2,-0.49447467289132563,-0.49074921386233084,0.26733407898155953,0.1789634811168955,0.13217379464986223,0.40530850188726886,-0.07360120164468216,0.4017443593570187,0.12334978785664874,-0.21504010236695642,0.03386137860279051,0.15696491620719188
3,0.32257658529265887,0.3415545850443656,0.47122734592464366,0.022997384674612237,-0.06531773505147245,0.4093523927210858,0.307297259991323,0.37821820073409684,-0.07435753148966508,0.37632442515028347,0.015336363639016855,0.12111250858632097
4,0.29732313361016643,0.12543824683671642,0.38077653448064114,0.16062174758116132,0.18256964684978816,-0.2494659169456837,-0.6879825567215523,0.11788406463516597,0.29667027222717074,-0.05952501913041277,0.22524661240824395,0.09515583309367437
5,0.09557401747526047,0.2694478879497375,0.3050834850181586,0.07396726047544745,0.027962631370920657,0.13386139994440832,0.29541386157480043,-0.313705582961779,0.03215216014299983,-0.7774222744227717,0.09957848512239822,0.0774529395967494
6,0.26172445700970454,-0.42015997410563477,0.10114922213674822,0.0913666104460643,0.12675833171417547,0.08420288103479942,0.29201519236185247,-0.4222583068963642,0.6169281045171499,0.2624785646551782,0.01260352831761866,0.07325473307732144
7,0.13468261437252177,0.1056373445146229,-0.31833175521179774,-0.09367165490821946,0.020062363917842465,0.7608619199582851,-0.4346670253392699,-0.2952729201315571,-0.029883981576330838,0.012030608988086668,0.06418092897308084,0.06357467368791758
8,0.3148936514344783,0.10054003227271197,-0.5756025952962354,0.15967037853838312,0.11406248178693174,0.02819164329696123,0.17046348866109845,0.5322309951784931,0.37312431126643764,-0.2617349703834358,0.007817584311086543,0.05720834170961665
9,0.6008128197424335,-0.5852703951516238,0.043090048221442516,-0.06806768626349877,-0.005725272549499878,-0.010664322369985086,-0.02480221753824405,0.08739821444158086,-0.4959928067963731,-0.1879135344415984,-0.016495235777916603,0.04915934231710034
10,-0.015427439088804389,-0.1044984532331657,-0.061588694965838624,0.11372082861913799,-0.7378961700232236,-0.006602698809372937,0.02027013284204601,0.02298398790504949,0.07171948071491491,0.005407734009788217,0.6492072475970345,0.01488696019302036
11,-0.051431666840839524,-0.025499535107146306,0.010433761733504666,-0.7860855194958293,0.3283602498906955,-0.02364033031503667,0.10536171871173364,0.11001445837928442,0.07730764234851667,-0.016417772587519277,0.49075008246567725,0.013160953431608361
