,ampl total power alpha,ampl total power beta,ampl total power gamma,hjorth activity,katz fractal dim,kurtosis ampl delta,life time delta,mean ampl alpha,mean ampl beta,mean ampl gamma,relative ampl delta,skewness ampl delta,source ampl alpha,source ampl delta,source ampl theta,spectral entropy delta,std ampl alpha,std ampl beta,std ampl gamma,explained variance
1,-0.2732161048012251,-0.25132680084556863,-0.24390054491065338,-0.2733688511714011,-0.2730045095226158,-0.1770061531744244,-0.1382262182476333,-0.2734081571301801,-0.2514216010265982,-0.24398532252912783,0.23646216578153278,-0.16622830625964036,-0.12689821819309308,0.17968316807344611,0.16129785777822447,0.23228795022166146,-0.2667661811389041,-0.24955893608848104,-0.24526115523011116,0.6096593631068183
2,-0.12935059648176886,0.28271266978965137,0.2595075580641894,0.05966591991275855,0.08115738582525561,-0.10405436732302507,-0.12365051864978903,-0.12886365416863882,0.2826295574349651,0.25922373136044846,0.2781136976419805,-0.1134021136662743,-0.20660408218697354,0.3729338573614407,0.29076970906870053,0.32711248996396936,-0.1386990459456071,0.2969907293991214,0.2551265176357363,0.09001028842786198
3,0.19512096185472255,0.16553792879883672,-0.3235808004646145,0.1741000469365618,0.04114122132819918,-0.04058600905082929,-0.34969973979435554,0.19286848295786577,0.1647620225382233,-0.3237208253141349,-0.16519484600455506,0.2456023413333043,-0.004188044710226587,0.26874610072006766,0.4389057739008339,-0.16410461054906272,0.022702965888041302,0.15570159612079595,-0.31711369567917597,0.06310779150812455
4,0.005239381286008803,-0.04698291270931863,0.08470019468602367,-0.03785561370223065,0.08648965335066308,-0.17950541295673283,-0.49293946713787806,0.004258731195262694,-0.04726753620245432,0.0868119049450988,-0.2950804030156075,-0.3379374960367356,-0.6032635682543778,-0.20233481745142845,-0.06736130070011914,-0.2711345270019442,0.037359939146359177,-0.05402446817699396,0.09039334959840228,0.050263371119403974
5,-0.07025638752396467,0.2757589556027732,-0.23136795535743576,0.012552205669528617,-0.04355111998671681,-0.18967181762668836,0.3666262140886379,-0.06739490829262566,0.27615515580789673,-0.22913870257448665,0.04995359269840001,0.13459348748925634,-0.4496985108037298,-0.21840383086763218,-0.3637578613085046,0.07916570422633756,-0.15704598537160508,0.2710308482816122,-0.2291053836694449,0.042171450069304964
6,0.07006971745787945,0.11766779104323954,-0.045862598719823996,0.06035623142297678,-0.01010943906732729,-0.6798790221343807,-0.06652038324986387,0.07146711224597943,0.11797967429773226,-0.0493726847497482,0.022457386958951688,-0.43233695773038083,0.4850695913152857,-0.20786170160581494,-0.033531825995841015,0.059802952141140966,0.061162269383297864,0.09975435958874147,-0.05440685522248506,0.03761583960788813
7,-0.13827263713237628,0.051909748285136316,0.09232959285538936,-0.14374568696934864,-0.11677548984159948,-0.14310741018209872,-0.5416875797036,-0.1378257002625442,0.05159388909309002,0.09239176132113278,0.012817361198924931,0.6049573097746789,0.215569514044206,-0.21643121584369407,-0.2725493789713867,0.07164251353803665,-0.1998910034568164,0.05956935270705668,0.09429557987704723,0.031687389384847706
8,-0.05030766547540109,0.15971878024821237,-0.14748371093406382,0.022767191949729367,-0.024694914390833364,0.5970051679859016,-0.3690817370993996,-0.0485246759539699,0.1593911088751948,-0.1463582582055855,0.14602923328046416,-0.42370951497700915,0.17588713236727896,-0.07917035870846166,-0.307212090423663,0.15156843570480336,0.043664512995174015,0.16984420467084482,-0.14525009671821754,0.029656562302827993
9,-0.2851922042514628,0.14140093523074534,0.01800952441620068,-0.2606793351955705,0.0029900435255378905,0.18697192141047034,0.16213431154044966,-0.2876256563351508,0.14029349351853387,0.02078583625741791,-0.35790031645099596,-0.09830081855047762,0.17347627606926,-0.36526469909160914,0.4602067391035273,-0.21114830302799809,-0.2941991379378413,0.14845904035242052,0.007761503351846094,0.016577039963742397
10,-0.10954245724068835,0.06708757799428783,0.001898382731657065,-0.2899386260212329,0.08592583767745036,-0.08159812467716003,0.0629841326953758,-0.11485907751123622,0.06452460281226474,0.0018890296949257853,-0.3195939771694025,-0.09131242870224124,0.16221208380595256,0.6524145871916505,-0.40771490665718324,-0.33527742815530187,-0.13481332905624285,0.06935760362835733,0.0005077685311973667,0.014698330337616465
11,-0.1962258835895739,-0.08466569444062064,-0.09419085313975968,-0.003934696112803575,0.9152074156125326,-0.0515765042492721,-0.03746818134573462,-0.18643065330566816,-0.08207873888461795,-0.09788041458502533,0.15257189427106743,0.07463430479947926,0.03985931545622465,-0.06417885159073086,-0.00974830054331038,0.04477029386486031,0.0520556556714079,-0.05929015037353044,-0.09907851700516879,0.006397155426647968
