,approx entropy,betw cen e-plv theta,clust coef e-plv beta,lzc primitive,mod index theta-alpha,mod index theta-beta,mod index theta-gamma,node str e-plv beta,relative ampl delta,skewness ampl theta,source ampl alpha,spectral entropy alpha,spectral entropy delta,explained variance
1,-0.2795770314185087,0.17253737785430973,0.19682594968588926,0.30929397425511,0.3245216806140737,0.3051509780447124,0.2934578497429597,0.18195222850811524,0.30624085352650615,0.2798416993059552,-0.28078137063310293,-0.3092628545459894,0.30566685755151435,0.577925363612519
2,0.021696458378922808,0.16381679181092984,0.6393053420574852,-0.12818941584261223,-0.10689841615105145,-0.02502176045359727,0.01308191921688278,0.6486374554527906,-0.17892889120149638,0.04529969638307009,0.16880342321430108,0.14080050310525796,-0.1794643213462109,0.12531325621633402
3,0.38859200481333855,-0.7065238564017677,0.05664412705409099,-0.2433777949486514,0.11741899939561991,0.2524464262370059,0.13820324803083026,0.1351112194367544,0.22397825068941174,0.1921249767467761,0.1494636958309444,0.1121807726109836,0.22473362324493004,0.07391744430477878
4,-0.4247074918551794,-0.36262224575736396,-0.031697975405249365,0.33278783867747475,0.023886588728864382,0.3011239928677297,0.046125621754886555,-0.10066439954193793,-0.3993455432392112,0.3174379130315485,0.1589670436048579,0.14559506637673877,-0.40762346309783326,0.06829468404412374
5,-0.2603336048862615,-0.336020805664186,0.1035702457917777,0.30790987822688,-0.20079659173680883,-0.07572052636967427,-0.10553760087131422,0.12887773214407194,0.15132310102799124,-0.5282882410219009,0.3764669733392403,-0.42067242495082907,0.13892732402807662,0.04269475062852236
6,0.007586014443089218,0.2947440164541934,-0.12260307677882337,0.013141679135966504,-0.12848960561494308,0.015279965319674226,0.6728439376007627,-0.13292282643057743,0.09249531113674238,0.015906648521789787,0.60524093392041,0.17020693927550423,0.08147580266350395,0.032465442186375995
7,0.0963935591131149,0.2512184587642939,-0.03966176362341512,0.10830948604131158,-0.25705942555272565,0.24979992718775423,-0.5885067165008492,-0.04694082215886563,0.18796459110418537,0.4515631505840297,0.40055556853027763,-0.05992005987436613,0.18437807870508885,0.027630428609610083
8,-0.34788217378399416,-0.20479286276610378,0.12901687478339427,0.06469513507544689,-0.43254121593268186,-0.5053282154889982,0.05235687434996994,-0.05210202628491242,0.24908940681822953,0.2973629663793826,-0.19606694769968802,0.3471490085924092,0.24264735986118552,0.024160860165962483
9,0.2111909522889998,-0.07752575603639844,0.006506319897661087,-0.12575841907755253,-0.3490239038694844,-0.21175366207780774,0.2411913940521172,-0.05028349415277897,-0.18581266542911226,0.3794278400609582,-0.06854676636246984,-0.697802255558249,-0.18987661768093994,0.010470764662854752
10,-0.050392678627389775,0.041857508216109514,0.1272955652049889,-0.169115025969588,-0.6104225579596865,0.6152329483984948,0.11263818248617029,-0.15044625164842276,0.024503424261742172,-0.2507773619113248,-0.3109393955493542,0.06296136147201763,0.01784980045773412,0.00923106788547579
11,-0.5723572723421864,2.6025790015633474e-05,0.006809998978314623,-0.7477133600151561,0.17524191554621127,0.0360646187964791,-0.08608658269883013,-0.09194219595994715,0.02382319452370739,0.051406498102756694,0.17193305541262585,-0.17115598835574297,0.0578388618355789,0.004862849688290164
12,0.13052701351875312,-0.010953736865929695,0.6986049535692614,0.055003503753499126,0.18330499864844382,-0.05895695826311531,-0.035084833170800286,-0.6670516640787932,0.0007856070267656787,-0.027970756718793344,0.08468192062013749,-0.0227996594983622,-0.005394601453501703,0.0030107379861220524
13,0.008348651495381882,-0.0026329775246466377,0.004054169932117727,0.022602793027698236,-0.012509153179480915,0.0006903625879448745,0.006527011968522987,-0.002161260627754315,-0.7071298763612538,-0.0015695125719743565,0.0035152833294808485,0.0020974434628217276,0.7064983613259137,2.2350009030977932e-05
