,adjusted R-squared
PC 1,0.24074541379511794
PC 1-2,0.25739827673448346
PC 1-3,0.24551625251604325
PC 1-4,0.2339053252673089
PC 1-5,0.23282576051095882
PC 1-6,0.23055083627763562
