,ampl total power gamma,betw cen e-plv delta,clust coef e-plv delta,kurtosis ampl beta,kurtosis ampl delta,life time beta,life time theta,lyapunov exponent,mean ampl gamma,mod index alpha-beta,node str e-plv delta,range coef var beta,skewness ampl gamma,std ampl beta,std ampl gamma,waiting time beta,waiting time gamma,waiting time theta,explained variance
1,0.3428315165908914,0.0781435211704026,-0.16243839832113094,0.23300962244647339,0.18855906814880752,0.16579669296562838,0.17088856331991703,0.15928252925758984,0.342704885672146,0.20806347176138387,-0.14403300415363726,0.18859863413499714,-0.27859372167059393,0.35033117923745305,0.3475705726766581,0.19451701145683037,0.25344714367408366,0.19439010480963137,0.3198677012405463
2,0.2868991547953523,-0.05107759108714158,-0.023367856160763128,-0.3167814491484993,0.21533170740717358,-0.3553410243901421,-0.09686761928284632,0.07944479277362151,0.28715857542086726,-0.24684686379514273,0.019351946408432356,-0.3486805682418815,-0.07990127396621621,0.21978402233748567,0.2746328920074333,-0.3309961191938129,-0.28283503389389225,-0.20209159308616573,0.1640434246650316
3,-0.12566392454001998,0.41278184004728685,-0.5275587574318855,-0.12568620561491844,-0.07467021188286364,-0.05546141185466375,-0.06927212796057486,0.11348086324007128,-0.12677283799731495,-0.2790808652840055,-0.5977712435011564,0.024374737460791714,-0.03820765670587034,0.05987539289538524,-0.13027286150819473,0.1030477592554144,-0.0941151870762021,-0.0013559160758139003,0.0921452899109947
4,0.03339242645922732,0.27063274798699116,-0.06923904358456395,0.012197927730690318,0.07426916293991308,-0.278746109822467,0.5138017836789636,-0.4359452524778869,0.034287432900509805,0.05610216459886769,0.0055310832607871905,0.1804544764080527,0.17434908386863388,-0.10096077804187512,0.036189263366118704,-0.37520380744584525,-0.08682514776667519,0.3953604036781797,0.09083107468821132
5,-0.09082178458914106,0.25029846202647027,0.11217333867153224,-0.007069560750080746,0.5387990816194289,0.2606713082145576,0.2864434331013794,0.3373755322263432,-0.09046819348027417,-0.13323032934224488,0.23153320566527585,0.02463453881427735,0.21921137733173426,0.06355038006429665,-0.08582897765454212,0.22733672285949758,-0.4135737191569889,0.0031266505488140397,0.05711767727184872
6,0.07130214662581538,-0.4698811649448457,-0.27938107655369915,-0.3177903116402574,-0.16844983756537968,0.3612070475329774,0.20347201829573,-0.06494092234748661,0.06998321549969702,0.024771453346823517,-0.09588672788703176,-0.33771504544931297,0.2746805035867435,-0.0046041067874828525,0.062467109784325764,0.16255636403238444,-0.14725578354235813,0.3665796178604923,0.04835441992291294
7,0.09251320367905294,0.4332570562639357,0.4352222148403013,-0.2136888980142453,-0.542372065094602,0.020861410907955295,0.10869798690745709,0.2863791661732526,0.09341363267820502,-0.1923632406952463,0.0953294519343691,-0.15592470408681297,-0.009306655936338993,0.03068637494518485,0.0915050614564156,0.09220014444784964,0.09818563876056056,0.2711912671361076,0.04086340023203112
8,-0.05156166477684597,-0.39625621286099727,0.04843092402803303,0.32289357725865375,-0.07765408177746065,-0.3496635464005277,0.10509178404314914,0.571718835138107,-0.053357136976340744,-0.1584842417946611,-0.18380551193222153,0.17568830082588738,0.294028936271745,0.07588429992733088,-0.04801423935675319,-0.20025625567102245,0.03591345415214801,0.19746111607323275,0.03726826284992295
9,0.05070015216789921,0.25040772463498145,-0.1220221097386386,-0.004074262471376329,-0.13406570859348013,-0.012906093689604986,-0.0041323716333730625,0.28021124838628736,0.05044871927791618,0.7387985957109231,-0.07766044682580153,-0.1827463958043668,0.34345612506715756,-0.0959841586931042,0.0492260493631866,-0.17446877907598954,-0.09385240290270694,-0.25788008851823924,0.03235930678994427
10,-0.20103575194887338,-0.0797450418970129,-0.02306656802486606,-0.00437791631557889,0.10562979946402117,-0.07274513375178604,0.40526413775920567,0.21584279294668868,-0.1997743266191812,0.1634000418322622,-0.025166685600139498,-0.44277260324231404,-0.6101951929988436,-0.10815458122743973,-0.2051675341710331,-0.13719989857473966,0.11639599451200489,0.060050321413003885,0.02960408192628143
11,-0.01424300654944694,0.06381192203855436,0.43083235368652145,0.199031906119449,0.30370223109746375,-0.005167550468654501,-0.37992288967124616,-0.14479466915980874,-0.012232516010341653,0.14210429302757077,-0.4568553490261327,-0.3171262230794724,0.04056334544725706,-0.05378281615365363,-0.003750770411898011,0.03137130607641498,-0.11708649645312387,0.4050330168554972,0.021616787348582803
12,0.04104247098665704,-0.12483061583514077,0.40210456703842107,0.026741789653704533,-0.0864888241318703,0.1728342720914935,0.45742466866708076,-0.17701387005076855,0.04088888089993572,-0.08661618085385717,-0.5106353054793186,0.03638186710671236,0.06728629308018913,0.07431670377469403,0.0359603826989532,0.012997874515270076,-0.029108515481189715,-0.5087241400946672,0.02112771617433286
13,-0.06370162044496754,-0.0896688081875281,0.1864603985289096,-0.7220491974971796,0.27086931753515625,0.00257311249417492,-0.06836035548806586,0.15342020460844238,-0.061520062600163274,0.1878056553827121,-0.1662258512516529,0.3909912451936961,-0.0062519583362997426,-0.0003863971047695718,-0.07074453995831176,-0.11248249770444183,0.28836378377418703,0.09889640564768094,0.01649900017498165
14,-0.014412708627378378,-0.13743156806976478,0.09194633730775048,-0.05882315460618647,-0.279602252829859,-0.08184342102646501,-0.046822103507724054,0.010381810127620218,-0.017907270284246993,0.25521381589134223,-0.04284976492824637,0.35994947208374994,-0.38586421779028196,0.11943656124585965,-0.029735328245395026,0.081515037363514,-0.7091041032165096,0.10698782548502393,0.01322895542631751
15,0.13048212907510912,0.0197612435263887,-0.03765524014584177,0.09521227431537098,-0.0022626489224595674,0.5049739243132066,-0.10337934385236834,0.18130829321623312,0.12975717355377242,-0.18328612243974932,-0.07613182616842486,0.15597277132910475,-0.16636516164846196,-0.5356184242961254,0.1294681330069063,-0.4985706774177184,-0.11076686262767924,0.028532033543244635,0.007930793556797586
