,betw cen e-plv gamma,betw cen s-lcoh beta,betw cen s-lcoh gamma
betw cen e-plv gamma_Fz,0.3370923280057565,0.19412517729777462,0.1532010306979612
betw cen s-lcoh beta_ROlfactoryGyrus,0.19412517729777462,0.2682113374486151,0.23885545179166143
betw cen s-lcoh gamma_RInferiorFrontalGyrusOrbitalPart,0.1532010306979612,0.23885545179166143,0.27079838569275794
