,betw cen e-wpli delta,betw cen s-lcoh beta,life time delta,microstate B,range coef var beta
betw cen e-wpli delta_T8,0.5033555624709232,-0.26713946881038275,0.1610853104030896,0.3462182198074358,0.20764154453938247
betw cen s-lcoh beta_LInferiorFrontalGyrusParsTriangularis,-0.26713946881038275,-0.4257628768490076,-0.43290898017841656,-0.3365819581683001,-0.2854005219995365
life time delta_C5,0.16108531040308957,-0.4329089801784165,0.44189286651803394,0.4869302444253608,0.315084361721665
microstate B_Group1_Map2_Gev,0.3462182198074358,-0.33658195816830005,0.48693024442536087,0.33192532531356217,0.2607086197778953
range coef var beta_PO10,0.20764154453938247,-0.2854005219995366,0.315084361721665,0.2607086197778953,0.4096529172639372
