,ampl total power beta,ampl total power gamma,clust coef s-lcoh gamma,mean ampl beta,mean ampl gamma,mod index delta-gamma,node str s-lcoh gamma,std ampl beta,std ampl gamma
ampl total power beta_P2,0.3058030128687733,0.6080487079814602,0.20245270125908718,0.9999999999899631,0.6080480856859402,0.21288884219651488,0.2904505189350902,0.9933350770569538,0.6105129022315107
ampl total power gamma_C4,0.6080487079814602,0.32389591655509964,0.3140185314086664,0.6080490520304993,0.9999999999972022,0.17001764032304134,0.3151522078602217,0.6159276675345344,0.9969060851451306
clust coef s-lcoh gamma_RSuperiorOccipitalGyrus,0.20245270125908718,0.3140185314086664,0.27176517122090704,0.20245311245517125,0.3140184056721059,0.11673488188106737,0.6267642607980037,0.2084732527476764,0.31566436583456514
mean ampl beta_P2,0.9999999999899631,0.6080490520304993,0.20245311245517125,0.3058034214750358,0.6080484297365758,0.21288859736175367,0.290450852875328,0.9933350612268954,0.6105132263872868
mean ampl gamma_C4,0.6080480856859402,0.9999999999972022,0.3140184056721059,0.6080484297365758,0.32389579669344004,0.17001768047391014,0.31515194126745405,0.6159270748645103,0.9969060686762773
mod index delta-gamma_PO7,0.21288884219651488,0.17001764032304134,0.11673488188106737,0.21288859736175367,0.17001768047391014,0.27145577898973194,0.1289299696573094,0.22538451295682216,0.1759917371406436
node str s-lcoh gamma_LSupplementaryMotorArea,0.2904505189350902,0.3151522078602217,0.6267642607980037,0.290450852875328,0.31515194126745405,0.1289299696573094,0.2737677933846821,0.28525389040623617,0.32234666980794086
std ampl beta_P2,0.9933350770569538,0.6159276675345344,0.2084732527476764,0.9933350612268954,0.6159270748645103,0.22538451295682216,0.28525389040623617,0.3088999463317804,0.6201132211644526
std ampl gamma_C4,0.6105129022315107,0.9969060851451306,0.31566436583456514,0.6105132263872868,0.9969060686762773,0.1759917371406436,0.32234666980794086,0.6201132211644526,0.3313607436561658
