,betw cen e-icoh delta,betw cen e-wpli delta,source ampl delta
betw cen e-icoh delta_PO4,0.5267624973428962,0.6133705645293678,0.4305346337036499
betw cen e-wpli delta_PO4,0.6133705645293678,0.4203041661643807,0.3707765438208124
source ampl delta_RPrecuneus,0.4305346337036499,0.3707765438208124,0.4481925987145665
