,approx entropy,betw cen s-lps delta,lyapunov exponent,rqa entropy,rqa mean diagonal
approx entropy_PO3,0.5208365345305895,0.30409239813788375,0.47465900717492954,0.4714563910829938,0.4002126476907829
betw cen s-lps delta_RPostcentralGyrus,0.30409239813788375,0.46512570730241354,0.2888790737156248,0.3366329229009626,0.3150503272468476
lyapunov exponent_CP4,0.47465900717492954,0.2888790737156248,0.4224498621851884,0.9645795905746596,0.9364252069171956
rqa entropy_CP4,0.4714563910829938,0.3366329229009626,0.9645795905746596,0.438988230376786,0.9855675242776057
rqa mean diagonal_CP4,0.4002126476907829,0.3150503272468476,0.9364252069171956,0.9855675242776057,0.4526255368789594
