,betw cen e-wpli delta,betw cen s-lcoh gamma,betw cen s-lps theta,life time delta,microstate B
betw cen e-wpli delta_T8,0.4935649046287952,0.2535521383142276,0.19104966407225446,0.22678382836830677,0.2781702652284763
betw cen s-lcoh gamma_RMedialOrbitofrontalCortex,0.2535521383142276,0.4302387914510716,0.1249416547328743,0.13935605233126902,0.21876852055292498
betw cen s-lps theta_LAngularGyrus,0.19104966407225446,0.1249416547328743,0.4391910061308842,0.21022801937708818,0.19094286043993147
life time delta_C5,0.22678382836830677,0.13935605233126902,0.21022801937708818,0.42832507884926585,0.45269194640814553
microstate B_Group1_Map2_SegDensity,0.2781702652284763,0.21876852055292498,0.19094286043993147,0.45269194640814553,0.3385716308171409
