,betw cen e-plv beta,clust coef e-icoh theta,clust coef e-plv beta,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli theta,node str e-icoh theta,node str e-plv beta,node str e-plv delta,node str e-plv theta,node str e-wpli theta
betw cen e-plv beta_C3,0.2885064336200538,0.26611314794536733,0.09859137035338571,0.088319523120861,0.12572281935638951,0.29620105264345314,0.2560983838167628,0.10304441697486011,0.08803260001380725,0.1139176550397695,0.2829429097127129
clust coef e-icoh theta_O1,0.2661131479453674,0.31112267916097053,0.2096148533410656,-0.022811075163988136,0.4100171465493425,0.9666201662598831,0.9741774336798412,0.22859706522309914,-0.00840432065645484,0.32859501037697286,0.9362221425652241
clust coef e-plv beta_F5,0.09859137035338571,0.2096148533410656,0.31792195220043223,0.2959046916703387,0.43371180554762784,0.20727232875711485,0.20941393505316339,0.9311032925484428,0.29041140302610335,0.43616392192497977,0.1772898406124354
clust coef e-plv delta_F2,0.088319523120861,-0.022811075163988136,0.2959046916703387,0.3131957953194095,0.6099536746356643,-0.030770179159750582,-0.045957775195267454,0.2242316587859512,0.9528298655902316,0.6222690524191247,-0.08570763192682919
clust coef e-plv theta_F2,0.12572281935638951,0.4100171465493425,0.43371180554762784,0.6099536746356643,0.33903668593748465,0.42321839132946254,0.3348645742244668,0.35456369908833324,0.632237339293909,0.9739034541963381,0.34036242919342713
clust coef e-wpli theta_O1,0.29620105264345314,0.9666201662598831,0.20727232875711485,-0.030770179159750582,0.42321839132946254,0.3076522644464031,0.9398204064485637,0.21475653498147212,-0.007367764943868452,0.3440657185454428,0.9706430983426523
node str e-icoh theta_O1,0.25609838381676286,0.9741774336798412,0.20941393505316339,-0.045957775195267454,0.3348645742244668,0.9398204064485637,0.30995141419480404,0.23906764781763923,-0.04255586327510508,0.25987638958969284,0.953784227457767
node str e-plv beta_F5,0.10304441697486011,0.22859706522309914,0.9311032925484428,0.2242316587859512,0.35456369908833324,0.21475653498147212,0.23906764781763923,0.31122998803701307,0.2342136446349109,0.3667649187536673,0.1960620015571167
node str e-plv delta_F2,0.08803260001380725,-0.00840432065645484,0.29041140302610335,0.9528298655902316,0.632237339293909,-0.007367764943868452,-0.04255586327510508,0.2342136446349109,0.3340593806231708,0.6715077319293405,-0.06803138891615998
node str e-plv theta_F2,0.1139176550397695,0.32859501037697286,0.43616392192497977,0.6222690524191247,0.9739034541963381,0.3440657185454428,0.25987638958969284,0.3667649187536673,0.6715077319293405,0.34260071052264235,0.26865743203596437
node str e-wpli theta_O1,0.2829429097127129,0.9362221425652241,0.1772898406124354,-0.08570763192682919,0.34036242919342713,0.9706430983426523,0.953784227457767,0.1960620015571167,-0.06803138891615998,0.26865743203596437,0.297578929103856
