,betw cen e-icoh gamma,clust coef e-plv alpha,life time beta,node str e-plv alpha,node str e-plv delta,source ampl alpha,waiting time gamma
betw cen e-icoh gamma_FC1,-0.2793082238221952,-0.20024114147167094,0.13282297443523697,-0.21223779590234793,-0.07330979546913304,-0.09198672150853965,0.14768348604632303
clust coef e-plv alpha_AF8,-0.20024114147167096,0.3098527555781738,-0.33907015929623796,0.9606474135195175,0.2185054875807383,0.4818271691754815,-0.36765991839977713
life time beta_C3,0.13282297443523697,-0.33907015929623796,-0.29643887043406575,-0.29075844370520715,-0.06226412078842162,-0.245328079015683,0.6403973615775738
node str e-plv alpha_AF8,-0.2122377959023479,0.9606474135195175,-0.29075844370520715,0.32547679235113247,0.23886672952973698,0.4279628027187896,-0.3061149937555509
node str e-plv delta_FC5,-0.07330979546913304,0.2185054875807383,-0.06226412078842162,0.23886672952973698,0.2916281374981277,0.06937388838532474,-0.040733899709810055
source ampl alpha_LFusiformGyrus,-0.09198672150853965,0.4818271691754815,-0.245328079015683,0.4279628027187896,0.06937388838532474,0.305035172998758,-0.2545109580377589
waiting time gamma_FC1,0.14768348604632303,-0.36765991839977713,0.6403973615775738,-0.3061149937555509,-0.040733899709810055,-0.2545109580377589,-0.2780361616235957
