,ampl total power gamma,betw cen e-icoh theta,betw cen e-plv delta,mean ampl gamma,skewness ampl delta,source ampl delta,std ampl gamma
ampl total power gamma_T8,0.0,0.21150011614521713,0.3585537876742724,0.0,0.01178382033506926,0.0008149364465453667,7.974081830515075e-155
betw cen e-icoh theta_F5,0.21150011614521713,0.0,0.6452282226501378,0.21150011614521713,0.8221793045058985,0.3005943559334384,0.20593124436793123
betw cen e-plv delta_Fp1,0.3585537876742724,0.6452282226501378,0.0,0.3585537876742724,0.21873189599757936,0.09624421297957995,0.3598467093452087
mean ampl gamma_T8,0.0,0.21150011614521713,0.3585537876742724,0.0,0.01178382033506926,0.0008149364465453667,7.974081830515075e-155
skewness ampl delta_CP3,0.01178382033506926,0.8221793045058985,0.21873189599757953,0.01178382033506926,0.0,1.0722835045274335e-05,0.011560928084896581
source ampl delta_RTemporalPoleSuperiorTemporalGyrus,0.0008149364465453667,0.3005943559334384,0.09624421297957995,0.0008149364465453667,1.0722835045274335e-05,0.0,0.0007762224398632641
std ampl gamma_T8,7.974081830515075e-155,0.20593124436793123,0.3598467093452087,7.974081830515075e-155,0.011560928084896581,0.0007762224398632641,0.0
