,betw cen e-wpli delta,betw cen s-lcoh beta,life time delta,microstate B,range coef var beta
betw cen e-wpli delta_T8,0.0,0.03582031306314733,0.21102167020109563,0.005843163637129783,0.10536086167363157
betw cen s-lcoh beta_LInferiorFrontalGyrusParsTriangularis,0.03582031306314733,0.0,0.00044094051912755536,0.007476362116493142,0.024544214770434232
life time delta_C5,0.21102167020109566,0.00044094051912755536,0.0,5.989129269717552e-05,0.012617800583091109
microstate B_Group1_Map2_Gev,0.005843163637129783,0.0074763621164931566,5.9891292697175396e-05,0.0,0.04069883271894968
range coef var beta_PO10,0.10536086167363157,0.02454421477043419,0.012617800583091109,0.04069883271894968,0.0
