id,Tap_simon_congruent,betw cen e-icoh delta_POz,betw cen e-plv delta_C3,betw cen e-wpli gamma_P7,betw cen s-lps alpha_LInferiorTemporalGyrus,clust coef e-icoh theta_O1,clust coef e-plv alpha_AF8,clust coef e-plv delta_F2,clust coef e-plv theta_Fp1,dfa exponent theta_CP1,kurtosis ampl alpha_F1,microstate A_Group1_Map1_SegDensity,mod index delta-alpha_F3,node str e-icoh theta_C5,node str e-plv alpha_AF8,node str e-plv delta_F2,node str e-plv theta_Fp1,node str e-wpli alpha_AF8,node str e-wpli theta_CP3
sub-010003,420.0,92,0,34,36,0.0904901109022426,0.240662951838731,0.203213142623435,0.202676375693368,0.84490611657106,2.82283804954793,1.5579,0.0037661120934417,7.89775252783112,15.7658655319762,14.5016325369963,13.2887294806749,3.8911837416909,4.23416056398487
sub-010005,412.0,46,44,6,8,0.0747293441100678,0.255720395560179,0.206082590366899,0.221099361826488,0.661418700726489,3.21124296000182,1.4767,0.003496116364463,5.06362975136432,16.5600067170134,14.7253824796577,14.69027001928,4.61289266870056,2.36886560555878
sub-010010,326.0,2,34,84,0,0.0653935983155025,0.219968633893046,0.20254182035852,0.154037539622171,0.654064755964078,3.08576943535504,1.6162,0.0038640279166829,4.38075894603725,15.1030574650979,14.0349385196999,10.5425112414439,3.2033636226387,1.40065909018503
sub-010016,325.862069,0,10,0,0,0.0491270696457969,0.185191391203191,0.20224826660427,0.164914697949995,0.570139754152359,3.27982859280143,1.7002,0.004156770161849,3.37030114975633,12.6576301873172,14.1561047565731,11.2767036757127,1.28243437902385,0.63748794837867
sub-010017,371.7857143,28,44,10,14,0.0535320368313587,0.233160499741632,0.200359418859884,0.188838458691183,0.562025728141919,2.99012093322886,1.8183,0.0041909328354521,3.60124458620325,15.7771833004323,14.4650545871629,13.1342617345851,3.33704414879718,0.762780707165615
sub-010019,375.0,22,10,12,0,0.0732753005169243,0.213242253661315,0.182935033983063,0.175829875470007,0.657915066193104,2.97020144824602,2.01,0.0037173992024617,4.55066190679534,13.0984271391903,12.9790558275093,11.2155594032379,4.02329992004787,1.59338838703516
sub-010020,527.0,0,88,8,0,0.0689829264121746,0.224954594390379,0.191591034143266,0.175490955046304,0.718662692881195,2.88772340625825,2.085,0.0030747816494928,4.324625881543,14.7893544698541,13.0951730737313,11.304593689305,3.90572350207444,1.01670987673092
sub-010021,392.0,8,106,8,0,0.0706988462786824,0.226277539632395,0.196389023501052,0.166221428316074,0.655854310853502,2.9000769603046,1.3334,0.0038897714560292,4.43192447343163,13.8801704051585,14.0635341128129,10.6024938016439,2.09286377265291,1.9785886328664
sub-010022,313.4482759,18,2,8,0,0.0559520682724489,0.174941181228338,0.168758412414743,0.157213770528171,0.487575106131482,3.00017606961188,1.5826,0.0040782029558042,3.8144026477821,11.7562103825561,11.3782780480282,10.4170721220024,2.58084556029636,0.883568971482285
sub-010023,387.8571429,4,20,0,12,0.0578197263466917,0.191927746513735,0.19969241154374,0.194650459567885,0.599702334960631,3.59657997987382,1.9517,0.0051340165847611,3.89317966275997,13.4115443556245,14.8168494808779,14.1613579414474,2.92649829152483,0.868132864520744
sub-010024,392.1428571,8,18,14,0,0.0724463412231453,0.22504295286374,0.185952607969752,0.172661990767081,0.643681181651456,2.21552266939892,1.157,0.002071591848491,4.18429620393879,14.3223137971319,13.3591951156893,11.8054734789786,2.14802317731959,1.1794338975563
sub-010027,369.3103448,20,4,72,268,0.0865756080108884,0.223851000580873,0.191104453505268,0.180104339639747,0.636803872596157,2.7365689407274,1.2202,0.0030377888444264,3.81675828994711,13.5013689779342,13.4793821763613,12.235016989301,3.44262374482906,1.11694863222691
sub-010028,71.37931034,90,26,0,0,0.0642375964969557,0.21304389529348,0.250711362578258,0.192208912079833,0.482932639597738,3.29992673100081,1.455,0.0050742030684987,5.19644343845841,14.3354308084079,17.1426365019251,13.0444786792726,2.46644165142839,0.531913800435261
