id,Tap_working_memory,betw cen e-icoh delta_C6,betw cen e-wpli delta_P4,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time gamma_C2,node str e-plv delta_P3,skewness ampl gamma_C1,waiting time beta_C5,waiting time gamma_P5
sub-010228,606.9230769,0,0,3.08442386885315,2.82804084636059,111.666923076923,14.8054841868335,0.0225786862145354,175.742,119.113541666667
sub-010229,622.0,8,0,3.25173779334839,3.17678446672611,111.347272727273,13.6798991527353,0.0122234331757387,191.396153846154,111.317708333333
sub-010230,384.6428571,12,128,3.18014645503958,3.00233247292208,127.082432432432,10.7438646859772,0.0086146469852544,215.654166666667,127.0925
sub-010231,484.0,6,148,3.12128849899802,2.82781426659661,119.944230769231,10.8469013499064,0.0106053593231644,215.1,111.991346153846
sub-010232,389.0,46,0,3.56996809942986,2.99988280440319,183.844117647059,14.5100159300076,0.0131268897870376,215.630952380952,151.002777777778
sub-010233,484.6153846,0,416,3.21331924805631,2.84494291469236,95.4117647058823,14.7409017461587,0.0180458238004981,175.818181818182,151.397916666667
sub-010236,942.2727273,2,608,3.07905974183934,2.75638162536736,111.864393939394,13.9408864603111,0.0127237150676589,207.216666666667,111.88
sub-010238,453.0,4,390,3.12867343144609,2.92276170912072,103.175,11.7106026084736,0.0156010434404089,167.256976744186,119.392307692308
sub-010240,671.0,36,320,3.11945094618132,2.82252941922849,119.247,13.5493598106346,0.0140477935917705,175.469117647059,127.003731343284
sub-010241,508.0,32,6,3.13629010443947,2.8271161738472,143.246052631579,13.4175988567777,0.0094536635052743,199.932352941176,143.909090909091
sub-010252,472.0,0,90,3.16041928661648,2.98800989553831,143.40487804878,10.5866059506045,0.0100912412290005,207.408333333333,127.7421875
sub-010256,492.2727273,58,190,3.10448124072695,2.74756424448626,127.063953488372,13.16444502569,0.0097005646983579,191.544444444444,127.240217391304
sub-010260,486.0,20,244,3.58606283069864,2.9154451296463,143.273170731707,11.2863367000997,0.0147008962084903,263.716666666667,159.8875
sub-010261,1091.785714,10,38,3.01654097097106,2.85904357379767,103.628169014085,13.233821781403,0.0245351910175884,191.727272727273,111.763571428571
sub-010262,482.0,4,0,3.2146926615844,2.9715871501303,119.431111111111,10.405363583143,0.0134016403062202,199.752380952381,127.129807692308
sub-010263,442.5,50,260,3.22449266116604,2.89168085477074,95.1817647058824,12.1656248769937,0.0216756401748303,199.03125,103.366666666667
sub-010264,651.9230769,0,0,3.18933320268768,2.98986398166886,119.815384615385,15.0697781673721,0.0215988090814205,183.17619047619,111.183333333333
sub-010265,466.0714286,20,16,3.24279459837041,2.94935072554099,111.444339622641,12.781634107948,0.0142313940215887,207.4375,127.222222222222
sub-010266,508.0,24,1034,3.31456856196835,2.89654842812822,239.1,13.15989823715,0.0031586943562365,199.469230769231,159.767142857143
sub-010269,438.2142857,56,16,3.20261102678625,2.90162578470636,103.4925,12.8529193303536,0.0127208183649576,191.802380952381,111.381617647059
sub-010270,529.0,6,0,3.38957577613908,2.98451624901751,175.454166666667,12.0075495966097,0.0106906495473517,231.160714285714,135.075675675676
sub-010271,423.0,28,286,3.3760939172487,3.00258415129885,111.279508196721,23.5470653588209,0.0277433596436113,239.919230769231,135.396590909091
sub-010273,711.9230769,2,0,3.02598129383257,2.8787845445405,103.975308641975,11.5690724440783,0.0141207534731742,167.139130434783,95.7229885057471
sub-010274,680.7692308,4,0,3.01944321274923,2.86499921148267,127.13375,13.8533906653178,0.0066047936458193,207.428571428571,119.644
sub-010292,515.0,4,64,3.06163761086981,2.91233848447746,143.582258064516,15.1398686652164,0.0157859230069126,167.821875,119.522413793103
sub-010294,413.0,4,44,3.454774847265,3.00097578773584,151.645833333333,11.5667149831999,0.010425922804785,207.321875,127.844565217391
sub-010295,567.0,2,156,3.17640738113244,2.98049809690096,111.56,11.4156709856984,0.0101934095151834,191.3775,103.966176470588
sub-010296,395.3571429,22,58,3.30306523857598,2.98921396971202,119.853846153846,11.454611635963,0.0129630032461182,223.979411764706,143.159459459459
sub-010297,544.2857143,26,2,3.03982395706911,2.89815550228814,103.349074074074,12.0978545907299,0.0151905469242367,191.054166666667,111.464814814815
sub-010298,1022.307692,4,16,3.14600391108038,2.79649385051549,103.623943661972,12.4329814990518,0.0251898756535666,175.45,111.703846153846
sub-010299,823.8461538,10,154,3.18038716877994,3.1064643468253,111.609433962264,15.7274597567353,0.0118580033180518,175.552083333333,119.9375
sub-010300,533.5714286,8,174,3.24869369658021,3.16964962017253,111.293220338983,10.524968580325,0.0242369031999524,215.86875,119.027358490566
sub-010301,465.0,8,0,3.06001995033822,3.04633248431848,87.85,11.9586527178377,0.0163503538976984,183.470588235294,95.6076923076923
sub-010302,600.0,0,98,3.07753255714648,2.77972926625111,103.803571428571,12.0371570395753,0.0313846014705205,231.97380952381,111.53679245283
sub-010303,428.0,20,178,3.13975983566293,2.98046744801855,127.964705882353,13.3718503981982,0.0089477411295758,191.270833333333,119.234615384615
sub-010304,456.25,2,356,3.05150182924949,2.94915410996033,95.4746268656716,11.2594261166043,0.0128309530513477,199.206666666667,103.279577464789
sub-010305,594.0,0,234,3.26926948936766,3.00213341288703,135.921428571429,11.5470184918507,0.011064464101668,231.585714285714,135.834722222222
sub-010306,600.0,0,14,3.11023014119026,2.85130524610373,127.182558139535,13.8943273185216,0.0169052834112809,199.721875,127.839361702128
sub-010307,489.6428571,0,0,3.10829109041259,2.94981347214023,119.016666666667,14.135476018127,0.0141692829246994,231.288461538462,119.177659574468
sub-010308,732.8571429,20,54,3.25825390014479,2.88927586818003,127.107575757576,11.7766587648881,0.0154617980121576,199.347058823529,119.514912280702
sub-010309,1117.5,516,34,3.10463332609787,2.77507497077916,95.7085714285714,14.9286628955723,0.0277435790096103,191.273529411765,111.901886792453
sub-010310,623.0,36,0,3.16760662977532,2.89995879987558,111.655263157895,12.3690516831574,0.0148837896092718,191.839130434783,127.366666666667
sub-010311,760.0,2,0,3.17995520218008,2.78599231495404,103.685064935065,11.6961022933078,0.0156831957777335,191.169444444444,111.225510204082
sub-010314,908.3333333,6,242,3.25765570710769,2.84848827090079,151.594047619048,16.0734946096405,0.0100498968872844,207.516666666667,119.036046511628
sub-010315,528.0,2,212,3.19068568678778,2.91097557357353,127.363333333333,10.9770895050492,0.0104908709590555,207.591176470588,111.858928571429
sub-010316,645.0,0,6,3.04520993827507,2.78396349156396,111.544545454545,14.390353498142,0.01487870526321,167.844736842105,111.984426229508
sub-010317,528.0,26,72,3.11487707975635,2.82636835204172,103.092361111111,13.5048727867808,0.0234478450941995,199.255,103.715714285714
sub-010318,585.0,0,0,3.60224553376097,2.95377864484816,143.529268292683,14.5699070007967,0.0122832480527025,271.466666666667,135.884848484848
sub-010319,846.0,0,0,3.05561250393178,2.99961341364814,119.420731707317,11.5953971608214,0.0163686227469064,215.184615384615,103.7421875
sub-010321,648.0,0,30,3.08616471045307,3.05366095400388,119.10612244898,10.7364749225034,0.0083100064187976,183.638,119.619230769231
