id,Tap_alertness,betw cen e-icoh alpha_AFz,betw cen e-icoh delta_P2,node str s-lps alpha_LSuperiorParietalLobule
sub-010214,200.0,2,8,0.8418023452
sub-010215,222.0,0,2,0.4621725496
sub-010218,310.5,134,2,2.382994333
sub-010220,188.5,10,44,0.733036293
sub-010224,226.0,14,220,0.5411922424
sub-010226,287.0,0,18,0.89390572
sub-010227,204.5,2,2,1.179114045
sub-010228,244.0,28,0,0.3659052571
sub-010229,194.5,0,4,2.196549071
sub-010230,219.0,68,4,2.815846556
sub-010231,214.5,14,22,1.334675924
sub-010232,206.0,2,4,0.563974218
sub-010233,242.0,14,2,2.920311954
sub-010236,223.5,6,16,1.6272134
sub-010238,209.5,0,38,0.794070465
sub-010240,236.5,62,10,1.526018204
sub-010241,200.5,2,2,0.491223477
sub-010252,208.0,34,2,1.654154013
sub-010256,227.5,24,92,1.686324773
sub-010260,200.0,2,0,0.889329344
sub-010261,256.0,6,36,0.5033317416
sub-010262,228.5,0,2,1.295303953
sub-010263,203.5,2,0,1.203715018
sub-010264,183.0,6,0,1.103853408
sub-010265,196.0,2,6,1.848061423
sub-010266,209.0,34,50,2.166074139
sub-010269,245.0,32,4,1.166222595
sub-010270,244.0,10,6,0.3610392028
sub-010271,201.5,2,6,0.4117554368
sub-010273,286.5,4,74,0.987813787
sub-010274,200.5,24,20,0.828608433
sub-010292,219.0,6,4,0.695325335
sub-010294,218.5,108,2,3.218032388
sub-010295,192.0,10,14,1.323100122
sub-010296,203.0,6,28,2.34354771
sub-010297,270.5,30,6,1.421523863
sub-010298,285.5,4,122,0.695576469
sub-010299,218.0,0,16,6.331643182
sub-010300,243.0,42,62,2.472812014
sub-010301,200.0,0,6,0.5813877074
sub-010302,176.5,2,6,1.731599437
sub-010303,227.5,14,20,1.103774803
sub-010304,220.5,14,14,2.526075818
sub-010305,207.0,0,66,0.943858354
sub-010306,346.5,130,30,0.8836754266
sub-010307,184.0,2,36,0.304346485
sub-010308,253.0,94,60,0.502169799
sub-010309,234.5,28,108,1.513488883
sub-010310,219.0,26,0,1.718986774
sub-010311,203.0,4,0,1.124225671
sub-010314,210.0,0,12,0.698247525
sub-010315,206.5,2,38,1.028376849
sub-010316,234.0,172,24,2.247209656
sub-010317,197.0,10,0,1.270966177
sub-010318,210.5,14,4,1.756741861
sub-010319,185.5,16,6,1.089065838
sub-010321,220.0,6,8,3.725134541
