id,Tap_alertness,betw cen e-icoh alpha_AFz,betw cen e-icoh delta_P2,node str s-lps alpha_LSuperiorParietalLobule
sub-010003,207.0,10,30,1.282265304
sub-010005,240.5,0,0,3.491876946
sub-010010,178.0,6,0,0.8580707799
sub-010016,195.0,2,38,0.2712524607
sub-010017,238.0,28,100,2.145101129
sub-010019,199.5,10,12,1.809665691
sub-010020,213.0,20,28,1.103249671
sub-010021,206.5,46,4,2.540382691
sub-010022,161.0,24,4,0.4083398219
sub-010023,210.5,116,6,0.636291206
sub-010024,178.5,28,4,0.691829011
sub-010027,183.5,254,24,0.848686611
sub-010028,204.5,4,20,1.064138787
sub-010029,271.0,306,6,4.135226109
sub-010030,242.5,4,16,1.807002387
sub-010031,263.0,88,26,0.939078202
sub-010032,217.0,8,0,0.771819422
sub-010033,190.5,16,36,1.162325148
sub-010034,209.0,0,20,0.3752266374
sub-010035,239.0,4,0,2.660750657
sub-010036,222.0,8,6,0.4018585321
sub-010038,201.5,0,52,0.5972255256
sub-010040,216.0,4,64,1.704465528
sub-010042,218.5,2,2,0.521019246
sub-010052,198.0,48,30,0.244886203
sub-010053,201.5,24,38,0.4994085369
sub-010056,219.0,68,28,0.3077918388
sub-010060,277.5,6,14,0.954849483
sub-010061,199.0,0,4,1.110804594
sub-010062,214.0,0,64,0.976417076
sub-010063,182.5,0,4,1.045621682
sub-010064,201.0,74,22,0.4995626584
sub-010065,197.5,52,2,0.942380357
sub-010066,181.5,68,48,0.982684402
sub-010067,240.5,4,50,2.135311135
sub-010068,188.5,18,0,0.929708096
sub-010069,205.5,4,24,0.678142873
sub-010070,194.5,46,0,0.2024233234
sub-010071,184.0,0,16,2.409146022
sub-010072,242.5,200,2,1.968799913
sub-010073,222.5,38,12,0.939214922
sub-010074,238.5,42,96,1.544935616
sub-010075,188.0,2,2,2.556928783
sub-010076,235.0,4,138,1.879793945
sub-010079,180.0,26,58,2.291383205
sub-010080,236.0,20,0,2.949125824
sub-010083,233.5,0,48,0.798579331
sub-010084,178.5,4,16,4.508621289
sub-010094,228.0,4,0,2.531629645
sub-010126,244.0,16,44,2.153885173
sub-010134,203.0,26,6,1.508012471
sub-010136,184.5,16,34,0.959885179
sub-010137,256.5,174,20,1.506139091
sub-010138,210.0,28,2,1.337744815
sub-010141,233.5,2,14,1.771994863
sub-010142,226.5,16,2,0.6545773806
sub-010150,228.0,48,4,1.799173687
sub-010155,221.0,8,6,1.001300814
sub-010157,202.0,0,88,1.140330723
sub-010162,199.0,8,22,1.56935884
sub-010163,198.0,6,16,1.074043646
sub-010164,200.0,8,2,0.779626244
sub-010165,229.5,300,120,1.513179362
sub-010166,204.5,24,30,0.424987332
sub-010168,280.5,124,70,1.007089543
sub-010170,198.0,2,6,0.819510507
sub-010176,186.5,102,18,1.117412103
sub-010183,243.5,66,16,2.53310754
sub-010191,222.5,58,0,3.11944893
sub-010192,201.5,4,6,1.058481048
sub-010194,186.0,8,2,0.974410392
sub-010195,252.5,6,32,1.585514069
sub-010196,230.5,116,98,1.432657322
sub-010197,210.0,4,4,0.3288829998
sub-010200,201.0,0,4,1.001116229
sub-010201,181.0,88,2,0.979744167
sub-010202,196.5,0,26,0.1913287831
sub-010204,207.0,0,4,1.911389778
sub-010207,192.0,4,8,0.383573081
sub-010210,228.0,6,16,1.943926578
sub-010213,199.5,0,30,0.923291287
