,ampl total power beta,ampl total power gamma,betw cen s-lcoh alpha,betw cen s-lcoh delta,mean ampl beta,mean ampl gamma,std ampl beta,std ampl gamma
ampl total power beta_P2,0.0,2.3969245869663855e-19,0.14522865463062148,0.9031925496769059,0.0,2.3969245869663855e-19,1.7581314668109265e-139,2.8773325665698495e-19
ampl total power gamma_C4,2.3969245869663855e-19,0.0,0.34015264845910076,0.36563626892029466,2.3969245869663855e-19,0.0,2.0120542422448938e-19,2.128730914734881e-152
betw cen s-lcoh alpha_RPostcentralGyrus,0.14522865463062143,0.34015264845910076,0.0,0.5730781983770911,0.14522865463062143,0.34015264845910076,0.1278333104037742,0.3942695054885783
betw cen s-lcoh delta_RSuperiorFrontalGyrus,0.9031925496769059,0.3656362689202949,0.5730781983770911,0.0,0.9031925496769059,0.3656362689202949,0.8853200469386792,0.35975124403425696
mean ampl beta_P2,0.0,2.3969245869663855e-19,0.14522865463062148,0.9031925496769059,0.0,2.3969245869663855e-19,1.7581314668109265e-139,2.8773325665698495e-19
mean ampl gamma_C4,2.3969245869663855e-19,0.0,0.34015264845910076,0.36563626892029466,2.3969245869663855e-19,0.0,2.0120542422448938e-19,2.128730914734881e-152
std ampl beta_P2,1.7581314668109265e-139,2.0120542422448938e-19,0.1278333104037742,0.8853200469386792,1.7581314668109265e-139,2.0120542422448938e-19,0.0,2.1904018353027183e-19
std ampl gamma_C4,2.8773325665698495e-19,2.128730914734881e-152,0.3942695054885783,0.35975124403425696,2.8773325665698495e-19,2.128730914734881e-152,2.1904018353027183e-19,0.0
