,approx entropy,betw cen e-icoh beta,correlation dimension,higuchi fractal dim,lyapunov exponent
approx entropy_Oz,-0.40722227122000093,-0.21701837024665602,0.2632771776082194,-0.5390194152753646,-0.19573921583440357
betw cen e-icoh beta_CP3,-0.21701837024665604,0.5253624554924576,-0.24310462534449387,0.23450097920404603,0.289426656164665
correlation dimension_PO3,0.2632771776082194,-0.24310462534449387,-0.41684189323509213,-0.23542595250686207,-0.19951650676135077
higuchi fractal dim_PO7,-0.5390194152753646,0.23450097920404603,-0.23542595250686207,0.4142229385503553,0.5002895923043994
lyapunov exponent_P5,-0.19573921583440357,0.289426656164665,-0.19951650676135077,0.5002895923043994,0.3952858815991808
