,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-wpli theta,dfa exponent delta,life time alpha,microstate B,microstate C
betw cen e-icoh delta_CP5,-0.28469269153713483,0.017598964315999964,0.06798736091753496,0.1994209594052346,-0.1360177548383305,-0.06050496000055845,0.06146955851818398
betw cen e-plv alpha_C5,0.017598964315999964,-0.30437248260499955,0.1332147494448815,0.15619407650329287,-0.15204468469317417,0.2731709665959139,-0.33606693875356136
betw cen e-wpli theta_FT8,0.06798736091753496,0.1332147494448815,-0.3109461987702721,0.28991421259249583,-0.0367998279843901,0.09607286418993137,-0.022211011803477114
dfa exponent delta_FT8,0.19942095940523458,0.15619407650329287,0.28991421259249583,-0.3083603840577936,0.030336412942368704,0.07834215014532327,0.04041425697905655
life time alpha_FC4,-0.1360177548383305,-0.15204468469317417,-0.036799827984390104,0.030336412942368707,0.264847188505447,-0.21367684311359994,0.5531309612013964
microstate B_Group1_Map2_TimeCov,-0.06050496000055846,0.27317096659591394,0.09607286418993137,0.07834215014532327,-0.21367684311359994,-0.23611134178218438,-0.46827431739153264
microstate C_Group1_Map3_Gev,0.061469558518183975,-0.33606693875356136,-0.022211011803477114,0.04041425697905655,0.5531309612013964,-0.46827431739153264,0.1988156901080781
