,betw cen e-icoh delta,betw cen e-plv delta,betw cen e-wpli gamma,betw cen s-lps alpha,clust coef e-icoh theta,clust coef e-plv alpha,clust coef e-plv delta,clust coef e-plv theta,dfa exponent theta,kurtosis ampl alpha,microstate A,mod index delta-alpha,node str e-icoh theta,node str e-plv alpha,node str e-plv delta,node str e-plv theta,node str e-wpli alpha,node str e-wpli theta
betw cen e-icoh delta_POz,0.438274842914708,0.25452003778551585,0.19489791056933983,0.30083874586931814,0.18565207389451985,0.2682922832412261,0.1795647866273307,0.2722567782597129,0.19226986002881571,0.19625448833553685,0.1848015583431673,0.20055041452953495,0.2834550156188527,0.2837776276052593,0.17140666940896732,0.2558819114867259,0.20076382661825756,0.210273260107453
betw cen e-plv delta_C3,0.25452003778551585,0.4150388045565479,0.1748446102236419,0.24102961588173852,0.16602091078127046,0.18805736882529,0.34608133838970473,0.27278337273248593,0.17174008473295146,0.13860908394498508,0.1420063817593685,0.14182627990885088,0.19130898825255077,0.20255875862953396,0.35492073137061464,0.2541329543365408,0.12364746897026363,0.16903891670794594
betw cen e-wpli gamma_P7,0.19489791056933983,0.1748446102236419,0.365811150590162,0.1745698619327995,0.16102259432238322,0.15286615832779635,0.1815809113976666,0.15086678498135608,0.15885818066950005,0.1334091579906702,0.22639902682931723,0.14265035715689914,0.18674329136419576,0.155737929620317,0.18065435115348416,0.1494521470813737,0.1228310468967109,0.18142443095667934
betw cen s-lps alpha_LInferiorTemporalGyrus,0.30083874586931814,0.24102961588173852,0.1745698619327995,0.39724171739228203,0.31903197798560484,0.2536036054502218,0.15622611001470052,0.3094802939783186,0.12803375229287436,0.13440484655074922,0.11923780794752939,0.12808279228529867,0.3247670931098976,0.28583691054855476,0.15237879281668276,0.28606386882925294,0.26360335895174347,0.26942931854924107
clust coef e-icoh theta_O1,0.18565207389451985,0.16602091078127046,0.16102259432238322,0.31903197798560484,0.2961969644728841,0.42192060343352455,0.1341323022452231,0.3870961630878792,0.4978662310597102,0.41035116704180313,0.25788939169361247,0.2348731822465176,0.7018245858900118,0.3666696873444445,0.12849150331623468,0.27091766266517364,0.35875277812647643,0.7851886152636988
clust coef e-plv alpha_AF8,0.2682922832412261,0.18805736882529,0.15286615832779635,0.2536036054502218,0.42192060343352455,0.36301439070081387,0.14665352072342222,0.498118097456697,0.39687708342696454,0.48362579494283203,0.5247185867878708,0.36241243746399726,0.47098672895235005,0.954663502842474,0.1512921114373537,0.408572360790587,0.7121319193887657,0.40804633835244736
clust coef e-plv delta_F2,0.1795647866273307,0.34608133838970473,0.1815809113976666,0.15622611001470052,0.1341323022452231,0.14665352072342222,0.3140606832812564,0.3728874294176393,0.15982432892881174,0.15827477294776277,0.16708028156186827,0.11089139819115897,0.15882324651781385,0.1736921395419774,0.9510789496300587,0.3414061431253414,0.11118242283111851,0.12409423502949657
clust coef e-plv theta_Fp1,0.2722567782597129,0.27278337273248593,0.15086678498135608,0.3094802939783186,0.3870961630878792,0.498118097456697,0.3728874294176393,0.3326441668442379,0.2519770454499161,0.2651462026639978,0.20330629531286395,0.1914387746299087,0.3716717090360627,0.494432083384861,0.36868132337753007,0.9535713732519709,0.3710753397788192,0.3437156167562004
dfa exponent theta_CP1,0.19226986002881571,0.17174008473295146,0.15885818066950005,0.12803375229287436,0.4978662310597102,0.39687708342696454,0.15982432892881174,0.2519770454499161,0.2640374391214467,0.38121872649237726,0.33210608256163854,0.30385106861306205,0.42200467964672256,0.37151053197920586,0.15474676619308528,0.1905313399515987,0.26755017740586384,0.4967208875344875
kurtosis ampl alpha_F1,0.19625448833553685,0.13860908394498508,0.1334091579906702,0.13440484655074922,0.41035116704180313,0.48362579494283203,0.15827477294776277,0.2651462026639978,0.38121872649237726,0.2668896831563489,0.4814490093566347,0.7332030608211936,0.3416824569373504,0.4154969979924966,0.16379950022153808,0.20902839271158272,0.3158008025865239,0.4120014972669503
microstate A_Group1_Map1_SegDensity,0.1848015583431673,0.1420063817593685,0.22639902682931723,0.11923780794752939,0.25788939169361247,0.5247185867878708,0.16708028156186827,0.20330629531286395,0.33210608256163854,0.4814490093566347,0.25046501628622203,0.4243454772109644,0.2536317941464479,0.43260974442928085,0.16216748178751877,0.17441213090862903,0.32350831986432943,0.26169895556378714
mod index delta-alpha_F3,0.20055041452953495,0.14182627990885088,0.14265035715689914,0.12808279228529867,0.2348731822465176,0.36241243746399726,0.11089139819115897,0.1914387746299087,0.30385106861306205,0.7332030608211936,0.4243454772109644,0.28086047255287594,0.2379619804534374,0.307750056217888,0.11416263761255462,0.16778708190225383,0.29944442614385147,0.2759189963621844
node str e-icoh theta_C5,0.2834550156188527,0.19130898825255077,0.18674329136419576,0.3247670931098976,0.7018245858900118,0.47098672895235005,0.15882324651781385,0.3716717090360627,0.42200467964672256,0.3416824569373504,0.2536317941464479,0.2379619804534374,0.31062602382390275,0.4373540139504571,0.15078704032033555,0.26641738588468683,0.37214391755569803,0.7075000262183442
node str e-plv alpha_AF8,0.2837776276052593,0.20255875862953396,0.155737929620317,0.28583691054855476,0.3666696873444445,0.954663502842474,0.1736921395419774,0.494432083384861,0.37151053197920586,0.4154969979924966,0.43260974442928085,0.307750056217888,0.4373540139504571,0.39504915589866585,0.18097274179016773,0.42061609676248307,0.6532237047573718,0.34765485339962776
node str e-plv delta_F2,0.17140666940896732,0.35492073137061464,0.18065435115348416,0.15237879281668276,0.12849150331623468,0.1512921114373537,0.9510789496300587,0.36868132337753007,0.15474676619308528,0.16379950022153808,0.16216748178751877,0.11416263761255462,0.15078704032033555,0.18097274179016773,0.3228708933236073,0.34484311520442673,0.11596798850152222,0.12676294655449352
node str e-plv theta_Fp1,0.2558819114867259,0.2541329543365408,0.1494521470813737,0.28606386882925294,0.27091766266517364,0.408572360790587,0.3414061431253414,0.9535713732519709,0.1905313399515987,0.20902839271158272,0.17441213090862903,0.16778708190225383,0.26641738588468683,0.42061609676248307,0.34484311520442673,0.32091612141102727,0.31911806718545405,0.23305853659664677
node str e-wpli alpha_AF8,0.20076382661825756,0.12364746897026363,0.1228310468967109,0.26360335895174347,0.35875277812647643,0.7121319193887657,0.11118242283111851,0.3710753397788192,0.26755017740586384,0.3158008025865239,0.32350831986432943,0.29944442614385147,0.37214391755569803,0.6532237047573718,0.11596798850152222,0.31911806718545405,0.26097000852204516,0.30174945089778565
node str e-wpli theta_CP3,0.210273260107453,0.16903891670794594,0.18142443095667934,0.26942931854924107,0.7851886152636988,0.40804633835244736,0.12409423502949657,0.3437156167562004,0.4967208875344875,0.4120014972669503,0.26169895556378714,0.2759189963621844,0.7075000262183442,0.34765485339962776,0.12676294655449352,0.23305853659664677,0.30174945089778565,0.3191066976272887
