,betw cen e-icoh alpha,betw cen e-icoh delta,node str s-lps alpha
betw cen e-icoh alpha_AFz,0.32349052350171054,0.13794909073194506,0.17593730962910512
betw cen e-icoh delta_P2,0.13794909073194506,0.26537228014709974,0.16318528988552103
node str s-lps alpha_LSuperiorParietalLobule,0.17593730962910512,0.16318528988552103,0.2926974472018478
