id,Cvlt_attention_span,ampl total power gamma_Fp1,mean ampl gamma_Fp1,std ampl gamma_Fp1
sub-010002,12,4.03458154783871,8.06913054146457,8.13042623796182
sub-010004,11,0.786195736142778,1.5723883849101,1.56123540739494
sub-010006,19,0.586254945745155,1.17250707315431,1.16035493367684
sub-010007,15,0.42848097054781,0.856959701295723,0.82879266251155
sub-010012,13,0.928723188573777,1.85744094595208,1.83571739344285
sub-010026,11,0.599434325068486,1.19886784785598,1.18037462524788
sub-010037,15,1.14550628878374,2.29100673366623,2.27878739675716
sub-010039,10,0.298207840506224,0.596414583990959,0.596504306766994
sub-010041,10,0.293148147812958,0.586294877607661,0.60439798157554
sub-010044,16,2.14037362345986,4.28073985042835,4.20276918320243
sub-010045,18,1.62796218855088,3.25591634767424,3.13278924435631
sub-010046,11,0.285540104410228,0.571078470179223,0.564577984857118
sub-010047,13,0.851611907394055,1.70321810856043,1.66467209639578
sub-010048,15,0.945855006620002,1.89170184975301,1.96653732480614
sub-010049,16,1.70246194760003,3.40491632655374,3.37702870152383
sub-010050,16,0.63416372682752,1.26832566581517,1.29783238939277
sub-010051,12,0.233256844228642,0.466512648272314,0.463697325807878
sub-010059,12,0.998111375138283,1.99621818694016,2.1447829882364
sub-010081,7,0.779228670761134,1.55845187553179,1.59484338037741
sub-010085,9,0.510703392645224,1.02140288078045,1.03499184602436
sub-010086,9,0.684228070134283,1.36845417744336,1.36679577100421
sub-010088,13,0.789854326836991,1.57970636831493,1.65789757196485
sub-010089,8,0.896173079659339,1.79234142385134,1.78305207654454
sub-010090,12,0.777134457156426,1.55426489049921,1.50951605812083
sub-010091,13,0.566169117124046,1.13233516548387,1.12283131208661
sub-010092,12,0.239199684812126,0.478398445139527,0.477409617151854
sub-010093,21,7.08943937074171,14.1788608378513,13.9588464393171
sub-010104,13,1.05951660912793,2.11902674760505,2.09590549622022
sub-010146,10,1.03593912526779,2.07187323913845,2.08917578354287
sub-010148,11,1.00499506359069,2.00998708033694,2.15561903273518
sub-010152,9,1.20939460554851,2.41877614589475,2.38160475206867
sub-010199,11,0.490954499596816,0.981907068991047,0.961293256438624
sub-010219,15,2.81527409759877,5.63053748765809,5.60038550706395
sub-010222,11,0.533742832348691,1.06748195117982,1.04870915833078
sub-010223,14,1.74713861621927,3.49426319934914,3.65653642800941
sub-010234,13,2.65587326984094,5.31173833163422,5.21195744117387
sub-010239,10,0.367460521377432,0.734919893636888,0.720615357936351
sub-010242,15,0.835615673354941,1.67122835053091,1.69024224862638
sub-010243,12,0.755169113666672,1.51033715999439,1.69285379850744
sub-010244,13,1.0099029855848,2.01979806801017,2.00310209627283
sub-010245,15,0.837695972810981,1.6753871068974,1.62585777950451
sub-010246,8,0.984490689236221,1.9689753956451,1.95250216092584
sub-010247,13,0.802685674329694,1.60536732016633,1.60352772964351
sub-010248,14,1.79020447482412,3.58040039500035,3.73034895022894
sub-010249,16,1.92460913231194,3.84920720029851,3.82266427709959
sub-010250,11,0.974066045267118,1.94812102964998,1.95803461995379
sub-010251,13,2.84532572376202,5.69064045359687,5.57412364974391
sub-010254,8,0.378814964999304,0.7576282747013,0.752711192940785
sub-010255,12,0.461231510462364,0.922460827560533,0.921916070583354
sub-010257,11,1.62932055197458,3.25863623197137,3.28770149538487
sub-010258,10,1.36131832012562,2.72263234421026,2.6725461813622
sub-010267,8,0.375521006553949,0.751038502453018,0.74539823630291
sub-010268,12,1.40128817648376,2.80257060941691,2.71684561607645
sub-010272,9,0.330257568293218,0.660513653781852,0.663965592239507
sub-010275,11,0.621860031358935,1.24371736178007,1.22566401872752
sub-010283,12,0.463007673762728,0.926007770658285,0.943857000348422
sub-010284,11,0.330781597318423,0.66156139896411,0.664328215297015
sub-010286,10,0.784341249997013,1.56867908202721,1.5680082005853
sub-010287,13,0.281775392900788,0.563549452033284,0.568390714172795
sub-010288,6,0.537478058491352,1.07495367925317,1.0690804491423
sub-010289,11,1.92070504879199,3.84139884376423,3.8455679079924
sub-010290,9,0.63622662673778,1.2724611929797,1.24612105042574
sub-010291,12,0.445110566647287,0.890219867347814,0.8594690303152
