id,Tap_alertness,betw cen e-wpli alpha_C2,waiting time delta_P8
sub-010002,205.0,116,1271.5
sub-010004,231.0,14,1463.7
sub-010006,253.5,0,1351.075
sub-010007,227.0,20,1279.6
sub-010012,230.0,212,1311.4
sub-010026,191.0,72,1383.6
sub-010037,228.5,2,1295.7
sub-010039,236.0,32,1143.8
sub-010041,264.5,18,1311.525
sub-010045,229.5,4,1103.88333333333
sub-010046,212.5,270,1375.4
sub-010047,307.5,0,1199.88333333333
sub-010048,233.0,82,1287.1
sub-010049,245.0,62,1351.05
sub-010050,248.0,0,1231.35
sub-010051,285.5,0,1159.9
sub-010059,215.5,30,1303.75
sub-010081,225.5,110,1623.75
sub-010085,216.0,16,1303.25
sub-010086,233.5,14,1271.3
sub-010088,270.0,32,1255.275
sub-010089,282.0,14,1215.625
sub-010090,457.5,0,1199.75
sub-010091,239.0,2,1287.2
sub-010092,351.0,6,1223.925
sub-010093,270.0,0,1887.3
sub-010104,246.0,14,1487.48333333333
sub-010146,312.0,0,1287.85
sub-010148,336.0,0,1143.7
sub-010152,249.0,34,1431.65
sub-010199,261.0,24,1143.45
sub-010219,356.0,0,1167.35
sub-010222,276.5,38,1303.4
sub-010223,321.0,184,1239.65
sub-010234,270.0,66,1279.75
sub-010239,258.5,0,1247.8875
sub-010242,379.5,0,1207.2
sub-010243,243.0,0,1463.95
sub-010244,298.5,16,1423.75
sub-010245,210.0,0,1455.1
sub-010246,286.5,0,1271.65
sub-010247,323.5,0,1247.65
sub-010248,306.5,14,1383.875
sub-010249,270.5,0,1431.0
sub-010250,277.5,0,1135.8
sub-010251,211.5,198,1439.9
sub-010254,274.0,262,1143.1
sub-010255,375.5,186,1135.15
sub-010257,307.5,0,1191.65
sub-010258,233.0,6,1327.5
sub-010267,314.0,2,1383.5
sub-010268,220.5,56,1311.5
sub-010272,264.0,0,1831.95
sub-010275,218.0,0,1351.55
sub-010283,313.5,0,1231.35
sub-010284,246.0,0,1223.0
sub-010286,226.5,80,1223.4
sub-010287,205.5,278,1399.625
sub-010288,250.5,0,1287.15
sub-010289,261.0,4,1119.225
sub-010290,268.5,32,1559.7
sub-010291,235.5,6,1367.925
