,betw cen e-icoh delta,betw cen e-plv alpha,betw cen e-wpli theta,dfa exponent delta,life time alpha,microstate B,microstate C
betw cen e-icoh delta_CP5,0.0,0.8376687106973134,0.4281721698019594,0.019029028533830702,0.11167376341865384,0.4808392175905103,0.4738596675549279
betw cen e-plv alpha_C5,0.8376687106973134,0.0,0.11931970928849109,0.06733667268569635,0.07503679056828304,0.001188070232176329,5.5816921316527466e-05
betw cen e-wpli theta_FT8,0.4281721698019594,0.11931970928849109,0.0,0.0005624077104971962,0.6682775850421075,0.2623176593792337,0.7959601688506075
dfa exponent delta_FT8,0.01902902853383074,0.06733667268569635,0.0005624077104971962,0.0,0.7239295589981768,0.3610608475544568,0.6379021307524232
life time alpha_FC4,0.11167376341865384,0.07503679056828304,0.6682775850421075,0.7239295589981768,0.0,0.011854838410010725,1.991042645682736e-12
microstate B_Group1_Map2_TimeCov,0.4808392175905103,0.0011880702321763262,0.2623176593792337,0.3610608475544568,0.011854838410010725,0.0,6.965491635159587e-09
microstate C_Group1_Map3_Gev,0.4738596675549278,5.5816921316527466e-05,0.7959601688506075,0.6379021307524232,1.991042645682736e-12,6.965491635159587e-09,0.0
