,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli delta,node str e-plv alpha,node str e-plv delta,node str e-plv theta
clust coef e-plv delta_F1,0.36020366234373263,0.39043217980360234,0.5472854341090757,0.19571952720273794,0.9513047131320649,0.381934249490284
clust coef e-plv theta_FT7,0.39043217980360234,0.29375313947477816,0.3111151193294808,0.6359314959964747,0.3260972307523704,0.9713143480772346
clust coef e-wpli delta_P7,0.5472854341090757,0.3111151193294808,0.2639344262852322,0.12090029658279086,0.4305884394356935,0.3114119304366091
node str e-plv alpha_FT7,0.19571952720273794,0.6359314959964747,0.12090029658279086,0.2889880817085773,0.15261342179826431,0.6348858076344382
node str e-plv delta_F1,0.9513047131320649,0.3260972307523704,0.4305884394356935,0.15261342179826431,0.3673227088770407,0.3275675873138366
node str e-plv theta_FT7,0.381934249490284,0.9713143480772346,0.3114119304366091,0.6348858076344382,0.3275675873138366,0.3072172245956627
