,mod index theta-beta,relative ampl alpha,source ampl alpha,source ampl gamma,spectral entropy alpha
mod index theta-beta_O2,0.39903558275389317,0.6158311336464637,0.34609552648737296,0.3169473034285395,0.5539390929904692
relative ampl alpha_TP8,0.6158311336464637,0.42659582671122637,0.4901075493142272,0.26019641506039465,0.900934671215626
source ampl alpha_LPrecentralGyrus,0.34609552648737296,0.4901075493142272,0.43584103306284633,0.3945906955180477,0.5073330917273722
source ampl gamma_RPrecuneus,0.3169473034285395,0.26019641506039465,0.3945906955180477,0.4247368407666169,0.2710148931160383
spectral entropy alpha_Cz,0.5539390929904692,0.900934671215626,0.5073330917273722,0.2710148931160383,0.4300308282739097
