,ampl total power alpha,ampl total power beta,ampl total power gamma,hjorth activity,katz fractal dim,kurtosis ampl delta,life time delta,mean ampl alpha,mean ampl beta,mean ampl gamma,relative ampl delta,skewness ampl delta,source ampl alpha,source ampl delta,source ampl theta,spectral entropy delta,std ampl alpha,std ampl beta,std ampl gamma
ampl total power alpha_FT8,0.0,1.8657307004446893e-23,9.424412450031936e-17,9.57125225026417e-60,4.9236740695294046e-39,3.060495744812762e-10,4.929450479284017e-06,0.0,1.8657307004446893e-23,9.424412450031936e-17,3.7189260306883086e-34,1.2148146471029559e-11,2.4593268929846717e-08,4.8557804363203966e-11,3.344885629722857e-07,1.9333504135036806e-37,2.849701483680959e-54,1.0658667438522895e-22,2.1545481008321723e-17
ampl total power beta_FT8,1.8657307004446893e-23,0.0,1.0264428329322502e-19,5.544888570336259e-39,2.85308328009276e-32,1.9099865196940574e-06,0.00018240323681164886,1.8657307004446893e-23,0.0,1.0264428329322502e-19,1.0792013174254397e-12,3.4979775807428966e-08,0.0025549199719238037,1.5228318308677489e-05,9.936780572058998e-05,1.5958730501331332e-10,2.258774937847213e-17,8.944428906709529e-147,4.2674737014235077e-20
ampl total power gamma_POz,9.424412450031936e-17,1.0264428329322502e-19,0.0,9.135358734995787e-22,6.70759596427085e-30,7.47297598023925e-08,7.205626262847525e-06,9.424412450031936e-17,1.0264428329322502e-19,0.0,2.977841327504881e-10,1.5863928216724285e-05,0.00012333547761862634,1.9914454346484147e-07,4.998245020896274e-07,1.7517859878469735e-09,1.9915038672615247e-20,4.143937908102943e-20,2.7946610205841747e-172
hjorth activity_FT8,9.57125225026417e-60,5.544888570336259e-39,9.135358734995787e-22,0.0,5.163418957618993e-45,8.684017263145272e-10,1.9898797724336127e-05,9.57125225026417e-60,5.544888570336259e-39,9.135358734995787e-22,1.9022694192715306e-21,2.2958573723796153e-10,1.2408008511070526e-05,1.4256900041932592e-08,2.2936850047258123e-05,2.871249320295425e-21,6.126376596257678e-38,2.9122028863074437e-37,2.500966667781791e-22
katz fractal dim_F6,4.9236740695294046e-39,2.85308328009276e-32,6.70759596427085e-30,5.163418957618993e-45,0.0,1.945778820943562e-11,6.250093802938272e-06,4.9236740695294046e-39,2.85308328009276e-32,6.70759596427085e-30,1.922365701999967e-25,5.159247138614533e-09,2.819649216843155e-05,3.830554809804771e-09,1.0993452806870448e-07,1.367766883727007e-25,1.9165813355203114e-37,2.6521096881648307e-32,2.3048500982443703e-30
kurtosis ampl delta_AF4,3.060495744812762e-10,1.9099865196940574e-06,7.47297598023925e-08,8.684017263145272e-10,1.945778820943562e-11,0.0,2.409293160362878e-05,3.060495744812762e-10,1.9099865196940574e-06,7.47297598023925e-08,1.6259278431971688e-08,1.3012657929418703e-07,0.00019018594933607294,7.682884004597135e-05,3.934166589770718e-06,1.4008386617390777e-09,9.151485117854317e-12,8.790024312053788e-07,5.332514171223652e-08
life time delta_P8,4.929450479284017e-06,0.00018240323681164886,7.205626262847525e-06,1.9898797724336127e-05,6.250093802938272e-06,2.409293160362878e-05,0.0,4.929450479284017e-06,0.00018240323681164886,7.205626262847525e-06,0.0006374668464088411,0.0006483014593842641,0.003246200341084009,2.9879221388586713e-05,4.923681033219834e-07,0.00017576062629211375,7.160505284446362e-07,0.00018700319455806444,7.754127561929284e-06
mean ampl alpha_FT8,0.0,1.8657307004446893e-23,9.424412450031936e-17,9.57125225026417e-60,4.9236740695294046e-39,3.060495744812762e-10,4.929450479284017e-06,0.0,1.8657307004446893e-23,9.424412450031936e-17,3.7189260306883086e-34,1.2148146471029559e-11,2.4593268929846717e-08,4.8557804363203966e-11,3.344885629722857e-07,1.9333504135036806e-37,2.849701483680959e-54,1.0658667438522895e-22,2.1545481008321723e-17
mean ampl beta_FT8,1.8657307004446893e-23,0.0,1.0264428329322502e-19,5.544888570336259e-39,2.85308328009276e-32,1.9099865196940574e-06,0.00018240323681164886,1.8657307004446893e-23,0.0,1.0264428329322502e-19,1.0792013174254397e-12,3.4979775807428966e-08,0.0025549199719238037,1.5228318308677489e-05,9.936780572058998e-05,1.5958730501331332e-10,2.258774937847213e-17,8.944428906709529e-147,4.2674737014235077e-20
mean ampl gamma_POz,9.424412450031936e-17,1.0264428329322502e-19,0.0,9.135358734995787e-22,6.70759596427085e-30,7.47297598023925e-08,7.205626262847525e-06,9.424412450031936e-17,1.0264428329322502e-19,0.0,2.977841327504881e-10,1.5863928216724285e-05,0.00012333547761862634,1.9914454346484147e-07,4.998245020896274e-07,1.7517859878469735e-09,1.9915038672615247e-20,4.143937908102943e-20,2.7946610205841747e-172
