,ampl total power beta,ampl total power gamma,betw cen s-lcoh alpha,betw cen s-lcoh delta,mean ampl beta,mean ampl gamma,std ampl beta,std ampl gamma
ampl total power beta_P2,0.26118841198799975,0.6703935486964284,-0.12464313106154351,0.010448536928955504,0.9999999999999998,0.6703935486964284,0.9952510222859478,0.6692976307624164
ampl total power gamma_C4,0.6703935486964284,0.3087327097084845,-0.08180617818079391,-0.07760090566895705,0.6703935486964284,0.9999999999999998,0.6714392370584649,0.9969359961094914
betw cen s-lcoh alpha_RPostcentralGyrus,-0.12464313106154352,-0.08180617818079391,-0.321290833751773,-0.04838231511102156,-0.12464313106154352,-0.08180617818079391,-0.13025290437728887,-0.0730862982826848
betw cen s-lcoh delta_RSuperiorFrontalGyrus,0.010448536928955504,-0.07760090566895704,-0.04838231511102156,-0.29498082918853813,0.010448536928955504,-0.07760090566895704,0.012389769959445471,-0.07855538366732147
mean ampl beta_P2,0.9999999999999998,0.6703935486964284,-0.12464313106154351,0.010448536928955504,0.26118841198799975,0.6703935486964284,0.9952510222859478,0.6692976307624164
mean ampl gamma_C4,0.6703935486964284,0.9999999999999998,-0.08180617818079391,-0.07760090566895705,0.6703935486964284,0.3087327097084845,0.6714392370584649,0.9969359961094914
std ampl beta_P2,0.9952510222859478,0.6714392370584649,-0.13025290437728887,0.012389769959445471,0.9952510222859478,0.6714392370584649,0.26082717135131606,0.6709323750139844
std ampl gamma_C4,0.6692976307624164,0.9969359961094914,-0.07308629828268481,-0.07855538366732147,0.6692976307624164,0.9969359961094914,0.6709323750139844,0.30806281409741926
