,approx entropy,betw cen e-icoh beta,correlation dimension,higuchi fractal dim,lyapunov exponent
approx entropy_Oz,0.0,0.09021093108663492,0.03868823627243831,6.187747298216866e-06,0.1273397401125132
betw cen e-icoh beta_CP3,0.09021093108663492,0.0,0.05692033192620201,0.06657120813182821,0.022510535140954035
correlation dimension_PO3,0.03868823627243831,0.05692033192620201,0.0,0.06547450308951376,0.12001755470699958
higuchi fractal dim_PO7,6.187747298216866e-06,0.06657120813182821,0.06547450308951376,0.0,3.4647893199233654e-05
lyapunov exponent_P5,0.1273397401125132,0.022510535140954035,0.12001755470699958,3.4647893199233654e-05,0.0
