,ampl total power gamma,mean ampl gamma,std ampl gamma
ampl total power gamma_Fp1,0.3991805062950678,1.0,0.9961597542242704
mean ampl gamma_Fp1,1.0,0.3991805062950678,0.9961597542242704
std ampl gamma_Fp1,0.9961597542242704,0.9961597542242704,0.40198703631084015
