,ampl total power gamma,mean ampl gamma,node str s-lps delta,std ampl gamma
ampl total power gamma_Fp1,0.4458907336247829,0.9999999999973485,0.1527753072440388,0.6328752579011643
mean ampl gamma_Fp1,0.9999999999973485,0.44589075205203166,0.15277518318629676,0.6328753342563224
node str s-lps delta_LParahippocampalGyrus,0.1527753072440388,0.15277518318629676,0.4306585966982839,0.26181825345091936
std ampl gamma_Fp2,0.6328752579011643,0.6328753342563224,0.26181825345091936,0.4458669231603347
