,clust coef e-plv theta,microstate A,microstate B,node str e-plv theta,skewness ampl gamma
clust coef e-plv theta_C4,-0.4420051491397276,-0.5291480949862759,-0.31228123190048096,0.9271738309284583,0.3896401500843595
microstate A_Group1_Map1_MeanDur,-0.5291480949862759,0.3189790358736882,0.5372566795094559,-0.43204653622422,-0.30946085467502704
microstate B_Group1_Map2_MeanDur,-0.31228123190048096,0.5372566795094559,0.3565535138170106,-0.23240411976530434,-0.29963989826496434
node str e-plv theta_C4,0.9271738309284583,-0.43204653622422,-0.23240411976530434,-0.4514240202908427,0.3502052328070308
skewness ampl gamma_P8,0.3896401500843595,-0.30946085467502704,-0.29963989826496434,0.3502052328070308,-0.41455658897548614
