,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
hjorth activity,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
hjorth complexity,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
hjorth mobility,NS,NS,CP5,NS,NS,NS,NS,NS,NS,NS,NS,NS
katz fractal dim,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
kurtosis ampl theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
life time alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
life time beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,P5
life time delta,NS,NS,NS,C5,NS,NS,P8,NS,NS,NS,NS,NS
life time gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
life time theta,NS,NS,PO7,NS,NS,NS,NS,NS,NS,NS,NS,NS
lyapunov exponent,NS,NS,NS,NS,NS,NS,NS,P5,NS,NS,NS,NS
lzc exhaustive,NS,NS,TP8,NS,NS,NS,NS,NS,NS,NS,NS,NS
lzc primitive,NS,NS,TP8,NS,NS,NS,NS,NS,NS,NS,NS,NS
mean ampl alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mean ampl beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mean ampl delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mean ampl gamma,Fp1,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mean ampl theta,NS,NS,P8,NS,NS,NS,NS,NS,NS,NS,NS,NS
microstate A,NS,NS,NS,NS,Group1_Map1_MeanDur,NS,NS,NS,NS,NS,NS,NS
microstate B,NS,NS,NS,Group1_Map2_Gev,Group1_Map2_MeanDur,NS,NS,NS,NS,NS,NS,NS
microstate C,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
microstate D,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
microstate E,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index alpha-beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index alpha-gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index beta-gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index delta-alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index delta-beta,NS,NS,NS,NS,NS,NS,NS,NS,CP5,NS,NS,NS
mod index delta-gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index delta-theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index theta-alpha,NS,NS,C5,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index theta-beta,NS,NS,FC5,NS,NS,NS,NS,NS,NS,NS,NS,NS
mod index theta-gamma,NS,NS,CP6,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-icoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-icoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-icoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-icoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-icoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-plv alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-plv beta,NS,NS,FT8,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-plv delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-plv gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-plv theta,NS,NS,NS,NS,C4,NS,NS,NS,NS,NS,NS,NS
node str e-wpli alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-wpli beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-wpli delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-wpli gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str e-wpli theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lcoh alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lcoh beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lcoh delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lcoh gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lcoh theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lps alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lps beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lps delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lps gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
node str s-lps theta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
permutation entropy,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range asymmetry alpha,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range asymmetry beta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range asymmetry delta,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
range asymmetry gamma,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
