id,Tap_simon_incongruent,clust coef e-plv delta_F1,clust coef e-plv theta_FT7,clust coef e-wpli delta_P7,node str e-plv alpha_FT7,node str e-plv delta_F1,node str e-plv theta_FT7
sub-010003,460.0,0.1978421043679,0.21743900110534,0.026609763059966,13.5091768013671,14.3593554175878,14.1916426562438
sub-010005,494.0,0.207022285510296,0.214415385391608,0.0195158207256973,14.790199742805,15.1075604652422,13.5768920297394
sub-010010,370.3448276,0.186421732540571,0.159687446044776,0.0331894446985613,10.304995505392,12.701899691497,10.6936780316763
sub-010016,401.3793103,0.196336814595057,0.164634301392115,0.0252051129617083,10.7271341982612,13.4766964501423,11.1025240595069
sub-010017,410.3571429,0.200699262490352,0.169335257330499,0.0154268828299529,11.1722758929337,14.611236593066,11.5900814657016
sub-010019,410.6896552,0.187569833971892,0.221690956529114,0.0163432987966027,15.2106354405644,13.5975915390878,15.4141400179452
sub-010020,611.7857143,0.184527740885143,0.183253418091279,0.0306463300303059,14.2114452253188,12.3719368611581,12.3823984065911
sub-010021,423.2142857,0.199117920717337,0.199692888145031,0.0137555428805527,16.7785717405886,14.3229932716484,13.5919530328495
sub-010022,460.9090909,0.170529561830996,0.18450553007126,0.0155015868913659,11.8704872033654,11.8732051406992,12.7489131852927
sub-010023,418.9655172,0.198006275238885,0.166454455127148,0.009865031156598,10.751603162183,14.6156132274492,10.9926541423542
sub-010024,454.8,0.184741121995377,0.173001633947934,0.0215523328731718,13.8975477257291,13.0356678427038,11.3759680265677
sub-010027,369.3103448,0.19801188512722,0.206681371420941,0.0201567987219939,17.9290816921046,13.7586118116773,14.0819488882098
sub-010028,435.0,0.261354817388792,0.21524524874728,0.0676330503724246,14.7113757847427,17.8911752280686,15.4507053035771
sub-010029,497.0,0.167654649642985,0.206852107505927,0.0277571916854655,19.9785614654595,11.5858731274049,13.9011346286124
sub-010030,544.137931,0.185742926265661,0.187025747897093,0.0218180621375132,19.8466345099603,13.2628018260838,12.5463189515721
sub-010031,518.0769231,0.233127716208892,0.222207908529051,0.0199389591014401,13.0891255407413,16.5620613047108,16.0826951431878
sub-010032,555.5172414,0.236035459897112,0.179040758596298,0.0370824651269303,12.0341664515551,16.0046217480502,12.555381815054
sub-010033,446.8965517,0.198596938222627,0.178234007156535,0.021970418006975,16.3273263143895,14.2803684159938,12.5749641773573
sub-010034,441.7241379,0.233422835612494,0.195791122657507,0.0216677809569284,13.4022002063059,16.5490131496654,13.7295383177968
sub-010035,433.0,0.18466298649832,0.162459393863336,0.0288043804791271,15.0824885526419,13.1940793172429,10.842621150686
sub-010036,471.7241379,0.213689540657047,0.187074909234306,0.0151963931061244,11.7755427199174,14.7545640851283,12.6710200235808
sub-010038,505.862069,0.186961721954933,0.18973127699121,0.012184041059119,16.1209778972364,12.669852791311,12.073860387671
sub-010040,446.0,0.187207917991023,0.21198610346425,0.0190741408430149,15.1471044304106,13.5544560949344,14.9262275792466
sub-010042,504.8275862,0.224685000524325,0.166667615231098,0.0279616168086429,10.823262492338,16.1845749167409,10.7401396877643
sub-010052,473.5714286,0.185067412873212,0.163850225108156,0.0215386951873101,11.2310263407597,13.4341161431036,11.6482570301742
sub-010053,427.5,0.173741266848243,0.157691428287669,0.0109583804740676,9.99515152973298,12.2290220003463,10.6021256696769
sub-010056,412.0,0.208102967028015,0.195034775453901,0.040020001802339,11.7557625137357,14.3385665122687,13.527132730953
