,Cvlt_attention_span,Cvlt_delayed_memory,Pts-2_subtest_3,Rwt_animal_categories,Rwt_s_words,Tap_alertness,Tap_simon_congruent,Tap_simon_incongruent,Tap_working_memory,Tmt-A,Tmt-B,Vocabulary_test
ampl total power alpha,0.2319249824528972,0.18128478041204943,0.13023940205666037,0.19853807660282358,0.18955341880557,0.17710111585985913,0.24593018440343634,0.2576208192526557,0.1503895227682548,0.1500946102661604,0.2044885907991879,0.1796143518616733
ampl total power beta,0.3099832717864723,0.20336009525647752,0.16507143998680446,0.2173030609606241,0.3058030128687733,0.21191735576532472,0.14660492282980794,0.16342731875523747,0.23200888372063688,0.2031651004541267,0.2452512243972233,0.18326547943868557
ampl total power delta,0.22838478789256808,0.1933303790973185,0.14564266045820032,0.17022088333099103,0.1731528115079424,0.18359615562705228,0.18882579362649352,0.23159200881987707,0.19091992230988994,0.18550080662051996,0.23446273561478873,0.2261295041952247
ampl total power gamma,0.2869407718233026,0.2352358382423216,0.18811829805415148,0.18420798225072083,0.32389591655509964,0.28246398499071845,0.18770809590710238,0.15362239973313035,0.27604728457997557,0.2074668574688326,0.24468393022406706,0.2025709603672685
ampl total power theta,0.21216594795156954,0.15843177109985418,0.1340889890173149,0.1454666918896482,0.14792121910124523,0.1569396602436874,0.2677573811711152,0.3087466653731664,0.16126568763661986,0.16067745630496447,0.17263185077995943,0.1877691673650788
approx entropy,0.24468658197899693,0.20546760172538964,0.23200471883547458,0.2768313955095816,0.27034850146269074,0.2531553889445481,0.216819667563865,0.20151334251992326,0.25566754835030475,0.20788371712358222,0.2193240827081804,0.17986975713567108
betw cen e-icoh alpha,0.2510521978960141,0.28936194439686974,0.21358826144618226,0.2667602218929629,0.2310685846492037,0.32349052350171054,0.3371202445217436,0.34966239786413783,0.2358535365571092,0.22225993518504686,0.22362085149247374,0.24040618927426424
betw cen e-icoh beta,0.24836400874512435,0.19341298175799437,0.2484762674784729,0.21787884304528965,0.20484215069540562,0.2692920643003448,0.33372902943925903,0.3165928866537792,0.24125620995977778,0.2369080022361309,0.2629181630007434,0.25210025639260875
betw cen e-icoh delta,0.22682408694431136,0.20766413572851236,0.20727553222642567,0.25440790984184186,0.2675667973974834,0.26537228014709974,0.438274842914708,0.4366402562670182,0.3165240371000667,0.22836740532930253,0.2300772118252448,0.25121663455401755
betw cen e-icoh gamma,0.1956012426813508,0.18785961494724138,0.25543316976514696,0.274004479152511,0.22627095115230564,0.22225712676434808,0.21568526619375805,0.2055455357039646,0.22303578271545954,0.22374780898120636,0.2547629316547078,0.21846680664946913
betw cen e-icoh theta,0.229336886164752,0.26421375750246867,0.2383901641590318,0.24582412617560176,0.254347850197714,0.22521717663846538,0.32670602331694115,0.3197940965917068,0.2202109723218872,0.26842629104822,0.24849484177619344,0.2338950883035608
betw cen e-plv alpha,0.262651436122851,0.2241530928037256,0.22927041849812613,0.29330126035320764,0.21046278059837514,0.24397715699135894,0.5898357683552407,0.6158676933411319,0.2338558030044248,0.28114102828827187,0.2606882553346579,0.26075823764403855
betw cen e-plv beta,0.2630247858245434,0.3137838043428225,0.2460818542095503,0.28097102055420237,0.19037095813019383,0.26475107593802644,0.2963894528884305,0.28104550085731805,0.21548798520830215,0.2534394800430775,0.2818457217014599,0.26703223273569804
betw cen e-plv delta,0.23636512289772027,0.2952539246253442,0.2431704909822263,0.1989887593963274,0.25046316791549833,0.2500895888240672,0.4150388045565479,0.4121495178439028,0.2651174744775262,0.2849875542206558,0.26356701092852575,0.25934651812085047
betw cen e-plv gamma,0.23983291121369774,0.240760739719585,0.3370923280057565,0.2123870288733132,0.3015130750062998,0.23543396769653455,0.284822124074899,0.3545641189157894,0.2098021378148494,0.23472058972147905,0.2335765045798717,0.2296648074929129
betw cen e-plv theta,0.24185486053196767,0.2816400049982128,0.2681777005176414,0.2763997472336918,0.23219903243705792,0.22223172381477443,0.396362878230911,0.41482375883604994,0.252457436682189,0.2260642620464422,0.248413446024057,0.2727819534549821
betw cen e-wpli alpha,0.21523298606198393,0.2223047968285228,0.19733667232572832,0.24138243990023414,0.23388682241529288,0.24184254589873092,0.40351361561957755,0.42000311073439345,0.26674890752038066,0.22684324557009605,0.21213473630465587,0.22032344905032283
betw cen e-wpli beta,0.217564785114537,0.24232780312786076,0.2673679042680459,0.2297894070126495,0.21692835769248914,0.2730077686446291,0.31060417398178813,0.30894020880328066,0.26188344078054493,0.22796636634156545,0.24073324231099338,0.21959906645323568
betw cen e-wpli delta,0.27916407718742714,0.20153963610692105,0.22892280781375843,0.24801031675301327,0.22080037014960766,0.24504911302982316,0.28745797631702036,0.2987304304229419,0.2642924783606176,0.25169540983516225,0.2815086428617175,0.2141250119900046
betw cen e-wpli gamma,0.2733023298998272,0.21971608831338646,0.23897526677630843,0.21678857541627639,0.21013956695623856,0.23562460431417692,0.365811150590162,0.3714659796897856,0.24102416696078846,0.3630246308808476,0.20454616378256557,0.2710620482219753
betw cen e-wpli theta,0.245689565469967,0.23969407496231723,0.24937275570682096,0.2998915717659974,0.26689519061968375,0.24821503795180505,0.3009928526770446,0.2897775612291097,0.224770797778916,0.20760598925355278,0.2590068498385797,0.27762323138953354
betw cen s-lcoh alpha,0.23908699858240312,0.22762665029512996,0.2739662379188352,0.21127536595212304,0.21720011461500333,0.2925273839459035,0.48692304536667624,0.5068625267279827,0.2758871881753431,0.25029132061557374,0.3506828005379663,0.23468426639430426
betw cen s-lcoh beta,0.23440189534236755,0.2433242163836758,0.2682113374486151,0.2221260871580979,0.2138116627719564,0.22555198141064742,0.2377464022779486,0.22762479438417704,0.24269741273709672,0.2800458472145557,0.26758458904823623,0.2551651109784172
betw cen s-lcoh delta,0.26816391009522395,0.26573923859514764,0.22501258898440218,0.2435931940703175,0.21256683686368555,0.2814749729612224,0.3913459951339903,0.3961349152683534,0.25737128355809213,0.19672121620121155,0.2560384355243981,0.3188990581499622
betw cen s-lcoh gamma,0.2348767366548087,0.2027898122586484,0.27079838569275794,0.2335957379618073,0.2638120290775632,0.2712045584583794,0.28793238705652713,0.3291574760125926,0.2613296865622594,0.2276114899812599,0.27226089294720374,0.1992506888249091
betw cen s-lcoh theta,0.26213847743307045,0.24439803929709986,0.21794466016393207,0.20802258783061278,0.2472952287536135,0.24981394266636467,0.3592697961507728,0.3593846357025697,0.21486746453449115,0.23689208603545112,0.2748108871249278,0.2292720028212294
betw cen s-lps alpha,0.1977119360683487,0.2093658552955657,0.220608701316928,0.2694869904879452,0.260310777543989,0.22747535194286383,0.39724171739228203,0.3899678219481599,0.2651566874071368,0.2495120716906594,0.2531157970307946,0.2254364477944473
betw cen s-lps beta,0.19787903305865076,0.26316256724633225,0.2551156212434165,0.2595235516159233,0.2255540851214186,0.2183470494691246,0.2857395986367651,0.3263926045440694,0.2357160764435173,0.24254498338252686,0.26490949763523153,0.2217022777580691
betw cen s-lps delta,0.2630007964613709,0.31737101431086895,0.25049797360698106,0.2011819470020315,0.249397148788474,0.2221673455472478,0.30179175593944635,0.31444514803926576,0.2660164274587882,0.2559910132528044,0.24406243692856117,0.29475278928831816
betw cen s-lps gamma,0.2285271537984688,0.22104172347104792,0.2731979269709859,0.21928793602971022,0.22779771359038112,0.24004819430939042,0.3514685872982665,0.34637860964779765,0.282772937940379,0.21154592018525448,0.2767659573850482,0.26055705738639173
betw cen s-lps theta,0.27741377750247,0.26215453401800587,0.21296885072251706,0.25569510136233814,0.29578484625199275,0.2428805837110429,0.3747045649590448,0.36957982196779027,0.24570932593609374,0.2017223093266867,0.2548734384457608,0.2578750557947043
clust coef e-icoh alpha,0.21945177550814451,0.1713422370056306,0.2007520903931836,0.26979165932680244,0.1698280900215964,0.25516822931640226,0.24032370640312212,0.21149158545206545,0.23796617699353756,0.2506770304379199,0.2673464347169512,0.19683374728415062
clust coef e-icoh beta,0.19502020433523196,0.17316783598420302,0.1815540755301916,0.17213040510859617,0.22481034084669022,0.17459519156861053,0.17105906885354438,0.16347145304206828,0.22788200157508048,0.24216646265898958,0.23134430071075823,0.17732315485604463
clust coef e-icoh delta,0.1823652807819468,0.19926229653297445,0.18939409998601645,0.1788293981294857,0.18658302791633222,0.19188683904192005,0.2591197633656777,0.2646690284383508,0.20103131398393365,0.2564128645634184,0.190062568168514,0.24455853458051122
clust coef e-icoh gamma,0.20261291275818988,0.1914922683689732,0.17330065237336922,0.2479133014737712,0.23636950543428467,0.2388944514206178,0.19492048252908248,0.17667456626495256,0.21124884264506885,0.22945732534852042,0.1792839764390587,0.18238172797386804
clust coef e-icoh theta,0.18777758012199355,0.16233870698075378,0.20708586032913046,0.1799725412617336,0.16637081871626577,0.16973651878833299,0.2961969644728841,0.2971287945400036,0.18636216476920028,0.2318495487251518,0.3198026961743014,0.20467797656456305
clust coef e-plv alpha,0.22458976446434137,0.16237857502525088,0.18977562116126503,0.25665934758777487,0.13327927458223346,0.1959520983713074,0.36301439070081387,0.32185697148419207,0.23855875834656456,0.2610726717384178,0.25034389993539496,0.18690737728761023
clust coef e-plv beta,0.21551169835027623,0.19401721838812458,0.19524089582577353,0.2130434301072724,0.17967653150078555,0.19433780407223195,0.2822695644322543,0.29218049235106924,0.23330336958158956,0.18953058085118574,0.31378224801170085,0.21356791825247537
clust coef e-plv delta,0.20065118045128238,0.18889095490723645,0.20865623768615096,0.19804419529543296,0.22000847863534073,0.2632547148574919,0.3140606832812564,0.34288558961899374,0.3116163632410702,0.26804512760671567,0.30617613789527726,0.26698776626047005
clust coef e-plv gamma,0.23995320066825876,0.1820621741149756,0.2159386574227786,0.18336488619153793,0.21987845539966494,0.18965853712903533,0.22286561592548507,0.27164628043337596,0.2522044828616089,0.1768069461751889,0.23766575454366012,0.19157178163234972
clust coef e-plv theta,0.25937974390585883,0.20705670557443834,0.23224727579674984,0.19181196941822085,0.23123464913659736,0.19657697898897136,0.3326441668442379,0.3419156178062348,0.25019619948375205,0.28665354174012636,0.35532133679912253,0.18890748715934166
clust coef e-wpli alpha,0.20045323582502245,0.14224613021746674,0.2044074174944205,0.27696601825414363,0.16618669240516037,0.24444928070705357,0.25398961989930186,0.23305589673471105,0.2483521489123212,0.2761600699346452,0.27293977028255495,0.19322895328964507
clust coef e-wpli beta,0.1908709598576291,0.1653303980705795,0.2008958864979291,0.16549490178999976,0.19230270512184292,0.18727496542032315,0.16748117086922476,0.1618154395306115,0.23711463430023058,0.23230033932250752,0.23733371144192197,0.19195576906738857
clust coef e-wpli delta,0.16612471642966214,0.21866801857260038,0.18607029129295447,0.1668837074594325,0.18396288993230608,0.18782229186944194,0.25824663855070157,0.2806690047167613,0.21703662552865322,0.26905586703095613,0.20121726724095546,0.22463286401450264
clust coef e-wpli gamma,0.20543017378129466,0.18508768216507163,0.19491007182090128,0.25474313447296765,0.24014611389226637,0.21469406646653366,0.20056083274839284,0.17372445497803968,0.2165180597181143,0.2142129067024271,0.19895184832719146,0.19157727417143872
clust coef e-wpli theta,0.17494126564106147,0.1623011247258853,0.20299129398438936,0.1997192900877856,0.15660858818741827,0.17746628673276985,0.30263716976905963,0.29747877245484233,0.16991382888655965,0.20582892768571262,0.3252045738476432,0.19794908151021248
clust coef s-lcoh alpha,0.21081478384382357,0.18452155518779462,0.17216230876762031,0.2516349733645439,0.16938358548005117,0.2464615846617877,0.2382304793239589,0.21077059505579662,0.23433158578461982,0.29159150571071357,0.19398457168500682,0.18086292763899173
clust coef s-lcoh beta,0.2010329684551306,0.16944386353618354,0.1957965044109415,0.16642340308221718,0.21381702816149634,0.24874588554480048,0.17777714413547868,0.15472763940083217,0.22637999406241982,0.2741107844018309,0.2710711831934837,0.15466775401916405
clust coef s-lcoh delta,0.1436349662557718,0.1809282395804583,0.16567892459041025,0.15494208455843284,0.20128529394421665,0.1626781882428801,0.24777872202887263,0.23094951554121435,0.20337605926391694,0.21545993321166934,0.14304302898364693,0.15887287941756026
clust coef s-lcoh gamma,0.17960194395108633,0.15506652050421163,0.22988490660081157,0.21157740146788448,0.27176517122090704,0.2156669802303239,0.1913592722504075,0.1920372341211452,0.21708980319192853,0.2277384597450407,0.20627309118362722,0.16199762574412316
clust coef s-lcoh theta,0.19622186771568445,0.19251832391191268,0.19083580530849442,0.15442490315604274,0.16045720019842283,0.15993179446593642,0.2877736387634849,0.2866268273187895,0.1886270204294635,0.17231696495361315,0.27667655221263404,0.21313056942207642
clust coef s-lps alpha,0.19385983024218345,0.14265511879589768,0.14666400863002715,0.21576614536640787,0.19123812435581747,0.2815738910056792,0.17826096276191444,0.1621860536262217,0.1658602729349046,0.235266182046084,0.19765444922146672,0.15053331046694993
clust coef s-lps beta,0.20794949907547486,0.17128839382121125,0.19145111069380835,0.17916043434076928,0.24474945036433995,0.19531167505968644,0.1469109898854138,0.17833938389640375,0.21424328504484286,0.22990617724746631,0.21009157974160686,0.16511947322672357
clust coef s-lps delta,0.14689611927598167,0.17614940262439371,0.17028095853557107,0.150425316861018,0.1843392518682565,0.14776678477110602,0.24938044658499262,0.23078346395709232,0.17927550389724467,0.2132862522299916,0.14472009275394174,0.16992384227000992
clust coef s-lps gamma,0.1645507930506525,0.16326100315760603,0.19306534490600558,0.20240103352573444,0.24053819674018942,0.21289456648773705,0.1732430272886051,0.19412978715892504,0.22447641011228134,0.18173036467585224,0.20738138379947857,0.1652445146663503
clust coef s-lps theta,0.17939606416305226,0.1932595463562439,0.1767127701830525,0.1571979666852098,0.16445235873896,0.16530883902338955,0.25555763884371435,0.2543146750386565,0.19840158229447505,0.21062469618977533,0.26572903623932165,0.19220540047090418
correlation dimension,0.22919837424783496,0.24745779971632012,0.19730289420839373,0.27861208298249535,0.19796068447528162,0.21196294416373776,0.21736975684269158,0.23978492367707735,0.23869594908879205,0.20849259144736051,0.19317242076980953,0.2629218890377121
dfa exponent alpha,0.22867910814324258,0.20924396004731136,0.1924395383830489,0.19001034673666425,0.2473592839583741,0.14550019267194786,0.22466498741633117,0.18175845014628247,0.25833318604913214,0.1812311749148941,0.20836810617511217,0.19715127608329014
dfa exponent beta,0.23524013671913732,0.18883708097418836,0.16289454289715619,0.21621340091607658,0.19564020342488203,0.17309924553453537,0.19698008414993243,0.1688038979676506,0.25169677902194315,0.22893672008035051,0.20108647569368984,0.181982969075495
dfa exponent delta,0.20650000115844375,0.24060506457913214,0.19715754666936935,0.31053985127688777,0.21020272433638795,0.1833722178095048,0.22496963952897797,0.22088745936197055,0.20937032758035454,0.20541414107124192,0.20269065133900735,0.29984186639222915
dfa exponent gamma,0.19079821309048353,0.1950285108957193,0.20283032860596423,0.2561393071995107,0.2095797842430431,0.21604775725630807,0.2311919133399882,0.20980299522363308,0.2525471870674323,0.21861271766775506,0.1800027654397404,0.18787283492676357
dfa exponent theta,0.16982979963495518,0.1899457975837552,0.1668857050749672,0.18265977403019468,0.1765717251285723,0.1795446627622656,0.2640374391214467,0.2136866964294575,0.19649727698876587,0.17322031686760042,0.19934137839657246,0.21271995853638956
higuchi fractal dim,0.2606613102609572,0.19287778549114032,0.21104945507421782,0.17934969920479152,0.21316450459429595,0.20459241483531304,0.17022323653331287,0.18127741934750552,0.2052782794818689,0.17250843766475563,0.19033779181588734,0.19149766412871153
hjorth activity,0.26496977333654126,0.1837022774736289,0.13487450944003404,0.1977715491166624,0.19318532220964998,0.17653470348478284,0.22742362495981724,0.2504806183450251,0.1864709290086779,0.14891593040648465,0.20577916292357243,0.19003544497050837
hjorth complexity,0.2570421006554063,0.1967046980729503,0.23964982723177802,0.2096195705923282,0.20629710492143485,0.236432010443581,0.1730730501546857,0.1629303078568984,0.19727771503119107,0.19537946715720933,0.200719767712592,0.18555511647368308
hjorth mobility,0.18123115546401933,0.19200139228265822,0.17036317512542862,0.2714646608547559,0.24273678816902053,0.20423131922261858,0.21390810349566922,0.21652312122521575,0.21261021523525764,0.17861659208681085,0.18195047629759348,0.20755789576522563
katz fractal dim,0.3142942574008903,0.19092656154606932,0.1697960126306665,0.19778131582835323,0.2492493465547549,0.2177120004851136,0.18346846543085749,0.20096098201468102,0.21952678469226267,0.16477176200732027,0.21962251149295295,0.18093962536295455
kurtosis ampl alpha,0.17953768602491965,0.17326375414816858,0.17365780486580393,0.21939167382414732,0.2314976270556817,0.2067457860711154,0.2668896831563489,0.24482391674943318,0.2254235235508794,0.2604933458254945,0.20105895605208224,0.1833984421696641
kurtosis ampl beta,0.2091042096813789,0.19040560045064187,0.17496931238889626,0.20427956558041907,0.2147175279042566,0.24902680673004354,0.2126819365781365,0.20389450530507797,0.3293322266956151,0.3076647484081032,0.19211883913165276,0.22559662528754018
kurtosis ampl delta,0.27478220668657466,0.24089587155815184,0.2281902034577079,0.18872396363755095,0.20821627767918335,0.2654881929340026,0.2710496508390224,0.2922932656071771,0.29890015185112767,0.19507755357350498,0.1844462187385882,0.217898646638321
kurtosis ampl gamma,0.2231588256739204,0.20910828139493148,0.22069342878578546,0.3295386737453709,0.2614027003517108,0.21021407655343927,0.1875919287142247,0.17294264540094842,0.2591559874362178,0.29468227303591815,0.23240811484183893,0.26069704044616626
kurtosis ampl theta,0.20176071695459397,0.2402809626620649,0.2828801212653294,0.1976334983250555,0.24844737457672,0.2320816088231791,0.20981127781078437,0.18375095004131115,0.21393790809953883,0.21823597538674488,0.20069775820211253,0.28225631107371973
life time alpha,0.2432104038979475,0.19855725177165898,0.20329638593749608,0.2785443556988031,0.20709209400448814,0.1533091070229646,0.22869544860269175,0.15478424912738184,0.19771190135788588,0.24161935327154926,0.20548581338237326,0.2107411853062908
life time beta,0.1828652864612653,0.18317983208986666,0.19728339642002968,0.19830895897082051,0.25535900082000446,0.21678089303112247,0.26633600894323745,0.22085329940024312,0.2613244898021999,0.31738260848844274,0.23571358797916797,0.20123639664096865
life time delta,0.28598999832761934,0.26096943078047025,0.21046293485997336,0.22821813150694353,0.2087300499288172,0.21131136032584275,0.24948537832377954,0.2845611071765283,0.21229510243373495,0.20403952189531935,0.23498501256531962,0.2747218550271448
life time gamma,0.20512209999504907,0.17015882338659555,0.19070464014260707,0.2081269593025002,0.17068927807590334,0.20259209574469844,0.26356295960219694,0.22162223605361814,0.2884763321490696,0.3067285064974571,0.23702184409708385,0.24514900770210837
life time theta,0.1803496748464014,0.18449904002858847,0.2212055392936198,0.27932717720667366,0.17134470506842908,0.20044203569687247,0.28529646666671854,0.3097003685311179,0.2729271307474114,0.26284801481577463,0.19974766924089946,0.26395648525218685
lyapunov exponent,0.21305773781082155,0.17532768057233172,0.1704763297078369,0.21434452783603397,0.19118561379576618,0.19300966632877967,0.17216970082199365,0.1698526316059222,0.2664567964303204,0.2648793477082281,0.22625116563904596,0.20378936450743074
lzc exhaustive,0.1989898740435288,0.15652161468177456,0.16948910420707392,0.26030418723572163,0.20349632998164405,0.18415707365018189,0.24497300959732773,0.2382777234310608,0.16722715108203623,0.1800058888270588,0.16134376933620592,0.1972175338848614
lzc primitive,0.19981620696775979,0.15812607308463927,0.16687685833128793,0.2684566667805437,0.19478616088310025,0.18497903720412226,0.23903785613943132,0.22806372532964206,0.16862022316369993,0.1795594172570651,0.15720112738533495,0.19459701517455527
