id,Rwt_s_words,ampl total power beta_P2,ampl total power gamma_C4,betw cen s-lcoh alpha_RPostcentralGyrus,betw cen s-lcoh delta_RSuperiorFrontalGyrus,mean ampl beta_P2,mean ampl gamma_C4,std ampl beta_P2,std ampl gamma_C4
sub-010165,25.0,7.34453260139294,0.700081232902035,240,2,14.689020355982,1.40015963637995,17.2326850110338,1.4835176009367
sub-010166,24.0,2.0893244904161,0.454144669131162,40,126,4.17863468040806,0.908285924987247,4.67690716643935,0.914066875555025
sub-010168,27.0,3.12895407489951,0.417981703614688,0,1746,6.25787391689724,0.835961698585148,6.65636967309554,0.835248150045245
sub-010170,9.0,3.79293013667025,0.487075672586157,28,1004,7.58583110115399,0.974149055990319,8.30896118752303,0.962992837178842
sub-010176,28.0,10.0370689899256,0.601165057250746,0,510,20.0740184599285,1.20232734116077,23.0642772491322,1.25581610018195
sub-010183,31.0,5.21856943056194,0.353042225234376,0,20,10.4370829828149,0.706082537542221,11.0922423202815,0.705155501385463
sub-010191,17.0,3.76158932271572,0.292298795479501,38,62,7.52312796321744,0.584597820791968,7.59061750229869,0.615383876932092
sub-010192,23.0,6.2333596483558,0.416151863635718,2046,0,12.4666596820007,0.832300746626381,14.9989517303108,0.847955251936457
sub-010194,22.0,1.86549056937209,0.248029324605798,0,66,3.73095711290396,0.496057488118303,3.88392006908926,0.493481711113185
sub-010195,24.0,1.25195385184577,0.292121107406511,0,1068,2.50388585576242,0.584241716823743,2.61958629673936,0.587948370960222
sub-010196,19.0,1.61321210086136,0.185587749204125,0,510,3.22632749959106,0.371174285545078,3.88442892384295,0.374885221462
sub-010197,26.0,1.51358063798893,0.288885014626164,0,1142,3.0271520553596,0.577768896383514,3.04069894059383,0.575748122388119
sub-010200,22.0,6.07739449014654,0.333696191390892,0,64,12.1547004808516,0.667389475659776,12.5118854554767,0.661229784841723
sub-010201,26.0,1.10237484191352,0.192890489910657,0,330,2.20474345170611,0.385779931695982,2.3320403580337,0.386959240373534
sub-010202,30.0,0.797168867916595,0.206587629347309,0,392,1.5943311415483,0.413174533951314,1.59989467558339,0.388682949812236
sub-010204,19.0,2.48155053228584,0.411346829080116,2,2316,4.96307015100957,0.822691237976653,5.76776349709476,0.920540860954131
sub-010207,25.0,2.52276225466018,0.331120218874883,112,0,5.04551536455396,0.662237243920547,5.36661275846384,0.691827458300138
sub-010210,27.0,1.17840001518457,0.103743348955932,2506,730,2.35680544700011,0.207486446713406,2.54936061090402,0.211909189879661
sub-010213,28.0,1.68889791391559,0.974016691113249,0,760,3.37776162981225,1.94803105888275,3.65294555873228,1.88114591416428
sub-010214,31.0,3.19477598399015,0.238379996020617,0,3076,6.38953153518691,0.476759164273217,7.13411862761208,0.471543675229279
sub-010215,30.0,9.74219477665469,0.744286395200597,0,832,19.4843534237907,1.48856997209559,20.4423604311733,1.50536754919952
sub-010218,27.0,9.52244359575722,0.367447392833557,0,540,19.0448389993979,0.73489363862767,14.9862109771198,0.693357229969405
sub-010220,30.0,10.0903496178978,0.695144678490285,0,0,20.1805265570826,1.39028680628852,22.1393764292121,1.43417954147946
sub-010224,33.0,1.33287650096365,0.282420930430973,6,0,2.66573701860999,0.564841087766371,2.98873536668093,0.567335036203546
sub-010226,19.0,2.58040758537793,0.306551000897166,6,0,5.16079520701203,0.613101105514436,5.96035057428702,0.630908105720397
sub-010227,26.0,4.47562962850408,0.191214579922421,38,178,8.95119924391255,0.382428009094155,10.0028895654372,0.37427033359503
sub-010228,19.0,2.21353697950721,0.393874450614842,0,82,4.4270626985461,0.787747842576248,4.54911499538691,0.812533644816431
sub-010229,36.0,11.0578958675118,0.624658195452225,0,0,22.1156748956449,1.24931202746006,24.2295415539396,1.2690571608405
sub-010230,36.0,22.7469506887295,0.651626364627452,0,918,45.4937421247131,1.30324534901005,43.1224043155069,1.39163989089919
sub-010231,19.0,4.24129912382208,0.231571001310786,0,2646,8.48254560470372,0.463141113623513,9.47641304032213,0.472539536117095
sub-010232,38.0,3.95280020226716,0.851532670631263,0,0,7.90552759004195,1.70306113107689,9.93052290399113,1.80477369870759
sub-010233,20.0,1.80551107198697,0.121202688457905,1512,70,3.61100444460492,0.242404523091378,3.92118640772709,0.243368361667742
sub-010236,20.0,4.27505391112047,0.484457605929176,30,828,8.55008722082135,0.968914440007267,9.26552805225066,0.981282833309891
sub-010238,21.0,2.03705143621349,0.999739075845793,282,34,4.0740872063435,1.99947518109083,4.20497644645614,1.89356572230773
sub-010240,26.0,1.31168878626299,0.188131846001006,0,312,2.62336653648212,0.376263105567072,3.07701785437625,0.38442265406827
sub-010241,27.0,2.38483459986835,0.631665284403315,4,0,4.76966023722836,1.26332769788433,5.27468810810059,1.26369269114504
sub-010252,32.0,12.4074000229301,0.653616334258594,0,1064,24.8146689004127,1.30722926777371,26.280288854198,1.37870842490343
sub-010256,32.0,7.13754434994842,0.432376470577358,0,0,14.275060475955,0.864751408409346,14.8833263994693,0.859808320857902
sub-010260,35.0,11.2081967770508,0.83019029459592,148,0,22.4162217140322,1.66037692334618,27.6651893331794,1.67606286762296
sub-010261,27.0,1.40403274797224,0.246668794677409,0,90,2.80805165724631,0.493336088387506,2.8679034353294,0.526441300000976
sub-010262,20.0,7.57578679949328,0.557898070575408,0,0,15.1514088190809,1.11579257432234,15.9753281199617,1.14850873392967
sub-010263,14.0,3.37673416893561,0.513714787934483,118,28,6.7533955307193,1.02742740536514,7.15433005840756,1.04355894428432
sub-010264,30.0,2.7596335074816,0.79102283822455,672,0,5.5192588697196,1.58204300567874,5.96575719266638,1.62330282650366
sub-010265,32.0,11.8343212120196,0.83854618824979,0,0,23.6685411643354,1.67708714735122,25.6891827900499,1.68633623993942
sub-010266,31.0,6.97173912222566,1.65666870479676,0,0,13.943417707531,3.3133331159116,15.3325077219743,3.61258859606807
sub-010269,25.0,7.78233467314766,0.291632719227984,4,0,15.5645833657597,0.583261166766513,16.3542151244406,0.613144432135765
sub-010270,24.0,8.76325120244915,1.12263564115442,10,1948,17.5264440033196,2.24526602581486,20.3151900751672,2.31021694601479
sub-010271,27.0,1.73352081032688,0.316267160207231,0,0,3.46703978744628,0.632533463452153,4.29379580251329,0.615272347405748
sub-010273,14.0,4.24265150364171,0.295908274620941,8,474,8.48524226906015,0.591814579599307,8.65125998069061,0.590515926623688
sub-010274,26.0,8.53279612589863,0.363888885640603,0,376,17.0655439587134,0.727774889528299,17.2761613047279,0.704683565904769
sub-010292,32.0,1.86971119791537,0.470657016653886,224,494,3.73939625259648,0.941312029166379,3.91262444118541,0.951641536668729
sub-010294,26.0,3.77540063688767,0.427820526813991,0,78,7.55075224526318,0.855639345639463,8.60504043370314,0.876565529490982
sub-010295,23.0,2.66460782657172,0.252905857609444,520,74,5.32916485919684,0.505810793992814,5.55133407163557,0.522618903286566
sub-010296,40.0,10.0990714448471,0.454943293275272,0,678,20.1980792517346,0.909884698336126,22.6233866181798,0.931532037683512
sub-010297,18.0,1.87924874274557,0.143523430180731,6,738,3.75844906247074,0.287046660977121,4.06807266965719,0.286799285924002
sub-010298,18.0,0.882742568010654,0.187524679417853,106,0,1.76548015178887,0.375048356077289,1.77921000116801,0.365818196813671
sub-010299,31.0,22.5012377499915,1.39046180729399,14,52,45.0022994213745,2.78091716613093,47.3722395264606,2.77312237725229
sub-010300,25.0,6.76400400075193,0.46060480229674,0,40,13.5279003897309,0.921206713419269,14.6246038240397,0.942643141935606
sub-010301,26.0,8.02327127202399,0.698256725006848,182,12,16.0464360078094,1.39650999783975,17.2192227582674,1.41062536822519
sub-010302,28.0,3.16645683119838,1.16688381164652,0,0,6.33288953530867,2.33376745412646,6.62274698835716,2.29733053402685
sub-010303,19.0,6.06379703151543,0.857466967927753,0,118,12.1275757983718,1.71493142807153,13.0342093376156,1.71094585404228
sub-010304,21.0,4.23775882627458,0.338732744868027,642,1662,8.47546319300453,0.677463607899639,8.65848405819045,0.688284253502779
sub-010305,29.0,11.0417215930027,0.720427391701051,0,2682,22.0833509240983,1.44084987839024,25.6578016257381,1.57337424707526
sub-010306,16.0,3.07238068328845,0.299224445914961,18,506,6.14472488005037,0.598447565605857,6.78274089785682,0.593490936890371
sub-010307,19.0,6.4222606281343,0.230584562393374,528,4878,12.8444769392588,0.461167871511683,14.0128993525867,0.4659585503862
sub-010308,11.0,3.97604989338805,0.324921024687928,0,78,7.9520829985363,0.64984193749433,8.80951199390016,0.645419010147685
sub-010309,22.0,1.94026916745401,0.129166805697805,106,0,3.88050453956211,0.258333072927891,4.13279713009551,0.256844811001019
sub-010310,18.0,4.36045828449783,0.274953330642693,16,856,8.72088837659501,0.549905541938516,9.54937368480313,0.553637788664086
sub-010311,29.0,2.74075275603777,0.337051820490683,2,0,5.48149375798902,0.674102166363882,6.28821215619896,0.650246464089133
sub-010314,28.0,8.59686231564057,0.461993285943025,0,150,17.1936650996004,0.92398362091527,19.6409261443307,0.923835801041538
sub-010315,29.0,5.74694156958668,0.388955640468714,0,0,11.4938440489387,0.777907368764243,12.3717580219859,0.777943857022395
sub-010316,11.0,1.59778036132817,0.260577293357235,266,0,3.19554221260561,0.521153567061007,3.37842920588119,0.499415894996019
sub-010317,17.0,1.38457804085066,0.199476736145036,0,1392,2.76913870972499,0.398952293794211,2.86367755623108,0.396467423601651
sub-010318,23.0,10.0551406190892,0.696151685153737,196,4,20.1102266883709,1.39230044258419,25.7064365029366,1.45524118876321
sub-010319,32.0,30.5219823180604,1.05436712813589,0,142,61.0435351240933,2.10872669720125,62.0847707256485,2.13031369261568
sub-010321,26.0,25.8033123706732,0.864555557990353,0,1780,51.6061312069527,1.72910381983607,54.4758432606565,1.77730981600995
