id,Rwt_s_words,ampl total power beta_P2,ampl total power gamma_C4,betw cen s-lcoh alpha_RPostcentralGyrus,betw cen s-lcoh delta_RSuperiorFrontalGyrus,mean ampl beta_P2,mean ampl gamma_C4,std ampl beta_P2,std ampl gamma_C4
sub-010003,19.0,9.14746418640989,0.40563288554776,812,32,18.2947875553401,0.811263032510912,19.2608110308345,0.843554591037526
sub-010005,16.0,8.07740680165669,0.315144457321663,178,122,16.1546367913545,0.630287010656725,17.4948255870861,0.663866389699661
sub-010010,19.0,3.94676672545457,0.697270300081289,438,0,7.89347953324512,1.39453721066829,8.63427638531572,1.40501596155996
sub-010016,24.0,3.08411580102192,0.297501787848859,1642,234,6.16822085589962,0.595003779983495,6.73366960644954,0.595120345927651
sub-010017,30.0,2.11696662642111,0.322251092735585,166,114,4.23391981333363,0.644501584496758,4.43621271249339,0.747317283599271
sub-010019,15.0,2.75233508502227,0.212578775354366,0,734,5.50462681158549,0.425156736328887,5.79646658627227,0.423230889727633
sub-010020,17.0,1.76370726931272,0.308205083549141,24,392,3.52739271947005,0.616408391800809,3.75371149995182,0.619427378317209
sub-010021,33.0,13.1587437631205,0.932226093457065,0,62,26.317301100872,1.86444812400046,28.319139966305,1.90223551366569
sub-010022,28.0,1.46997462035991,0.253844766606238,0,722,2.93992375376574,0.50768782516644,3.05222751281596,0.492306777186897
sub-010023,26.0,4.01038091771287,0.233959902319212,0,12,8.0207413917412,0.46791888830345,10.2364292509756,0.487563800624205
sub-010024,28.0,6.10473558242253,0.404119757686994,0,2010,12.2093540012797,0.808237379166419,13.4171895938977,0.841257119644409
sub-010027,24.0,1.82619636368361,0.357320214379783,1608,668,3.65237588535779,0.714638478779973,3.73815846455564,0.692943096364705
sub-010028,31.0,2.06448289375419,0.371084602801785,0,0,4.12893818033088,0.742167745572728,4.46836177854113,0.828287008063955
sub-010029,32.0,7.4960559606145,0.69115617794807,160,0,14.9920119491362,1.38230953599546,15.538081287094,1.43293517938337
sub-010030,29.0,1.26970065628471,0.127612014465466,892,174,2.5393856099273,0.255223475678537,2.66355993998844,0.256417952821042
sub-010031,14.0,3.56447240330861,0.443576239189217,18,1358,7.12891060187873,0.887150707006341,8.07557968809177,0.915728007169035
sub-010032,39.0,3.19748716270751,0.438978572913973,0,0,6.39494319001087,0.877955098270705,6.69994209178128,0.87601432504597
sub-010033,24.0,7.64193974873911,0.677512430983114,452,96,15.2838225882706,1.35502002377827,15.4347322563031,1.36825832014221
sub-010034,20.0,8.08314679995231,0.646903998472828,30,0,16.1662573706567,1.29380644709707,16.8138286206932,1.33041770863383
sub-010035,28.0,9.38243332590816,0.41041215518557,68,0,18.7647155061133,0.820820729400271,19.3532415020602,0.80384125348269
sub-010036,19.0,1.63969821559249,0.201527462085164,0,8,3.2793823827653,0.403054287878574,3.37855501403559,0.398667609188643
sub-010038,31.0,20.0337765360485,0.42061578232397,2,10,40.0673361390948,0.841229787875056,39.891566835584,0.868467658221781
sub-010040,22.0,15.3844959444925,0.784698571988011,6,268,30.7687406435836,1.56938948782618,32.0368601903699,1.60855253837298
sub-010042,18.0,4.59073787986065,0.330412912682349,416,578,9.18144786915889,0.660824041723295,10.4204223681853,0.672392013456379
sub-010052,17.0,2.06522466891594,0.282842594420262,14,1422,4.13043626931396,0.565685094771529,4.34330736778663,0.570869935839769
sub-010053,26.0,7.1981411005696,0.636773183212924,14,104,14.3962639586062,1.27354386023939,17.9006832138096,1.30007611077227
sub-010056,30.0,1.58071879407344,0.149584000166191,568,780,3.16142931036349,0.299167216958707,3.52026844248646,0.299788892152534
sub-010060,21.0,5.74543673093646,0.20817416280411,4,0,11.4907934494132,0.416346886844755,12.3647685494634,0.436075570545924
sub-010061,19.0,8.41179579466103,0.607221944233005,22,282,16.8235320173174,1.21444048381664,17.7662063743728,1.18426788918401
sub-010062,18.0,8.6247514366475,0.437970449757948,360,1028,17.2493793838963,0.875937735385899,17.9990435295146,0.914717321834141
sub-010063,14.0,2.09539286263593,0.325461524453922,1136,168,4.19073070030719,0.650923026095656,4.45814022827561,0.650611750897061
sub-010064,31.0,2.49519853286035,0.272212979507543,0,150,4.99036892983646,0.544425157943333,5.76512388220347,0.57954125967064
sub-010065,21.0,4.31671002039962,0.304665460271994,58,188,8.63335072554951,0.60932902883814,8.83787105262851,0.629442642794417
sub-010066,29.0,3.8698383594519,0.582186918947846,6,44,7.7396477110665,1.16437028517161,8.38861174199197,1.15014893712237
sub-010067,16.0,5.30379096152224,0.229372311127981,56,1014,10.6075119887375,0.458743538000151,11.6269289109108,0.473667220625359
sub-010068,34.0,7.11969373330018,0.282343196014451,0,0,14.2392516330804,0.564684606646953,15.4978260403303,0.561516439478026
sub-010069,25.0,10.7640794180068,0.732059854221237,68,2104,21.5280657906473,1.46411696191282,22.3662620223358,1.4086665640436
sub-010070,10.0,1.41326537025238,0.280832012432713,190,94,2.82652335774917,0.561662921779482,2.86284072582056,0.600193839228968
sub-010071,9.0,6.20703570527298,0.553844546878154,0,744,12.4139494165253,1.10768333799599,12.8333095196975,1.09517642150301
sub-010072,20.0,1.18010639024299,0.222261546801216,2690,24,2.36019718402302,0.444521449990859,2.46177311016421,0.454998712120466
sub-010073,35.0,5.15010041012084,0.796526262658426,42,8,10.3001617091976,1.5930481303982,11.022147563897,1.72356595449175
sub-010074,31.0,2.61273538539072,0.296546729146085,2108,0,5.22543879579711,0.593092133828472,5.45229101803304,0.644490193109184
sub-010075,28.0,6.85147442634673,0.580128694646566,0,2064,13.7028698736119,1.16025547696729,15.3875703011464,1.2112687646954
sub-010076,28.0,3.77469268422688,0.290801919402491,0,140,7.54936568869479,0.581602390057872,8.07875216551926,0.592006370537468
sub-010079,35.0,7.75895105754582,1.04614119581961,0,0,15.5178596815486,2.09227809687839,16.1477817966804,1.85326175505853
sub-010080,27.0,3.9891044930189,0.362481300995547,102,62,7.97817213132794,0.724960312862656,8.13387275203779,0.699811449866384
sub-010083,28.0,5.07953118385082,0.660128169644456,252,206,10.1590275034036,1.32025393253525,10.6031317375898,1.36387738614984
sub-010084,34.0,17.1763935465139,1.58253977907271,0,718,34.3524565757959,3.16507166890279,38.10756832708,3.45357784752362
sub-010094,29.0,4.88452784099935,0.32561144973026,0,0,9.76901382906749,0.651220517785252,10.8722908358456,0.615606186058689
sub-010126,23.0,6.63782831335478,0.526539398396351,330,808,13.2755640119992,1.05307611722939,13.4511825069598,1.03962437545502
sub-010134,28.0,2.54037334933514,0.213977141237174,54,28,5.08073532993868,0.427953734398925,5.63176250124911,0.431046815417555
sub-010136,15.0,1.28085539001192,0.237526932015584,0,214,2.56169968756798,0.475052805749884,2.84900633093495,0.478268857354177
sub-010137,22.0,3.32135561809302,0.336613679493785,0,630,6.64267284349194,0.673225820210985,6.78151602375394,0.654185716734868
sub-010138,25.0,7.0510332037099,0.367144773586238,0,1400,14.1019261477758,0.734288579958805,18.5399274508839,0.772841496188546
sub-010141,23.0,7.63072850274461,0.423683654787771,0,992,15.2613985267428,0.847364812555959,16.2876218032542,0.864553920490281
sub-010142,33.0,2.26824645539683,0.159432397144847,0,0,4.53648102562222,0.318863920779856,4.81971424810475,0.316093126267474
sub-010150,38.0,8.05337497264049,0.728490602713941,0,0,16.1066897622449,1.45697691791731,16.4204708904934,1.56546445367444
sub-010155,20.0,13.1264846755549,1.40110686421045,92,800,26.2526868360482,2.80220662084169,28.4645870356459,2.66295426252724
sub-010157,28.0,14.0040703685852,0.417264013662206,52,622,28.0079791595041,0.834525150229183,28.5017329085174,0.859259821547491
sub-010162,31.0,1.89525601034806,0.176332710767896,0,0,3.79047711020521,0.352664577238714,3.90693220145129,0.379155169233121
sub-010163,20.0,3.55062004888145,0.335295978679936,2,1598,7.10122612363288,0.670590140409566,8.16630516374848,0.674410799669257
sub-010164,27.0,9.84237088642287,0.45396997611293,0,0,19.684711629065,0.907937498015905,22.3951944961255,0.913906814550034
