,betw cen e-wpli gamma,clust coef s-lcoh alpha,kurtosis ampl beta,life time beta,life time gamma,microstate C,mod index alpha-beta,mod index alpha-gamma,mod index delta-alpha,mod index theta-alpha,mod index theta-beta,node str s-lcoh alpha,node str s-lcoh beta,range coef var beta,skewness ampl alpha,source ampl theta,waiting time beta,waiting time gamma
betw cen e-wpli gamma_C5,0.3630246308808476,0.12285696213629228,0.18077432657623724,0.16855570296262556,0.12647532111068718,0.14704877689701354,0.17159340117373306,0.16544357265215268,0.13919317284312077,0.13552397387191778,0.13569719096573576,0.1327432242779007,0.23238824393724913,0.22895597840077553,0.1396216773321447,0.12364963163376373,0.19512887071905527,0.13390687078857413
clust coef s-lcoh alpha_LInsula,0.12285696213629228,0.29159150571071357,0.13162991915233171,0.3005916091061561,0.3583591338980019,0.32876596173698325,0.1735660249501215,0.16557104693845318,0.38964495240071756,0.4221280684176115,0.2268689666921863,0.9767737094389686,0.12266597474535895,0.16306039739285738,0.42168130733019266,0.27819683628033204,0.11558131858271889,0.2933050883871384
kurtosis ampl beta_CP6,0.18077432657623724,0.13162991915233171,0.3076647484081032,0.4561728740440813,0.5163668406828753,0.18954917961732376,0.43339190388229487,0.20920722338807105,0.39060279171132306,0.34051541989446743,0.39274931841376426,0.13767878145043774,0.19723288812742387,0.5362449497490281,0.15387860009801618,0.14457553800636186,0.5351935154109372,0.4149436596500093
life time beta_AF8,0.16855570296262556,0.3005916091061561,0.4561728740440813,0.31738260848844274,0.4553043411231086,0.2003996739103042,0.22978611470565058,0.17196548490820934,0.5471830756789199,0.5244183770376712,0.35148329110072746,0.29305394010516367,0.27215336076933244,0.576292333882846,0.2615855843365352,0.20213941023542514,0.6900943532783445,0.4635707540035193
life time gamma_O1,0.12647532111068718,0.3583591338980019,0.5163668406828753,0.4553043411231086,0.3067285064974571,0.2013224431386156,0.3489651507481991,0.1364441537248624,0.48681081196537584,0.512589268296635,0.3626185924296195,0.34041241582266674,0.18927818805896038,0.43855688287176453,0.2708378185414864,0.18658196306518263,0.36467583833497785,0.637132861144355
microstate C_Group1_Map3_SegDensity,0.14704877689701354,0.32876596173698325,0.18954917961732376,0.2003996739103042,0.2013224431386156,0.25193705773277836,0.18639829898028856,0.19261781297060476,0.22964950007986093,0.18704540213689458,0.12398050504582846,0.34118879982504535,0.14611052107803713,0.18500232512938913,0.14587226635536185,0.1314919647865962,0.25356024100199376,0.19573006143957358
mod index alpha-beta_FC6,0.17159340117373306,0.1735660249501215,0.43339190388229487,0.22978611470565058,0.3489651507481991,0.18639829898028856,0.31120079179094623,0.18432780390145062,0.2754453256910898,0.29337756712884,0.4528724291759662,0.1687016759239425,0.20743579517404503,0.308547253785756,0.22055156622773756,0.12694585275114018,0.26504648460803515,0.3534332808985937
mod index alpha-gamma_CP3,0.16544357265215268,0.16557104693845318,0.20920722338807105,0.17196548490820934,0.1364441537248624,0.19261781297060476,0.18432780390145062,0.3017087203159576,0.19423785242846694,0.16495571887866045,0.17421084673977366,0.16103010616967245,0.18576359322936442,0.2088718276005192,0.12593721056009555,0.17167152196316754,0.18251176047161582,0.14820469379996193
mod index delta-alpha_AF7,0.13919317284312077,0.38964495240071756,0.39060279171132306,0.5471830756789199,0.48681081196537584,0.22964950007986093,0.2754453256910898,0.19423785242846694,0.35642887663441386,0.5310684109528775,0.33606481555452955,0.3753703080542055,0.21790829421960753,0.3949995741897129,0.29160744929486615,0.214838237786803,0.3761117614709509,0.4690032103481003
mod index theta-alpha_F1,0.13552397387191778,0.4221280684176115,0.34051541989446743,0.5244183770376712,0.512589268296635,0.18704540213689458,0.29337756712884,0.16495571887866045,0.5310684109528775,0.2753417220689994,0.6195321119369956,0.3796230177545106,0.14231701586398612,0.3526902299935435,0.4321130693503612,0.2540816432254201,0.31669001447386746,0.45148443424106066
