,betw cen e-icoh alpha,betw cen e-plv beta,betw cen e-plv delta,betw cen s-lps delta
betw cen e-icoh alpha_CP2,0.28936194439686974,0.12164616089777137,0.1200407198065895,0.20361351054587123
betw cen e-plv beta_F6,0.12164616089777137,0.3137838043428225,0.10522421783625016,0.17114368588011783
betw cen e-plv delta_Fp1,0.1200407198065895,0.10522421783625016,0.2952539246253442,0.09933993163347207
betw cen s-lps delta_RMiddleOrbitofrontalCortex,0.20361351054587123,0.17114368588011783,0.09933993163347207,0.31737101431086895
