id,Pts-2_subtest_3,ampl total power theta_P8,approx entropy_TP8,betw cen e-plv theta_CPz,clust coef e-plv beta_FT8,hjorth mobility_CP5,life time theta_PO7,lzc exhaustive_TP8,lzc primitive_TP8,mean ampl theta_P8,mod index theta-alpha_C5,mod index theta-beta_FC5,mod index theta-gamma_CP6,node str e-plv beta_FT8,relative ampl alpha_CP6,skewness ampl beta_F4,skewness ampl theta_PO10,source ampl alpha_RParahippocampalGyrus,source ampl theta_LLingualGyrus,spectral entropy alpha_CP5,std ampl theta_P8
sub-010002,16,3.51778878277602,0.542168949701897,0,0.167568556514321,0.911471214267035,583.2,0.900829292196896,2.72576074632035,7.03510820926784,0.0007255526811439,0.0017184354342548,0.0015154733229621,11.5476843324594,2.92674326276689,0.0364911456043551,0.105610966670834,0.3187088,0.1388808,0.328162771539673,7.36119875257953
sub-010004,18,14.0974138865776,0.694990669835721,0,0.148028548966051,0.570299747840203,807.15,0.730263355761374,1.94407542413735,28.1934315944035,0.0007472275659479,0.0014538235180459,0.0013758711654283,9.98820453807364,3.71443351092642,0.0499906032342505,0.0595446927473366,0.7129413,0.3374134,0.472777879210003,30.9542705301922
sub-010006,17,30.1130171280521,0.681505045637022,0,0.170038402187086,0.624504055845358,1215.85,0.734817398287795,1.97990295039875,60.2239256973287,0.000645846255001,0.0012540445472012,0.0012826571925645,11.1986873953258,3.48956964194222,0.0552361055213185,0.0306176376654514,0.588465,2.077862,0.370303230484432,58.3172422161471
sub-010007,17,14.5351402705454,0.684958862423325,0,0.160168855020902,0.684609066824261,567.325,0.678700824522936,1.7318514854717,29.0635924015268,0.0004970568914819,0.0013352597361308,0.0013247487907814,10.6278732586717,5.39084943333614,0.0359213923849819,0.0755780173610231,2.006234,0.5407674,0.487271668507849,29.1250263977775
sub-010012,19,9.18714641550773,0.642951160501168,0,0.176812751372404,0.725069440260649,527.0375,0.774299361386219,2.12367780163576,18.3702207561918,0.0005020614303036,0.001543448384526,0.0012557765799474,11.5436416495727,3.46521505822673,0.0615516147875994,0.125360278161042,1.098242,0.3355758,0.433602115047472,20.1248901757827
sub-010026,19,52.806646539616,0.709881713073625,0,0.153231915594655,0.621956044937314,607.25,0.671394483787442,1.72248194314308,105.605556206065,0.000583201507488,0.0015329203243402,0.0012566849795324,9.93889844871737,5.7009722884476,0.0725825972428213,0.116396806927217,0.9304595,1.098445,0.544916122800996,105.236226279509
sub-010037,23,31.4346079150092,0.639983377457905,0,0.152121373991832,0.638195129906947,695.4,0.836946579110848,2.41251529512246,62.8647431365076,0.0005763232287189,0.0013784474761499,0.0012137321931515,9.73204042973606,4.3341413296558,0.0538854721428289,0.0738067305075738,0.6665197,0.5987909,0.515451717162862,68.0854415188362
sub-010039,16,0.936106284406234,0.598653245262222,32,0.160716952337019,0.835764753202067,583.1875,0.835922061029636,2.41573374289519,1.87207545653178,0.0007916273211125,0.0015643837557057,0.0015062245435532,10.3827942836204,2.70078956020014,0.0514962861180754,0.0829730030577908,0.1515187,0.4034306,0.303077533071032,1.7998263471668
sub-010041,15,7.15078638079728,0.677301706202596,4,0.170637167671657,0.713119936092023,607.9875,0.757896342720184,2.06077820875853,14.3039650878473,0.0007104831419046,0.0014489079964461,0.0014591737995634,10.9928466067632,3.75815349177494,0.0416015523728486,0.0766045436755359,0.5245713,0.2237883,0.43789594165858,16.3213720707299
sub-010044,11,3.21726825055372,0.551290103137167,36,0.180718861557646,0.816680640035886,535.7375,0.897053991406556,2.68927755829391,6.4339442725822,0.0009705711816248,0.0015781846378971,0.0014387556948568,13.5479624323368,1.40394095928532,0.0463515745386242,0.118143161292069,0.2439357,0.06918999,0.31689856011178,6.23009454568298
