id,Rwt_animal_categories,betw cen e-plv alpha_F6,betw cen e-plv beta_F4,betw cen e-plv theta_Pz,clust coef e-icoh alpha_T8,clust coef e-wpli alpha_CP4,dfa exponent delta_FT8,kurtosis ampl gamma_PO9,life time theta_C4,microstate B_Group1_Map2_SegDensity,microstate C_Group1_Map3_SegDensity,node str e-wpli alpha_C6
sub-010265,39.0,2,22,0,0.104016388337699,0.071073480987531,0.573867842797146,3.08510004334941,615.225,1.3138,2.3409,5.00808242049471
sub-010266,38.0,12,50,16,0.0940947543204837,0.061377415530615,0.573054744297154,3.03349483482299,623.05,1.4067,2.1422,5.19707282690078
sub-010269,39.0,36,6,58,0.0898972607845453,0.02507226056347,0.602638876898927,3.03563613722771,567.55,1.7617,2.0683,2.23019296345342
sub-010270,38.0,198,10,54,0.0786796933232429,0.0304867725357544,0.591907782789155,3.05004918001777,687.7,2.1118,2.2385,1.88851680654352
sub-010271,47.0,158,82,6,0.0672025603876864,0.0239688550950686,0.746074952143454,3.17104260667746,551.458333333333,0.278,3.7761,1.89912114688218
sub-010273,52.0,38,28,76,0.115132722172727,0.0730047653809166,0.607385601750892,3.14590900829729,503.5125,0.9652,2.6984,6.56844206249535
sub-010274,28.0,18,0,8,0.101747160464882,0.0685187402622262,0.600576160316564,2.96367117670361,631.75,1.7502,2.0213,4.03523753031431
sub-010292,49.0,14,8,12,0.0847883272013402,0.0484650528586192,0.603186474951962,3.10147490519447,599.1125,1.9767,2.7261,1.95035291624089
sub-010294,32.0,0,0,10,0.111736641123172,0.124929078974033,0.658287422679923,3.15489163652956,599.916666666667,1.425,2.42,4.07780961635059
sub-010295,35.0,0,0,24,0.0925228987179348,0.0431305311460185,0.649554293361024,3.03568618761243,543.3,1.9083,2.0917,4.67417490946586
sub-010296,41.0,8,2,24,0.0957675352895293,0.105991078392509,0.62511773474851,3.06032729404395,591.1875,1.795,2.1167,4.73496335097414
sub-010297,30.0,44,14,4,0.0945279109710028,0.0576375544951469,0.572721767091956,2.99226263059482,623.525,2.2383,2.7367,4.44459029208374
sub-010298,40.0,6,12,26,0.0935263598309922,0.0439135266849296,0.586979684764692,2.92678111900472,647.425,2.0883,2.7372,3.98509743051376
sub-010299,49.0,0,2,0,0.165486844218651,0.169420153607674,0.736247967842701,3.1059708822246,759.35,1.4683,2.4601,10.4849383026343
sub-010300,37.0,0,8,12,0.118344831022958,0.111466175593359,0.621038376533664,2.96471688457811,639.8375,2.1137,1.8588,4.51251407243815
sub-010301,69.0,548,60,2,0.101704617780258,0.0851477019412165,0.577785384194842,2.95790144144332,487.7,1.035,2.2933,6.38154803394043
sub-010302,37.0,0,8,14,0.0880832055852657,0.055176634319805,0.636465351148696,2.93940259708815,575.3,1.3642,2.6859,2.04976007071197
sub-010303,43.0,0,62,28,0.084400717946575,0.0496152253005215,0.666674740555378,2.92580343516166,623.416666666667,1.9831,2.127,2.03773431957655
sub-010304,32.0,0,16,0,0.140019107769944,0.122119946391326,0.5787322248811,2.97301263113972,599.1875,0.9954,2.4245,8.09027998515048
sub-010305,39.0,0,6,50,0.108123050356452,0.0835459108190017,0.644303473238326,3.08580954239842,647.475,1.7706,2.3542,2.76936476948994
sub-010306,30.0,20,58,4,0.0952617685911558,0.0565914713037356,0.547426014754713,3.08573994896445,655.425,1.7154,2.0903,4.25274577113958
sub-010307,29.0,150,0,34,0.0748557197246979,0.0307334749138205,0.604194294416826,2.96826414174756,647.8,1.8218,2.5969,2.72730652814351
sub-010308,43.0,68,6,14,0.0978611909490878,0.0629511085286991,0.591310054723648,2.91855609382166,615.4875,2.0383,2.4133,4.38908406831606
sub-010309,26.0,0,8,0,0.0868784359834765,0.0395233111702628,0.68026970491239,3.1978374306084,527.4,1.49,2.3267,4.48148725296929
sub-010310,34.0,0,14,14,0.085416164823605,0.0548333363773638,0.596338022366626,3.09904001463118,575.6875,2.0159,2.4461,1.63511365379636
sub-010311,40.0,16,14,10,0.100237600621398,0.0807121186185165,0.567366670735506,3.01030740363541,599.7625,2.6478,3.0069,3.04549191590677
sub-010314,27.0,4,2,40,0.122941373303883,0.0571645462400408,0.596029279335383,3.01973510820652,591.63,2.0636,2.552,4.45144453969155
sub-010315,41.0,0,0,0,0.0796675429729097,0.0363830220971944,0.659686712101643,2.95424890952567,567.2,2.5603,2.2853,2.26736986417159
sub-010316,50.0,0,6,2,0.116894434885202,0.117886955815033,0.566373919355254,2.97126269233639,567.25,1.4458,2.7167,7.89637318300404
sub-010317,39.0,8,24,4,0.103748726766518,0.0568972107085257,0.57564008415545,2.98546598504364,519.716666666667,2.0238,2.8417,4.13594944464995
sub-010318,41.0,146,70,30,0.121552905916426,0.13178857720216,0.597729204672406,3.00957036379645,599.125,1.9737,2.5871,6.44209088299167
sub-010319,41.0,58,30,10,0.083464930657623,0.0512876221109879,0.571348860093442,2.96411000526686,479.8875,1.907,2.3304,3.35929380235504
sub-010321,35.0,2,10,2,0.120751124117237,0.0843950388852466,0.635398086101647,3.27272417792183,647.55,1.0769,2.3521,6.46418172057979
