id,Tap_working_memory,ampl total power gamma_C2,betw cen e-plv delta_Pz,clust coef e-plv delta_FC1,kurtosis ampl beta_CP6,kurtosis ampl delta_F6,life time beta_POz,life time theta_TP7,lyapunov exponent_CP6,mean ampl gamma_C2,mod index alpha-beta_Cz,node str e-plv delta_P3,range coef var beta_C4,skewness ampl gamma_C1,std ampl beta_C1,std ampl gamma_C2,waiting time beta_P2,waiting time gamma_P3,waiting time theta_O2
sub-010003,755.3571429,0.338204460154285,20,0.19620539517989,3.26649829625841,3.22694869227263,199.841666666667,823.35,7.30834915758388,0.676406329893551,0.0010649913239961,13.4893540712806,0.381836743370843,0.0128241057150692,11.9686598657453,0.709976254757564,215.809090909091,111.250943396226,735.5
sub-010005,1058.75,0.304848099005041,2,0.19665234051339,3.14887500903683,3.09723558647223,215.339473684211,607.96,6.90515646757749,0.6096945099429,0.0010017383404963,14.2814757150633,0.312825347756575,0.0092596177007254,16.7795236197367,0.61927632496259,247.75,111.887,623.4375
sub-010010,504.6428571,0.556796673853931,0,0.207430653238127,3.19755228879563,2.82017835952668,215.420833333333,543.25,7.13166900064043,1.11359000539025,0.00103583964954,11.1281903457288,0.255906981297166,0.0088270974078072,10.3928755940781,1.15059881361538,247.45,127.208536585366,695.949999999999
sub-010016,525.0,0.33641132416315,0,0.199878250260498,3.30979809713548,2.8542447705289,207.608823529412,567.075,4.87980736799745,0.67282130264166,0.0012005710611527,12.3391789309375,0.205594484996669,0.0133291670929206,5.22703038670392,0.696948911757194,223.06875,119.334745762712,647.3
sub-010017,613.0,0.156371652452066,94,0.177918229287944,3.09447288312041,2.80628546546402,191.477272727273,535.725,4.63759688438197,0.312741593322066,0.0011049456511081,12.2572925049021,0.313219518118586,0.0166618223873203,5.70588323172903,0.324775336949839,207.4075,111.850793650794,583.75
sub-010019,786.4285714,0.205971726517006,0,0.197074681209474,3.17460711034834,2.81950112608442,191.068,655.35,5.75454540530788,0.411942067569111,0.0011543951168461,13.4854685605894,0.333235225011856,0.0290542612358474,4.92818517841359,0.428427752211322,223.407142857143,119.855084745763,719.05
sub-010020,1036.071429,0.159037088172112,0,0.196413480063155,3.05779564819596,2.79903497934829,167.034375,567.433333333333,2.79602425431634,0.318073205051235,0.0010472919876493,13.9386878793931,0.198743064957709,0.0257538287685854,2.53774051976702,0.31195227017009,215.088461538462,103.509482758621,575.766666666667
sub-010021,605.0,0.955948552700108,0,0.18366842067017,3.1408159493242,2.8887819832907,183.045833333333,567.55,8.10401369345148,1.91188849682871,0.0011708911999058,13.4566376769252,0.288537721792999,0.0084544796969415,21.5296682807151,1.89859572578761,263.2875,119.663,647.966666666667
sub-010022,954.375,0.173636422231949,8,0.182651337486668,3.10452026094574,2.84841988914667,191.055555555556,623.483333333333,1.66982760353391,0.347271638389046,0.0010497291761245,13.6145075237735,0.195931528725409,0.0242706856812503,2.11165520404364,0.362187923302218,199.486111111111,119.046226415094,663.95
sub-010023,491.0,0.238135851893904,68,0.200779865485958,3.37226457116516,2.84979585447046,239.09375,695.2,7.63793129720095,0.476269504573058,0.0012158894085223,11.3443170792063,0.403887991335874,0.0162764545894262,8.95976258980105,0.502495213629043,279.941666666667,143.26125,839.899999999999
sub-010024,435.0,0.392471653747453,6,0.184509963400527,3.31331368172828,3.09151970102365,207.771428571429,551.9,8.93922830956284,0.78494019527224,0.0011731293761359,11.1629600728657,0.298555700719128,0.0120483844945106,9.58822766468132,0.791872321198003,215.825,119.342,599.78
sub-010027,598.0,0.219896734641277,36,0.209624873344613,3.02921299536865,2.8368364466727,159.403703703704,471.975,0.512629713319368,0.439792445563461,0.0011391056420208,14.714442148926,0.207819179568701,0.0178204116059623,3.08314521081408,0.43821000778735,183.266666666667,111.838461538462,583.7
sub-010028,395.0,0.300579735369921,28,0.245334572371839,3.28824528235954,2.90425052929599,175.123076923077,599.4,11.1848611455683,0.601157421757954,0.0010625324119609,14.2934766284361,0.252011820448163,0.0125710451823773,3.878942579262,0.621379524992864,239.07,119.856666666667,599.06
sub-010029,443.0,0.590043335131697,10,0.170516325414196,3.19336860534267,2.98934868963227,255.815384615385,695.95,12.7202682884306,1.1800816102132,0.0012304973972121,12.3940624453765,0.265139844000921,0.0097507560686274,10.9902923808422,1.19639425671944,223.803571428572,111.591666666667,703.4
sub-010030,769.2857143,0.131701716734336,0,0.180880115405707,3.10062409601922,2.85418415593209,167.829545454545,495.166666666667,7.80998582457684,0.263402803474269,0.0010222649330617,12.8003795485967,0.201372961731062,0.020878271242754,1.77582889302719,0.262626247076747,215.244444444444,103.312857142857,575.05
sub-010031,564.6428571,0.456250096986292,0,0.248529334128369,3.40043073249901,2.94052341794752,207.711538461538,591.9875,10.3538649744036,0.91249852855125,0.0012466002695778,14.5287023786168,0.355789364215624,0.0111497582990291,6.04324195235976,0.971396848938817,223.384615384615,135.414864864865,639.3
sub-010032,1037.5,0.443021892451738,0,0.209104668227601,3.00366057851161,2.89243397108404,183.597222222222,551.4,7.40163765541454,0.886041855234695,0.0010902699135336,16.3975301290205,0.207273674281312,0.0261762385439539,4.08447137023126,0.910161538353601,199.616666666667,103.952816901408,623.35
sub-010033,591.4285714,0.487271406066379,10,0.208211352463328,2.93580478033486,2.88238080508563,175.124193548387,599.35,13.4793787014498,0.97453951409987,0.0009436434719522,12.8082262447291,0.235694073982134,0.015627718346912,11.2983347681604,0.975243657822024,199.654,119.660526315789,639.575
sub-010034,445.7142857,0.574369845520468,14,0.228871994451784,3.14967930464942,2.89521540906613,231.554545454545,527.216666666667,9.05285983431549,1.14873747593224,0.0011983996510027,15.4257044341895,0.244404219024811,0.0070185317702006,8.76441315972734,1.17684672137896,263.78,119.711111111111,615.6625
sub-010035,519.0,0.36087009696704,6,0.186378480853329,3.26017520363753,2.86286160619545,239.895652173913,607.7,14.1078689022739,0.721737171584971,0.0022694342118847,11.7758145625182,0.232866666863248,0.0146301279094642,13.3211889356729,0.713731623958825,271.925,119.082978723404,599.716666666667
sub-010036,696.4285714,0.188224839016744,0,0.210228077004071,3.10434289731045,2.89350397706447,175.29375,551.521428571429,6.8521046766375,0.376448827193338,0.0010552191058999,16.1546980042998,0.240113802609652,0.029784016705593,1.92904960029492,0.377242644359217,207.059090909091,111.465384615385,575.7
