id,Tap_simon_incongruent,betw cen e-icoh beta_PO10,lyapunov exponent_P5
sub-010002,726.4285714,0,21.4936185858475
sub-010004,611.3793103,0,12.5238956283579
sub-010006,652.7586207,0,7.30178783499368
sub-010007,510.0,0,10.4485157287252
sub-010012,557.0,0,11.7262153972831
sub-010026,496.5517241,2,11.8984298510726
sub-010037,638.5714286,0,9.47389195709742
sub-010039,656.7857143,0,4.336430846939
sub-010041,584.4827586,0,11.5101281731714
sub-010044,723.0,0,21.6783240299395
sub-010045,729.0,0,9.86036746653327
sub-010046,616.0,0,3.51201377051625
sub-010047,601.0,0,10.3573794905755
sub-010048,1060.384615,0,19.7591275921596
sub-010049,522.0,0,0.786664204883191
sub-010051,613.3333333,0,3.12147499921119
sub-010059,516.4285714,0,10.3362511123084
sub-010081,938.75,0,10.5483253089632
sub-010085,734.4,0,12.5087847924096
sub-010086,1130.0,0,14.611745701974
sub-010088,637.2,0,7.37928378501531
sub-010089,847.826087,0,9.21992973669315
sub-010090,1472.307692,8,14.8248458092407
sub-010091,861.0,0,13.713144317483
sub-010092,506.0,0,5.21238894216149
sub-010093,556.0,0,7.91593249738192
sub-010104,523.0,0,10.5832536880361
sub-010146,528.2142857,20,11.4478694244238
sub-010148,580.0,0,2.41166700124058
sub-010152,571.0714286,0,12.9829459473319
sub-010199,543.0,0,0.0831524324938628
sub-010219,552.0,0,12.1629727453256
sub-010222,732.5,0,21.741090189334
sub-010223,1696.153846,126,18.7434660789743
sub-010234,1026.0,34,15.5310370686291
sub-010239,683.7931034,0,8.54144922764106
sub-010242,690.0,0,2.05230665850643
sub-010243,601.0,0,7.59661005990938
sub-010244,615.5172414,0,15.4458094405225
sub-010245,551.3793103,0,10.7463589397381
sub-010246,594.8275862,2,14.3826495801158
sub-010247,856.0714286,0,13.9556643351763
sub-010248,520.0,0,12.298557650641
sub-010249,769.6153846,0,12.4245579659696
sub-010250,742.2222222,6,11.1807180295992
sub-010251,773.6842105,12,8.27134920636807
sub-010254,678.8888889,4,11.7178494939988
sub-010255,504.4444444,4,5.60125369963
sub-010257,621.7241379,0,-2.05950097449623
sub-010258,474.8275862,0,6.59479083197498
sub-010267,508.0,0,6.5310532725612
sub-010268,552.4137931,0,11.1152108820699
sub-010272,597.2727273,0,-2.8519683150126
sub-010275,769.0909091,0,18.8613211984236
sub-010283,743.7931034,0,0.653151823682607
sub-010284,682.8,8,5.18010585318482
sub-010286,580.3448276,0,12.9322588142232
sub-010287,467.0,0,3.93770645343988
sub-010288,789.6428571,6,10.8397791530223
sub-010289,488.0,2,3.39572076938317
sub-010290,628.9655172,0,12.2064600462485
sub-010291,693.4615385,0,-0.762672759343038
