,betw cen e-icoh gamma,clust coef e-plv alpha,life time beta,node str e-plv alpha,node str e-plv delta,source ampl alpha,waiting time gamma
betw cen e-icoh gamma_FC1,0.0,0.01853238004813103,0.1204199388254508,0.012451253760597138,0.39282120142821186,0.2832499773378676,0.08388080500425371
clust coef e-plv alpha_AF8,0.01853238004813101,0.0,4.7393061700969866e-05,1.5591746430234954e-77,0.010032689582161816,2.1884350496863555e-09,9.159123165361058e-06
life time beta_C3,0.1204199388254508,4.7393061700969866e-05,0.0,0.000540928812787941,0.46815207513437973,0.003729307728457431,2.7289650011681502e-17
node str e-plv alpha_AF8,0.012451253760597138,1.5591746430234954e-77,0.000540928812787941,0.0,0.00478014718837859,1.6424876876787087e-07,0.00026083112059898056
node str e-plv delta_FC5,0.39282120142821186,0.010032689582161816,0.46815207513437973,0.00478014718837859,0.0,0.4187909705987318,0.635243646792977
source ampl alpha_LFusiformGyrus,0.2832499773378676,2.1884350496863555e-09,0.003729307728457431,1.6424876876787087e-07,0.4187909705987318,0.0,0.002591911919557799
waiting time gamma_FC1,0.08388080500425371,9.159123165361058e-06,2.7289650011681502e-17,0.00026083112059898056,0.635243646792977,0.002591911919557799,0.0
