id,Tap_simon_incongruent,approx entropy_Oz,betw cen e-icoh beta_CP3,correlation dimension_PO3,higuchi fractal dim_PO7,lyapunov exponent_P5
sub-010002,726.4285714,0.631511786371541,0,2.83793589363142,1.92470272491915,21.4936185858475
sub-010004,611.3793103,0.678557816047001,2,2.88919647450623,1.8663790952181,12.5238956283579
sub-010006,652.7586207,0.670724604996207,0,2.91566718739464,1.86257237376999,7.30178783499368
sub-010007,510.0,0.678125252462176,0,2.92655139238127,1.89092918515256,10.4485157287252
sub-010012,557.0,0.673667527657866,0,2.88558521812263,1.9413241747334,11.7262153972831
sub-010026,496.5517241,0.700473903081021,0,2.97925201329468,1.84811645781438,11.8984298510726
sub-010037,638.5714286,0.594674091136945,2,2.96900582716979,1.91170712569389,9.47389195709742
sub-010039,656.7857143,0.62144769009617,0,2.94665979518708,1.85419771764591,4.336430846939
sub-010041,584.4827586,0.679767360357713,0,2.89012474434965,1.87478587715023,11.5101281731714
sub-010044,723.0,0.638038086121449,0,2.90581505766302,1.91263733858426,21.6783240299395
sub-010045,729.0,0.612028669817377,34,2.83352624895453,1.92551240630449,9.86036746653327
sub-010046,616.0,0.64600861445098,0,2.92216354149773,1.86016011770401,3.51201377051625
sub-010047,601.0,0.687369849607988,2,2.9033748034758,1.90656226403804,10.3573794905755
sub-010048,1060.384615,0.607957533935175,4,2.93061285855252,1.90593017359123,19.7591275921596
sub-010049,522.0,0.700759256905793,0,2.90853291761678,1.81101983638658,0.786664204883191
sub-010051,613.3333333,0.690938928827235,0,2.93712646360352,1.85370096610478,3.12147499921119
sub-010059,516.4285714,0.651862690837324,0,2.96604919533179,1.8981430647119,10.3362511123084
sub-010081,938.75,0.647444083754351,2,2.86915594618547,1.90922211534168,10.5483253089632
sub-010085,734.4,0.670454994937803,0,2.89464607590197,1.88662218613996,12.5087847924096
sub-010086,1130.0,0.661223084613353,8,2.8621005935279,1.86068009638524,14.611745701974
sub-010088,637.2,0.531146766188894,0,2.88103444136189,1.92194195873942,7.37928378501531
sub-010089,847.826087,0.651511437178632,0,2.91194113147445,1.92020617197875,9.21992973669315
sub-010090,1472.307692,0.684129573906271,4,2.84884612736964,1.86294253387794,14.8248458092407
