,relative ampl alpha,skewness ampl alpha,spectral entropy alpha
relative ampl alpha_CP6,-0.4225776873268662,-0.5101766513056836,0.9304915514592934
skewness ampl alpha_CPz,-0.5101766513056836,0.4147699699657956,-0.5702284946236559
spectral entropy alpha_C2,0.9304915514592934,-0.5702284946236559,-0.4328838742434794
