,betw cen e-icoh delta,betw cen e-wpli delta,kurtosis ampl beta,kurtosis ampl delta,life time gamma,node str e-plv delta,skewness ampl gamma,waiting time beta,waiting time gamma
betw cen e-icoh delta_C6,0.3165240371000667,0.12391190095367598,0.19689954825479,0.16097382039306007,0.1540881379681227,0.21945301814927,0.2458566095222591,0.15567007770842634,0.21425983729477108
betw cen e-wpli delta_P4,0.12391190095367598,0.2642924783606176,0.14094955942873752,0.13010675327348326,0.16536850810298548,0.16157714393130515,0.13961315134072028,0.12110877673998814,0.1585923674782119
kurtosis ampl beta_CP6,0.19689954825479,0.14094955942873752,0.3293322266956151,0.20161183491240744,0.46884312273431655,0.18089737685326104,0.3008854967468832,0.5669151747090033,0.64374555045257
kurtosis ampl delta_F6,0.16097382039306007,0.13010675327348326,0.20161183491240744,0.29890015185112767,0.22942102617264207,0.15334442372432003,0.34675940287616386,0.16629902425452964,0.16414141002401733
life time gamma_C2,0.1540881379681227,0.16536850810298548,0.46884312273431655,0.22942102617264207,0.2884763321490696,0.170621355605102,0.6056549835989825,0.40573526331850385,0.6434287234482088
node str e-plv delta_P3,0.21945301814927,0.16157714393130515,0.18089737685326104,0.15334442372432003,0.170621355605102,0.32245074238823174,0.261297688627896,0.2845306213946875,0.1712781616113777
skewness ampl gamma_C1,0.2458566095222591,0.13961315134072028,0.3008854967468832,0.34675940287616386,0.6056549835989825,0.261297688627896,0.3337869080889545,0.31077789713963816,0.3651569078615753
waiting time beta_C5,0.15567007770842634,0.12110877673998814,0.5669151747090033,0.16629902425452964,0.40573526331850385,0.2845306213946875,0.31077789713963816,0.29253642788997597,0.5374677298753942
waiting time gamma_P5,0.21425983729477108,0.1585923674782119,0.64374555045257,0.16414141002401733,0.6434287234482088,0.1712781616113777,0.3651569078615753,0.5374677298753942,0.3091377975983293
