,clust coef e-plv delta,clust coef e-plv theta,clust coef e-wpli delta,node str e-plv alpha,node str e-plv delta,node str e-plv theta
clust coef e-plv delta_F1,0.0,2.2002987123741145e-06,3.766484566453396e-12,0.021416120775910683,2.2230044154757794e-71,3.7937788748240917e-06
clust coef e-plv theta_FT7,2.2002987123741145e-06,0.0,0.000203894948504664,5.2835040388180374e-17,9.493825957835735e-05,1.0266569172118856e-86
clust coef e-wpli delta_P7,3.766484566453396e-12,0.000203894948504664,0.0,0.15779534764554393,1.3533679744245512e-07,0.00020090832995743848
node str e-plv alpha_FT7,0.021416120775910683,5.2835040388180374e-17,0.15779534764554393,0.0,0.07394112064968583,6.157871354653404e-17
node str e-plv delta_F1,2.2230044154757794e-71,9.493825957835735e-05,1.3533679744245512e-07,0.07394112064968583,0.0,8.788561937794489e-05
node str e-plv theta_FT7,3.7937788748240917e-06,1.0266569172118856e-86,0.00020090832995743848,6.157871354653404e-17,8.788561937794489e-05,0.0
