,N significant,min corr,max corr,within eeg 25,within eeg 50,within eeg 75,multivar dc eeg 25,multivar dc eeg 50,multivar dc eeg 75,% significant multivar dc
Cvlt_attention_span,12.0,0.2791640771874271,0.3142942574008903,0.24333329081481875,0.39272599423453036,0.6000262313216639,0.23257123722654915,0.4456209915942787,0.6587574403707215,0.8484848484848485
Cvlt_delayed_memory,4.0,0.2893619443968697,0.3173710143108689,0.10892834332883496,0.12084344035218039,0.15876930463453118,0.0920339367451165,0.11166985221735629,0.16328189753952357,0.3333333333333333
Pts-2_subtest_3,3.0,0.2682113374486151,0.3370923280057565,0.17366310399786788,0.1941251772977746,0.216490314544718,0.08853941782935462,0.13755966266593017,0.16175882113630546,0.6666666666666666
Rwt_animal_categories,11.0,0.2315494203405579,0.3295386737453709,0.1502829963682331,0.1751951655295767,0.22797222131776457,0.15272310881284018,0.21760273027171695,0.3229642373206536,0.8363636363636363
Rwt_s_words,9.0,0.2714557789897319,0.3313607436561658,0.2128887809878245,0.3154082868473934,0.6159272230320163,0.20939198999230854,0.3242631528257952,0.662738132905274,0.7777777777777778
Tap_alertness,3.0,0.2653722801470997,0.3234905235017105,0.150567190308733,0.163185289885521,0.16956129975731304,0.0634556948578672,0.10317737942850312,0.26675877989769636,0.3333333333333333
Tap_simon_congruent,18.0,0.250465016286222,0.438274842914708,0.1677870819022538,0.2545200377855158,0.3624124374639972,0.09323135586520234,0.21747990948940088,0.47151680726845463,0.6143790849673203
Tap_simon_incongruent,15.0,0.2347681594723356,0.3467058983716938,0.1558470581714842,0.2185602528891586,0.3543891280744653,0.14117788221601074,0.23827973232152458,0.48274369125180394,0.7619047619047619
Tap_working_memory,9.0,0.2642924783606176,0.3337869080889545,0.16037845716434795,0.19925569158359868,0.3197732735737695,0.1285987807919114,0.21271678447090506,0.40828847614245173,0.75
Tmt-A,18.0,0.2519370577327783,0.3630246308808476,0.1687016759239425,0.2283832325810241,0.3646758383349778,0.1445417676080997,0.2984215066113324,0.4357084305152897,0.7647058823529411
Tmt-B,14.0,0.276676552212634,0.3553213367991225,0.1584132597213599,0.2239239740892511,0.41746887121312104,0.06606632172673564,0.11964391933424866,0.5598947368124525,0.4725274725274725
Vocabulary_test,5.0,0.2727819534549821,0.3188990581499622,0.1191309703075998,0.13366730550136807,0.16121580777693906,0.0800341316380105,0.12241510975131903,0.16387337038908512,0.4
