,ICC 25th,ICC 50th,ICC 75th,multivardcor,ICC 25th,ICC 50th,ICC 75th,multivardcor
mod index delta-gamma,0.72,0.76,0.8,0.95,0.77,0.82,0.86,1.0
mod index delta-theta,0.82,0.86,0.89,0.98,0.84,0.87,0.9,1.0
mod index theta-alpha,0.95,0.96,0.97,0.99,0.96,0.96,0.97,1.0
mod index theta-beta,0.88,0.89,0.91,0.98,0.9,0.92,0.93,1.0
mod index theta-gamma,0.87,0.9,0.9,0.99,0.89,0.91,0.93,1.0
node str e-icoh alpha,0.58,0.63,0.71,0.77,0.7,0.77,0.84,1.0
node str e-icoh beta,0.56,0.62,0.69,0.79,0.59,0.65,0.72,1.0
node str e-icoh delta,0.39,0.43,0.5,0.56,0.46,0.52,0.6,1.0
node str e-icoh gamma,0.55,0.62,0.7,0.81,0.65,0.74,0.78,1.0
node str e-icoh theta,0.62,0.66,0.71,0.82,0.66,0.71,0.75,1.0
node str e-plv alpha,0.06,0.08,0.11,0.85,0.09,0.12,0.16,1.0
node str e-plv beta,0.01,0.01,0.02,0.56,0.02,0.03,0.04,1.0
node str e-plv delta,0.01,0.02,0.03,0.48,0.04,0.05,0.07,1.0
node str e-plv gamma,0.0,0.01,0.02,0.34,0.01,0.02,0.05,0.0
node str e-plv theta,0.02,0.02,0.04,0.69,0.03,0.04,0.05,1.0
node str e-wpli alpha,0.47,0.56,0.68,0.81,0.63,0.74,0.81,1.0
node str e-wpli beta,0.51,0.58,0.66,0.81,0.48,0.6,0.7,1.0
node str e-wpli delta,0.41,0.48,0.56,0.55,0.52,0.58,0.66,1.0
node str e-wpli gamma,0.55,0.6,0.7,0.8,0.68,0.75,0.9,1.0
node str e-wpli theta,0.68,0.75,0.79,0.86,0.63,0.7,0.77,1.0
permutation entropy,0.97,0.98,0.98,0.99,0.98,0.99,0.99,1.0
range asymmetry alpha,0.86,0.92,0.94,0.99,0.86,0.88,0.93,1.0
range asymmetry beta,0.78,0.81,0.86,0.96,0.78,0.82,0.86,1.0
range asymmetry delta,0.72,0.76,0.8,0.94,0.83,0.85,0.89,1.0
range asymmetry gamma,0.69,0.75,0.82,0.92,0.73,0.82,0.88,1.0
range asymmetry theta,0.77,0.8,0.85,0.96,0.81,0.85,0.89,1.0
range coef var alpha,0.97,0.97,0.98,1.0,0.96,0.97,0.98,1.0
range coef var beta,0.97,0.98,0.98,1.0,0.97,0.98,0.98,1.0
range coef var delta,0.96,0.96,0.97,0.99,0.97,0.98,0.98,1.0
range coef var gamma,0.88,0.94,0.96,0.97,0.93,0.97,0.98,1.0
range coef var theta,0.95,0.96,0.97,0.99,0.98,0.98,0.98,1.0
relative ampl alpha,0.97,0.98,0.99,0.99,0.98,0.99,0.99,1.0
relative ampl beta,0.98,0.99,0.99,1.0,0.98,0.98,0.99,1.0
relative ampl delta,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1.0
relative ampl gamma,0.96,0.97,0.98,0.99,0.97,0.98,0.99,1.0
relative ampl theta,0.97,0.98,0.98,0.99,0.97,0.98,0.98,1.0
rqa determinism,0.97,0.98,0.98,0.99,0.97,0.98,0.99,1.0
rqa entropy,0.96,0.97,0.98,0.99,0.95,0.97,0.98,1.0
rqa laminarity,0.97,0.98,0.99,0.99,0.98,0.99,0.99,1.0
rqa max diagonal,0.96,0.97,0.97,0.99,0.97,0.98,0.98,1.0
rqa max vertical,0.93,0.94,0.95,0.99,0.94,0.95,0.96,1.0
rqa mean diagonal,0.96,0.97,0.98,0.99,0.96,0.97,0.98,1.0
rqa rte,0.95,0.96,0.97,0.99,0.96,0.97,0.97,1.0
rqa trapping time,0.97,0.98,0.98,0.99,0.98,0.98,0.98,1.0
sample entropy,0.97,0.97,0.98,0.99,0.97,0.98,0.98,1.0
skewness ampl alpha,0.9,0.92,0.94,0.98,0.87,0.9,0.92,1.0
skewness ampl beta,0.91,0.93,0.96,0.99,0.91,0.93,0.95,1.0
skewness ampl delta,0.8,0.84,0.87,0.98,0.86,0.9,0.93,1.0
skewness ampl gamma,0.9,0.92,0.94,0.98,0.93,0.95,0.96,1.0
skewness ampl theta,0.87,0.91,0.93,0.99,0.92,0.94,0.96,1.0
spectral entropy alpha,0.98,0.98,0.99,0.99,0.99,0.99,0.99,1.0
spectral entropy beta,0.98,0.99,0.99,1.0,0.98,0.99,0.99,1.0
spectral entropy delta,0.97,0.98,0.99,0.99,0.98,0.99,0.99,1.0
spectral entropy gamma,0.96,0.97,0.98,0.99,0.98,0.99,0.99,1.0
spectral entropy theta,0.97,0.98,0.98,0.99,0.97,0.98,0.99,1.0
std ampl alpha,0.92,0.96,0.98,1.0,0.92,0.95,0.98,1.0
std ampl beta,0.91,0.96,0.98,1.0,0.94,0.98,0.99,1.0
std ampl delta,0.86,0.94,0.98,1.0,0.87,0.96,0.99,1.0
std ampl gamma,0.88,0.96,0.98,0.99,0.92,0.98,0.98,1.0
std ampl theta,0.91,0.96,0.98,1.0,0.9,0.94,0.97,1.0
waiting time alpha,0.93,0.94,0.97,0.99,0.93,0.96,0.97,1.0
waiting time beta,0.94,0.96,0.98,0.99,0.94,0.96,0.97,1.0
waiting time delta,0.59,0.66,0.74,0.94,0.78,0.82,0.86,1.0
waiting time gamma,0.93,0.95,0.96,0.99,0.92,0.94,0.96,1.0
waiting time theta,0.9,0.92,0.93,0.99,0.95,0.96,0.97,1.0
