,N significant,min corr,max corr,within eeg 25,within eeg 50,within eeg 75,multivar dc eeg 25,multivar dc eeg 50,multivar dc eeg 75,% significant multivar dc
Cvlt_attention_span,4.0,0.4306585966982839,0.4458907520520316,0.1800360437957589,0.44734675567604176,0.6328753151675328,0.06392354676176296,0.5294944188570332,0.9950650525413682,0.5
Cvlt_delayed_memory,5.0,0.3990355827538931,0.4358410330628463,0.32423435919324783,0.44234912241613744,0.542287592674695,0.39789214467753964,0.658829158963955,0.7407514534831531,1.0
Pts-2_subtest_3,13.0,0.400574268189026,0.4772717562844497,0.3594956446301226,0.5436581745102538,0.6425945791890548,0.2477247456252522,0.5532885500957461,0.7447611866844068,0.8333333333333334
Rwt_animal_categories,5.0,0.3385716308171409,0.4935649046287952,0.19096956134801213,0.21449826996500648,0.2468600608277474,0.08533139041937894,0.1516815862123749,0.20798586725423737,0.3
Rwt_s_words,6.0,0.3405357288154061,0.4984692800265168,0.26089609103613587,0.3260002063257192,0.4164304171229332,0.1748647734880575,0.21600057508764509,0.37514211639948025,0.6
Tap_alertness,3.0,0.4203041661643807,0.5267624973428962,0.4006555887622312,0.4305346337036499,0.5219525991165088,0.15496994840830014,0.16193597890215286,0.3694897437349194,0.3333333333333333
Tap_simon_congruent,2.0,0.552175500036551,0.555217911945895,0.3724772164592225,0.3724772164592225,0.3724772164592225,0.12371962968378947,0.12371962968378947,0.12371962968378947,0.0
Tap_simon_incongruent,2.0,0.4613265243713239,0.5566310114429299,0.267991010703731,0.267991010703731,0.267991010703731,0.3336379050192424,0.3336379050192424,0.3336379050192424,1.0
Tap_working_memory,5.0,0.4224498621851884,0.5208365345305895,0.32044597616037634,0.43583451938688833,0.820983656981629,0.14699720834173036,0.36299162463091694,0.7546291226411136,0.6
Tmt-A,1.0,0.0,0.4598629840084824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tmt-B,2.0,0.4242279881751968,0.4539718369852082,0.3083853791500823,0.3083853791500823,0.3083853791500823,0.13283430455495146,0.13283430455495146,0.13283430455495146,0.0
Vocabulary_test,12.0,0.3958697180990819,0.4676196577937948,0.21938226758209345,0.2526773046111236,0.3691065709418963,0.10199341858882323,0.22582015614009682,0.3952030074551566,0.5454545454545454
