,  64.51,  50.03,  58.48,  59.61,  50.95,  30.36,  42.06,  62.40,  38.68,  16.89,   0.00,  57.04,  56.52,  40.30,  23.11,  61.00,  38.27,  25.28,  59.44,  59.97,  38.58,  58.51,  38.39,  78.55,  50.75,  64.39,  51.02,  52.84,  69.92,  77.03,  65.66,  87.02,  88.93,  83.63,  95.66, 104.83, 106.26, 103.63,  99.30, 105.57,  71.46,  94.49,  70.16,  85.90,  61.17,  90.23,  77.50,  73.34,  98.11,  98.22, 103.00,  65.56, 107.58, 102.47,  95.62,  74.33,  99.34, 104.25,  65.46,  86.88, 101.06,  89.64, 113.64,  87.03, 106.51, 124.23, 116.63, 119.35, 109.71,  83.68, 117.59,  96.90, 113.70, 120.75, 107.71, 112.67, 114.26, 135.30, 131.83, 122.82
,  39.94,  43.33,  54.19,  38.43,  34.10,  59.57,  59.41,  20.91,  34.54,  52.24,  57.04,   0.00,  39.06,  36.62,  39.83,  72.11,  74.30,  58.68,  61.03,  36.31,  58.27,  44.84,  66.26,  90.40,  84.68,  67.26,  83.94,  72.84,  61.85,  72.67,  92.90,  94.26, 106.05, 104.38,  86.38,  99.17, 102.60, 103.76, 103.76, 110.54,  36.61,  51.47,  56.37,  42.24,  35.85,  65.48,  64.32,  23.42,  46.79,  59.02,  63.74,   9.88,  51.20,  48.97,  47.69,  75.06,  80.10,  63.99,  58.68,  39.84,  61.34,  48.55,  72.13,  92.18,  90.11,  76.55,  88.11,  78.71,  68.11,  72.08,  99.57,  92.54, 107.57, 102.98,  84.02,  95.87, 104.70, 106.21, 112.33, 110.07
,  57.37,  44.35,  79.63,  43.24,  62.73,  73.22,  79.72,  37.43,  27.49,  54.20,  56.52,  39.06,   0.00,  16.25,  34.63,  98.92,  86.88,  55.96,  86.81,  37.73,  57.41,  48.32,  57.67, 115.02,  93.95,  49.33,  84.20,  63.60,  57.10,  92.12, 100.41, 112.81, 120.84, 110.25,  92.35, 108.95, 116.62, 100.52, 108.96, 120.63,  62.57,  80.44,  86.45,  66.26,  68.82, 102.70,  99.19,  49.35,  81.05,  97.28, 102.66,  47.22,  79.66,  82.93,  85.16, 106.09, 116.26, 101.30,  88.95,  64.83,  96.36,  74.47, 106.32, 118.89, 124.30, 103.74, 122.97, 109.76,  90.67,  92.92, 131.47, 116.10, 134.33, 131.47, 100.33, 113.56, 123.73, 123.75, 133.79, 130.66
,  53.00,  37.55,  69.05,  40.45,  53.28,  58.25,  65.82,  37.61,  17.01,  38.71,  40.30,  36.62,  16.25,   0.00,  18.93,  85.83,  71.85,  42.38,  75.76,  37.71,  46.58,  45.11,  46.85, 102.77,  80.14,  48.41,  72.23,  55.73,  56.06,  84.55,  88.57, 103.22, 110.01, 100.60,  90.27, 105.20, 111.27,  98.80, 103.72, 114.16,  59.34,  80.12,  77.44,  67.12,  61.08,  95.47,  89.51,  50.68,  81.94,  93.68,  99.17,  46.21,  84.49,  84.88,  84.19,  94.48, 108.54,  98.69,  78.79,  67.16,  94.22,  74.95, 105.31, 107.76, 116.63, 106.98, 118.39, 109.64,  93.20,  86.95, 125.09, 108.17, 126.35, 126.05,  99.61, 110.74, 118.71, 124.89, 131.05, 126.21
,  56.58,  42.33,  61.89,  48.34,  47.67,  44.41,  52.94,  46.23,  23.78,  26.65,  23.11,  39.83,  34.63,  18.93,   0.00,  70.05,  53.07,  26.01,  61.28,  39.81,  33.32,  41.94,  34.84,  86.36,  62.04,  48.94,  56.62,  46.62,  54.31,  73.00,  72.25,  88.89,  94.26,  86.46,  84.84,  97.31, 101.38,  93.93,  94.32, 103.01,  62.31,  84.28,  71.41,  73.64,  56.72,  89.02,  79.96,  57.86,  85.29,  91.34,  95.73,  49.46,  90.69,  88.08,  83.89,  80.30,  98.41,  95.08,  65.89,  69.39,  90.62,  74.27, 102.60,  92.45, 105.74, 108.61, 110.99, 107.29,  93.76,  77.26, 114.93,  95.76, 113.80, 116.50,  95.50, 103.84, 109.12, 122.33, 123.94, 117.18
,  82.04,  85.38,  54.02,  89.59,  53.35,  47.01,  39.97,  84.98,  81.19,  63.66,  61.00,  72.11,  98.92,  85.83,  70.05,   0.00,  35.80,  64.87,  26.64,  83.09,  67.28,  77.86,  77.16,  30.46,  49.33, 101.32,  69.32,  85.37,  92.42,  58.51,  63.54,  59.93,  66.06,  81.00,  97.68,  97.54,  90.27, 115.58,  98.06,  94.06,  79.32,  92.42,  56.24,  93.68,  55.21,  55.79,  38.99,  86.01,  88.83,  72.33,  71.25,  73.67, 103.14,  91.06,  76.86,  15.69,  48.83,  73.15,  26.05,  85.44,  73.55,  81.31,  84.92,  37.32,  55.46, 107.72,  74.00,  92.98,  99.09,  64.72,  71.32,  62.76,  70.46,  81.03,  96.61,  94.72,  89.81, 119.50, 105.15,  95.57
,  87.73,  81.21,  67.57,  88.73,  63.25,  41.98,  45.86,  86.64,  71.45,  49.30,  38.27,  74.30,  86.88,  71.85,  53.07,  35.80,   0.00,  38.02,  37.25,  73.77,  43.71,  66.41,  49.35,  44.03,  20.58,  79.87,  38.82,  59.02,  76.97,  57.73,  40.04,  57.94,  57.11,  61.03,  87.86,  89.91,  85.99,  98.45,  83.98,  84.08,  89.83, 108.86,  75.77, 104.95,  70.20,  85.41,  69.15,  93.01, 106.99,  98.28,  98.40,  80.12, 117.34, 108.59,  97.09,  50.25,  79.58,  97.13,  46.44,  91.99,  93.66,  89.23, 105.74,  54.42,  82.84, 122.31,  98.91, 110.82, 107.61,  66.92,  93.38,  70.33,  84.48,  97.22,  98.01,  96.71,  92.40, 124.70, 112.62, 100.84
,  79.78,  66.94,  76.10,  73.69,  63.93,  51.49,  60.29,  70.14,  49.69,  40.34,  25.28,  58.68,  55.96,  42.38,  26.01,  64.87,  38.02,   0.00,  53.42,  46.46,  14.28,  40.67,  14.69,  73.19,  39.92,  44.33,  30.78,  28.25,  48.34,  60.15,  48.10,  71.11,  72.99,  62.59,  72.56,  82.12,  85.19,  78.59,  75.37,  83.43,  83.99, 104.94,  85.49,  96.18,  72.44,  98.90,  86.85,  79.90, 102.42, 104.12, 105.27,  67.40, 106.71, 102.63,  95.75,  76.57,  97.56, 101.42,  62.18,  77.92,  95.13,  78.71, 107.00,  80.28, 101.29, 114.74, 109.74, 109.82,  96.71,  66.92, 108.27,  82.35, 101.27, 107.87,  88.68,  93.19,  95.36, 116.74, 113.86, 104.52
,  83.78,  85.67,  65.62,  88.18,  56.16,  57.42,  53.92,  78.62,  75.98,  65.68,  59.44,  61.03,  86.81,  75.76,  61.28,  26.64,  37.25,  53.42,   0.00,  62.84,  50.40,  55.71,  62.57,  29.75,  42.40,  81.54,  55.91,  67.32,  69.16,  32.81,  49.92,  41.35,  52.22,  63.47,  71.45,  72.16,  66.37,  90.83,  74.35,  71.86,  79.92,  92.57,  67.51,  91.77,  57.87,  63.73,  51.50,  79.50,  83.01,  72.43,  67.81,  63.02,  91.08,  80.81,  67.52,  29.22,  46.15,  62.53,  12.05,  65.35,  58.26,  59.45,  69.73,  32.32,  48.68,  88.69,  61.96,  74.76,  76.38,  38.73,  58.76,  42.95,  56.36,  63.70,  70.55,  69.58,  66.87,  94.68,  82.54,  73.35
,  73.62,  68.16,  84.12,  66.69,  64.57,  76.82,  80.49,  52.07,  49.75,  64.68,  59.97,  36.31,  37.73,  37.71,  39.81,  83.09,  73.77,  46.46,  62.84,   0.00,  38.67,  13.29,  45.72,  90.82,  75.28,  34.72,  65.35,  45.60,  26.25,  58.24,  76.28,  81.06,  91.48,  81.98,  56.25,  72.42,  80.13,  69.57,  75.20,  86.04,  72.67,  86.80,  88.29,  77.15,  68.33,  94.02,  89.80,  57.26,  76.57,  88.25,  87.43,  42.57,  70.96,  71.74,  70.25,  87.53,  92.60,  79.24,  66.01,  39.13,  70.52,  44.03,  80.01,  92.25,  96.76,  77.66,  94.10,  80.40,  59.54,  57.46,  99.90,  82.40, 101.13,  97.04,  62.98,  75.89,  86.71,  87.70,  96.47,  93.46
,  85.71,  75.02,  83.24,  79.88,  68.94,  62.09,  69.01,  72.78,  56.47,  52.24,  38.58,  58.27,  57.41,  46.58,  33.32,  67.28,  43.71,  14.28,  50.40,  38.67,   0.00,  29.87,  13.30,  71.12,  40.78,  36.31,  27.90,  19.44,  35.81,  49.73,  43.33,  62.82,  66.31,  54.13,  58.32,  68.48,  72.63,  65.17,  62.46,  71.52,  88.02, 107.09,  91.02,  98.71,  76.07, 100.40,  89.46,  81.04, 101.07, 103.61, 102.76,  66.32, 102.52,  98.93,  92.18,  76.94,  93.96,  96.17,  59.55,  70.01,  88.32,  69.53,  99.52,  76.55,  96.02, 105.56, 102.65, 100.75,  86.06,  55.80, 100.61,  73.27,  93.08,  98.31,  75.46,  80.19,  83.34, 103.52, 101.48,  92.53
