Subject,Group1_Map1_Gev,Group1_Map1_MeanDur,Group1_Map1_TimeCov,Group1_Map1_SegDensity,Group1_Map2_Gev,Group1_Map2_MeanDur,Group1_Map2_TimeCov,Group1_Map2_SegDensity,Group1_Map3_Gev,Group1_Map3_MeanDur,Group1_Map3_TimeCov,Group1_Map3_SegDensity,Group1_Map4_Gev,Group1_Map4_MeanDur,Group1_Map4_TimeCov,Group1_Map4_SegDensity,Group1_Map5_Gev,Group1_Map5_MeanDur,Group1_Map5_TimeCov,Group1_Map5_SegDensity
Subject56,0.077530,7.993169,0.173833,0.019227,0.083699,8.254200,0.180853,0.019257,0.238213,9.227393,0.287088,0.026551,0.137177,8.435486,0.205420,0.021516,0.057653,7.851211,0.139378,0.015625
Subject57,0.081971,8.300236,0.168859,0.016511,0.085210,8.295540,0.168767,0.016419,0.391450,12.236481,0.426618,0.026124,0.100281,8.180560,0.174291,0.017396,0.016196,7.059253,0.055330,0.006806
Subject58,0.043326,8.024998,0.114658,0.012238,0.057327,8.016595,0.140233,0.014985,0.382980,11.701737,0.443251,0.029054,0.136736,8.356711,0.238014,0.024323,0.014635,7.184511,0.055513,0.006989
Subject59,0.096314,8.158471,0.200781,0.020966,0.096480,8.202165,0.196753,0.020356,0.237336,9.743577,0.318461,0.026856,0.065465,7.637333,0.135258,0.015900,0.048104,7.465293,0.128239,0.015320
Subject60,0.058976,8.275405,0.143590,0.014283,0.069815,8.893083,0.152562,0.014008,0.221921,9.190377,0.259560,0.022156,0.245259,10.383823,0.336589,0.024140,0.030606,7.620037,0.103183,0.011750
Subject61,0.032661,7.783716,0.100528,0.010651,0.032593,8.211584,0.109806,0.011292,0.457621,12.789808,0.442824,0.023804,0.158597,9.511453,0.262185,0.021363,0.016558,7.278210,0.078768,0.009644
Subject62,0.119302,8.394315,0.213996,0.021851,0.138717,8.669267,0.247475,0.024598,0.121470,8.375873,0.193304,0.019959,0.068752,7.869336,0.164525,0.018311,0.085593,7.816722,0.167577,0.018860
Subject63,0.070365,8.223317,0.153325,0.016297,0.087104,8.509825,0.173833,0.017823,0.146262,9.175252,0.214759,0.020386,0.100475,8.923206,0.190069,0.018921,0.120532,9.609221,0.263405,0.023377
Subject64,0.037513,7.445227,0.088382,0.010224,0.023450,7.131857,0.069002,0.008606,0.277372,10.129465,0.332255,0.025971,0.246893,10.339586,0.369366,0.027406,0.058484,7.527749,0.139500,0.015564
Subject65,0.072241,9.223310,0.190435,0.017548,0.113978,9.428883,0.198004,0.017396,0.315194,11.848404,0.393933,0.026673,0.064375,8.139837,0.120487,0.012635,0.023401,7.897954,0.088137,0.009919
Subject66,0.082631,8.548345,0.174413,0.016633,0.177289,9.992857,0.285134,0.022614,0.187120,9.301053,0.243019,0.021821,0.109303,8.910303,0.193670,0.017731,0.037340,7.622634,0.099307,0.011597
Subject67,0.072643,7.786058,0.149174,0.016572,0.027034,6.671522,0.066897,0.009125,0.359853,11.768922,0.419568,0.027772,0.132644,8.887494,0.231025,0.021821,0.053818,7.651897,0.123234,0.013916
Subject68,0.106296,10.370914,0.237251,0.019044,0.110779,10.089919,0.226051,0.018616,0.188489,10.468586,0.262062,0.020997,0.072620,9.045984,0.146245,0.014161,0.044154,8.344394,0.117801,0.012299
Subject69,0.049301,8.740196,0.159886,0.015687,0.052358,8.399384,0.143193,0.014588,0.290172,10.621969,0.330180,0.023103,0.123348,9.501725,0.204077,0.016358,0.038310,8.406310,0.147526,0.014893
Subject70,0.026434,7.949911,0.084078,0.009430,0.131393,10.543987,0.289377,0.022614,0.223559,11.551836,0.344371,0.023865,0.086760,9.233104,0.185369,0.017457,0.025063,7.749906,0.083590,0.009674
Subject71,0.042372,8.275849,0.124973,0.013001,0.038494,8.805231,0.120121,0.011750,0.251148,10.411723,0.234687,0.017853,0.091360,9.705049,0.222266,0.018860,0.143395,10.794251,0.286599,0.021393
Subject72,0.122690,8.656100,0.243873,0.024049,0.119862,8.675103,0.234107,0.023316,0.149999,8.943509,0.219550,0.021485,0.091193,8.137633,0.177160,0.019227,0.038717,7.243368,0.106204,0.013367
Subject73,0.119111,10.361180,0.235481,0.016968,0.103576,9.778678,0.202246,0.016114,0.333897,12.141250,0.347789,0.020234,0.087895,8.547131,0.149541,0.014039,0.014475,7.413787,0.057314,0.006714
Subject74,0.094850,8.694004,0.212287,0.020814,0.101893,9.038200,0.217261,0.020234,0.218113,9.845173,0.267342,0.021851,0.067530,8.349864,0.154790,0.016175,0.052926,7.999364,0.131169,0.014313
Subject75,0.113139,9.077035,0.262551,0.024506,0.117807,8.370454,0.192999,0.019929,0.277829,9.961988,0.299265,0.023896,0.043493,7.010203,0.096530,0.012421,0.035499,7.374144,0.119968,0.014466
Subject76,0.153736,10.312468,0.262551,0.020295,0.062265,8.650065,0.159764,0.015717,0.269255,10.657272,0.298044,0.021485,0.043300,8.126695,0.120273,0.012879,0.052219,8.350646,0.154729,0.015931
Subject77,0.139549,9.998669,0.273293,0.022004,0.114836,10.214469,0.251747,0.020386,0.099818,9.365834,0.167486,0.015320,0.058665,8.398053,0.128483,0.013367,0.059680,8.676026,0.157567,0.015473
Subject78,0.033408,7.192962,0.087436,0.010712,0.085884,8.306981,0.165563,0.016877,0.434447,12.971422,0.489669,0.026551,0.096929,8.451627,0.170843,0.016938,0.022636,6.699628,0.076022,0.009827
Subject79,0.069494,7.908203,0.145726,0.016266,0.066581,7.689277,0.128910,0.014924,0.218785,9.370721,0.295328,0.026215,0.145078,8.916751,0.255837,0.024445,0.066093,8.168502,0.163549,0.017487
Subject80,0.093676,8.110774,0.193274,0.020783,0.072124,7.760327,0.161565,0.018097,0.247603,9.654089,0.304727,0.026368,0.096057,8.283769,0.187872,0.019684,0.060015,7.800290,0.139897,0.015900
Subject81,0.046389,7.494892,0.102329,0.011383,0.040050,7.676072,0.090518,0.009827,0.474051,14.801244,0.540391,0.024323,0.098432,8.757259,0.185522,0.016999,0.029867,7.816612,0.079196,0.008545
Subject82,0.069405,8.330045,0.158971,0.016022,0.061524,8.307125,0.153600,0.015412,0.380162,11.434776,0.387188,0.025269,0.116056,8.753197,0.208808,0.019715,0.020194,7.274827,0.084353,0.010071
Subject83,0.117233,9.347648,0.234046,0.020905,0.075774,8.587103,0.168218,0.016755,0.162766,9.560810,0.238929,0.020905,0.090372,8.490462,0.177923,0.018220,0.071263,8.710535,0.173162,0.016968
Subject84,0.057765,7.749360,0.132176,0.015259,0.075279,7.998680,0.154485,0.016846,0.249232,10.302863,0.302225,0.024476,0.089463,8.486063,0.177129,0.018128,0.109767,8.809689,0.229377,0.022492
Subject85,0.056543,8.737173,0.146733,0.014496,0.060088,9.154564,0.162725,0.014924,0.265339,10.713777,0.308878,0.023621,0.136839,9.618014,0.238594,0.020966,0.065756,8.751041,0.138188,0.013337
Subject86,0.120410,9.923992,0.238166,0.019959,0.110656,9.034771,0.200049,0.018860,0.093575,8.736702,0.151555,0.014893,0.166542,10.420662,0.296670,0.022645,0.039083,8.659904,0.106204,0.010773
Subject87,0.065027,8.443692,0.161687,0.016388,0.150867,9.666809,0.265175,0.022858,0.135306,8.901373,0.204657,0.019501,0.129408,9.041718,0.239845,0.022187,0.039586,7.634370,0.112339,0.013062
Subject88,0.049333,8.454112,0.127873,0.012177,0.079166,9.574684,0.183447,0.014283,0.464444,16.379271,0.555986,0.020692,0.053439,8.103614,0.101047,0.010468,0.006097,6.657401,0.025056,0.003327
Subject89,0.041251,7.827630,0.102756,0.011353,0.075680,8.521201,0.165319,0.016511,0.210337,9.825806,0.272897,0.022004,0.123760,8.971645,0.223182,0.020508,0.099546,8.879423,0.221137,0.021027
Subject90,0.018457,7.147849,0.062838,0.007813,0.042865,7.829104,0.108432,0.012024,0.346914,11.632597,0.402844,0.026399,0.065682,8.119475,0.138066,0.014466,0.155421,9.708577,0.282357,0.022797
Subject91,0.066677,7.597108,0.143559,0.016358,0.170107,8.534039,0.260170,0.025422,0.223342,8.770658,0.267159,0.025330,0.123983,8.066032,0.205267,0.021516,0.044671,7.084035,0.113956,0.014496
Subject92,0.084241,8.437987,0.177160,0.017640,0.055779,8.007556,0.138279,0.014740,0.107129,8.140262,0.181585,0.019776,0.258983,10.977450,0.389782,0.026215,0.035772,7.356784,0.100192,0.012055
Subject93,0.036670,7.719354,0.108829,0.012696,0.087883,8.340107,0.180242,0.018586,0.310076,9.978205,0.328562,0.026521,0.110780,8.618811,0.209479,0.020966,0.064288,8.106576,0.165044,0.017518
Subject94,0.069357,7.867058,0.158513,0.017457,0.084318,7.790973,0.166143,0.018494,0.215182,8.853794,0.264351,0.025361,0.187129,9.106228,0.282846,0.025575,0.045551,7.180186,0.116153,0.014405
Subject95,0.093553,8.502928,0.189367,0.019471,0.060640,7.940321,0.145268,0.015961,0.218878,9.252826,0.278817,0.025361,0.159482,9.100449,0.258370,0.024384,0.046685,7.474155,0.118412,0.014100
Subject96,0.060286,7.921721,0.140385,0.015412,0.050760,7.993415,0.112125,0.012360,0.351852,11.420638,0.392193,0.026551,0.074383,8.218375,0.161016,0.016877,0.075935,8.381827,0.185064,0.019196
Subject97,0.065921,8.087932,0.153844,0.016694,0.101851,8.797392,0.199499,0.019562,0.311112,10.844805,0.371746,0.027894,0.065734,8.109829,0.139775,0.014893,0.056239,7.909852,0.124760,0.013703
Subject98,0.057873,7.807024,0.141087,0.015687,0.085489,8.354090,0.178014,0.018220,0.274327,10.339137,0.305155,0.023682,0.053856,7.927736,0.141148,0.015961,0.116244,8.776233,0.226997,0.022034
Subject99,0.103431,8.832587,0.193579,0.017975,0.082954,8.920537,0.182409,0.016968,0.205046,9.837532,0.247414,0.020386,0.117116,8.822275,0.211463,0.020020,0.061516,8.582110,0.156194,0.015198
Subject100,0.028680,7.492217,0.085452,0.010010,0.061237,8.582887,0.141148,0.014069,0.274399,10.771482,0.322825,0.022919,0.238652,11.105073,0.361858,0.024812,0.025229,7.606393,0.084841,0.009766
Subject101,0.088281,8.598099,0.197913,0.019501,0.076703,8.581130,0.168310,0.016999,0.304568,10.994157,0.368236,0.026551,0.093085,8.327295,0.174383,0.017945,0.026766,7.293884,0.083102,0.010315
Subject102,0.049105,7.804845,0.126408,0.014191,0.023816,7.074138,0.073580,0.009339,0.480931,14.119145,0.561174,0.028321,0.062623,7.601767,0.135258,0.015778,0.035807,7.061177,0.095462,0.012177
Subject103,0.109837,8.614581,0.215827,0.021302,0.115382,8.425432,0.211676,0.021363,0.155385,8.730867,0.211768,0.020905,0.062171,7.696345,0.135533,0.015534,0.108439,8.607585,0.216987,0.021363
Subject104,0.059823,7.502462,0.134068,0.015748,0.056147,7.971173,0.139653,0.015442,0.339132,10.397914,0.344829,0.025575,0.140977,9.146559,0.235206,0.021088,0.054010,7.942067,0.140599,0.015717
Subject105,0.078655,7.618310,0.163884,0.019318,0.074762,7.708999,0.151067,0.017548,0.215108,9.168635,0.274392,0.025971,0.112196,8.089965,0.190588,0.020539,0.097100,8.050464,0.198004,0.021577
Subject106,0.062816,8.807906,0.164495,0.016297,0.106620,9.685689,0.234199,0.020112,0.232266,10.478860,0.270821,0.021180,0.056580,8.740923,0.136753,0.013489,0.092570,8.841948,0.187078,0.017457
Subject107,0.015661,6.918917,0.055696,0.007172,0.092806,8.027786,0.180334,0.018586,0.452742,13.130077,0.510971,0.026917,0.093164,8.069815,0.174993,0.018159,0.019496,7.096467,0.071932,0.008515
Subject108,0.121384,8.439746,0.226539,0.023041,0.130143,8.334674,0.233345,0.024110,0.192732,8.947468,0.256600,0.024781,0.091945,7.997655,0.167058,0.018616,0.031456,7.142422,0.093265,0.011780
Subject109,0.047057,7.660217,0.119663,0.014130,0.084335,8.476294,0.170324,0.017609,0.245690,10.099844,0.302469,0.025025,0.132716,8.942875,0.229347,0.022065,0.067024,8.198966,0.172399,0.018555
Subject110,0.048196,8.553977,0.129093,0.012818,0.048595,8.468187,0.122532,0.012452,0.347930,11.678669,0.370312,0.023194,0.127299,9.767716,0.245277,0.020142,0.054507,8.275266,0.127934,0.013062
Subject111,0.070623,7.760382,0.153508,0.017609,0.074014,7.500014,0.146397,0.017487,0.177520,8.788590,0.228492,0.022614,0.129912,8.766478,0.228034,0.022645,0.118070,8.420112,0.234809,0.024140
Subject112,0.081381,8.691878,0.175878,0.016785,0.151250,9.041378,0.235939,0.020722,0.213899,9.719966,0.275643,0.022736,0.136759,8.724323,0.207495,0.019654,0.031618,7.705022,0.097385,0.011078
Subject113,0.039622,7.900499,0.112888,0.012452,0.146854,9.238979,0.235237,0.020386,0.290768,10.711792,0.335917,0.023988,0.092053,8.329721,0.179388,0.017945,0.050624,7.683491,0.127842,0.014222
Subject114,0.087511,7.778799,0.177099,0.019990,0.094296,7.998615,0.189001,0.020814,0.178524,8.575936,0.243019,0.024567,0.090471,7.882518,0.174902,0.019868,0.086383,8.060796,0.198248,0.021729
Subject115,0.095963,9.324425,0.206458,0.019074,0.098802,9.100071,0.203406,0.019349,0.130300,9.737400,0.208869,0.018281,0.062053,8.286305,0.143742,0.015198,0.098156,9.344794,0.231788,0.021332
Subject116,0.045396,7.371811,0.114200,0.013855,0.045728,7.195792,0.100925,0.012757,0.333607,10.498839,0.391644,0.030824,0.072216,7.391411,0.126713,0.015442,0.132272,8.269456,0.261513,0.026795
Subject117,0.089551,9.662684,0.231574,0.019959,0.059793,8.522447,0.161168,0.016358,0.146873,10.801735,0.283090,0.021455,0.039196,8.878463,0.117924,0.011597,0.058739,8.856992,0.166295,0.016175
Subject118,0.064316,8.299180,0.145634,0.014679,0.039869,7.528521,0.095370,0.010895,0.553738,16.042908,0.595721,0.025269,0.038669,7.752908,0.091159,0.010102,0.017725,7.093141,0.069491,0.008667
Subject119,0.093247,9.881639,0.214179,0.018403,0.133980,10.402519,0.260231,0.020936,0.176185,10.544834,0.261666,0.021027,0.082143,8.922868,0.173437,0.016999,0.022304,7.983614,0.078494,0.008759
Subject120,0.047673,8.654567,0.137944,0.014039,0.080287,9.462452,0.191534,0.017212,0.201247,11.126775,0.319010,0.023896,0.051644,9.223475,0.135838,0.012909,0.081623,9.336667,0.206427,0.019013
Subject121,0.077277,8.214657,0.177404,0.018952,0.048012,7.648035,0.121738,0.014191,0.191834,9.240967,0.266671,0.024628,0.108752,8.573833,0.198950,0.020264,0.104983,8.721114,0.216620,0.021455
Subject122,0.028148,7.998608,0.106388,0.011689,0.093872,8.450921,0.175848,0.017884,0.278094,10.169587,0.339946,0.027375,0.145459,8.571924,0.227515,0.022401,0.044885,8.621010,0.136723,0.013733
Subject123,0.081586,9.092339,0.188543,0.017273,0.093811,7.876676,0.171392,0.018281,0.340726,10.250305,0.334147,0.024598,0.066258,7.752445,0.146428,0.016297,0.056587,8.060074,0.148289,0.015717
Subject124,0.066502,7.870768,0.158452,0.017975,0.082300,7.795228,0.169805,0.019288,0.179993,8.804423,0.248207,0.024689,0.122713,8.312916,0.222663,0.023286,0.074205,7.785147,0.175939,0.020020
Subject125,0.047394,7.630367,0.118229,0.013215,0.020408,7.161229,0.061617,0.007508,0.506876,13.887521,0.560656,0.027619,0.058728,7.775232,0.126041,0.013733,0.052930,7.793429,0.130497,0.013977
Subject126,0.082049,8.369911,0.168035,0.016968,0.081145,8.245499,0.154759,0.015992,0.159614,9.108655,0.216193,0.020264,0.183227,10.110245,0.291330,0.023560,0.086168,8.119880,0.162389,0.017396
Subject127,0.045366,8.139427,0.134281,0.014100,0.090054,8.338372,0.172124,0.017548,0.252259,10.227760,0.277261,0.021088,0.132685,9.330623,0.230262,0.020081,0.069933,8.350811,0.172185,0.017609
Subject128,0.049838,8.106744,0.148961,0.015931,0.048738,8.289057,0.146275,0.015168,0.367494,10.576569,0.334544,0.024293,0.111225,8.947176,0.204840,0.018830,0.049697,8.014258,0.145207,0.015748
